# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: -40 C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.995005e-01    2.995209e-02    2.168655e-14    6.106307e-13    1.295651e-16    1.105321e-14   -2.127619e-16   -5.816079e-20   -3.363737e-17
    1.000000e-02    5.995005e-01    2.995209e-02    3.058609e-14    6.108475e-13    1.827361e-16    1.099069e-14   -2.285713e-16   -6.347162e-20   -3.645486e-17
    2.000000e-02    5.995005e-01    2.995209e-02    4.313758e-14    6.112545e-13    2.577268e-16    1.093085e-14   -2.458604e-16   -6.926307e-20   -3.952593e-17
    3.000000e-02    5.995005e-01    2.995209e-02    6.083948e-14    6.117693e-13    3.634909e-16    1.087379e-14   -2.648182e-16   -7.558213e-20   -4.287771e-17
    4.000000e-02    5.995005e-01    2.995209e-02    8.580506e-14    6.124954e-13    5.126558e-16    1.081966e-14   -2.856725e-16   -8.248120e-20   -4.654053e-17
    5.000000e-02    5.995005e-01    2.995209e-02    1.210145e-13    6.135195e-13    7.230301e-16    1.076861e-14   -3.086808e-16   -9.001873e-20   -5.054833e-17
    6.000000e-02    5.995005e-01    2.995209e-02    1.706706e-13    6.149637e-13    1.019729e-15    1.072083e-14   -3.341390e-16   -9.826003e-20   -5.493899e-17
    7.000000e-02    5.995005e-01    2.995209e-02    2.407001e-13    6.170005e-13    1.438170e-15    1.067656e-14   -3.623869e-16   -1.072781e-19   -5.975479e-17
    8.000000e-02    5.995005e-01    2.995209e-02    3.394604e-13    6.198731e-13    2.028304e-15    1.063605e-14   -3.938137e-16   -1.171547e-19   -6.504283e-17
    9.000000e-02    5.995005e-01    2.995209e-02    4.787364e-13    6.239242e-13    2.860565e-15    1.059963e-14   -4.288646e-16   -1.279812e-19   -7.085553e-17
    1.000000e-01    5.995005e-01    2.995209e-02    6.751454e-13    6.296375e-13    4.034284e-15    1.056767e-14   -4.680471e-16   -1.398601e-19   -7.725107e-17
    1.100000e-01    5.995005e-01    2.995209e-02    9.521176e-13    6.376947e-13    5.689524e-15    1.054058e-14   -5.119384e-16   -1.529063e-19   -8.429391e-17
    1.200000e-01    5.995005e-01    2.995209e-02    1.342687e-12    6.490570e-13    8.023785e-15    1.051884e-14   -5.611929e-16   -1.672484e-19   -9.205530e-17
    1.300000e-01    5.995005e-01    2.995209e-02    1.893425e-12    6.650802e-13    1.131554e-14    1.050302e-14   -6.165494e-16   -1.830307e-19   -1.006137e-16
    1.400000e-01    5.995005e-01    2.995209e-02    2.669984e-12    6.876753e-13    1.595743e-14    1.049374e-14   -6.788391e-16   -2.004147e-19   -1.100552e-16
    1.500000e-01    5.995005e-01    2.995210e-02    3.764906e-12    7.195369e-13    2.250301e-14    1.049170e-14   -7.489924e-16   -2.195816e-19   -1.204739e-16
    1.600000e-01    5.995005e-01    2.995210e-02    5.308620e-12    7.644636e-13    3.173262e-14    1.049770e-14   -8.280457e-16   -2.407340e-19   -1.319721e-16
    1.700000e-01    5.995005e-01    2.995211e-02    7.484931e-12    8.278098e-13    4.474630e-14    1.051263e-14   -9.171465e-16   -2.640983e-19   -1.446604e-16
    1.800000e-01    5.995005e-01    2.995212e-02    1.055282e-11    9.171225e-13    6.309447e-14    1.053745e-14   -1.017557e-15   -2.899279e-19   -1.586578e-16
    1.900000e-01    5.995005e-01    2.995214e-02    1.487714e-11    1.043038e-12    8.896218e-14    1.057325e-14   -1.130655e-15   -3.185051e-19   -1.740908e-16
    2.000000e-01    5.995005e-01    2.995216e-02    2.097176e-11    1.220543e-12    1.254284e-13    1.062119e-14   -1.257934e-15   -3.501444e-19   -1.910935e-16
    2.100000e-01    5.995005e-01    2.995219e-02    2.956024e-11    1.470754e-12    1.768307e-13    1.068252e-14   -1.400994e-15   -3.851957e-19   -2.098059e-16
    2.200000e-01    5.995005e-01    2.995224e-02    4.166113e-11    1.823411e-12    2.492793e-13    1.075859e-14   -1.561537e-15   -4.240468e-19   -2.303732e-16
    2.300000e-01    5.995005e-01    2.995230e-02    5.870769e-11    2.320398e-12    3.513782e-13    1.085080e-14   -1.741346e-15   -4.671272e-19   -2.529431e-16
    2.400000e-01    5.995005e-01    2.995238e-02    8.271585e-11    3.020680e-12    4.952405e-13    1.096063e-14   -1.942268e-15   -5.149109e-19   -2.776644e-16
