# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: -40 C
# W = 2.0 um
# L = 6 um (6000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.850840e-01    2.988298e-02    1.704297e-14    6.104967e-13    6.595954e-17    2.629032e-14   -5.584833e-16   -1.681227e-19   -9.249363e-17
    1.000000e-02    5.850840e-01    2.988298e-02    2.401877e-14    6.106672e-13    9.295815e-17    2.614542e-14   -6.006081e-16   -1.833768e-19   -1.002666e-16
    2.000000e-02    5.850840e-01    2.988298e-02    3.384965e-14    6.109866e-13    1.310074e-16    2.600739e-14   -6.468661e-16   -2.000182e-19   -1.087534e-16
    3.000000e-02    5.850840e-01    2.988298e-02    4.770396e-14    6.113904e-13    1.846299e-16    2.587653e-14   -6.978116e-16   -2.181852e-19   -1.180318e-16
    4.000000e-02    5.850840e-01    2.988298e-02    6.722818e-14    6.119595e-13    2.601994e-16    2.575327e-14   -7.540994e-16   -2.380325e-19   -1.281888e-16
    5.000000e-02    5.850840e-01    2.988298e-02    9.474238e-14    6.127615e-13    3.666973e-16    2.563809e-14   -8.164796e-16   -2.597329e-19   -1.393217e-16
    6.000000e-02    5.850840e-01    2.988298e-02    1.335157e-13    6.138917e-13    5.167802e-16    2.553156e-14   -8.858113e-16   -2.834798e-19   -1.515389e-16
    7.000000e-02    5.850840e-01    2.988298e-02    1.881547e-13    6.154845e-13    7.282833e-16    2.543437e-14   -9.630796e-16   -3.094900e-19   -1.649615e-16
    8.000000e-02    5.850840e-01    2.988298e-02    2.651495e-13    6.177290e-13    1.026338e-15    2.534732e-14   -1.049412e-15   -3.380060e-19   -1.797239e-16
    9.000000e-02    5.850840e-01    2.988299e-02    3.736448e-13    6.208921e-13    1.446356e-15    2.527133e-14   -1.146094e-15   -3.693001e-19   -1.959758e-16
    1.000000e-01    5.850840e-01    2.988299e-02    5.265233e-13    6.253493e-13    2.038232e-15    2.520746e-14   -1.254588e-15   -4.036775e-19   -2.138827e-16
    1.100000e-01    5.850840e-01    2.988299e-02    7.419338e-13    6.316302e-13    2.872266e-15    2.515694e-14   -1.376554e-15   -4.414806e-19   -2.336276e-16
    1.200000e-01    5.850840e-01    2.988299e-02    1.045441e-12    6.404805e-13    4.047500e-15    2.512117e-14   -1.513863e-15   -4.830933e-19   -2.554119e-16
    1.300000e-01    5.850840e-01    2.988300e-02    1.473053e-12    6.529510e-13    5.703464e-15    2.510173e-14   -1.668618e-15   -5.289464e-19   -2.794564e-16
    1.400000e-01    5.850840e-01    2.988300e-02    2.075482e-12    6.705220e-13    8.036708e-15    2.510042e-14   -1.843173e-15   -5.795224e-19   -3.060021e-16
    1.500000e-01    5.850840e-01    2.988301e-02    2.924135e-12    6.952782e-13    1.132408e-14    2.511921e-14   -2.040145e-15   -6.353617e-19   -3.353108e-16
    1.600000e-01    5.850840e-01    2.988302e-02    4.119552e-12    7.301561e-13    1.595550e-14    2.516035e-14   -2.262424e-15   -6.970693e-19   -3.676648e-16
    1.700000e-01    5.850840e-01    2.988303e-02    5.803257e-12    7.792906e-13    2.248005e-14    2.522627e-14   -2.513181e-15   -7.653210e-19   -4.033665e-16
    1.800000e-01    5.850840e-01    2.988306e-02    8.174423e-12    8.485039e-13    3.167084e-14    2.531965e-14   -2.795870e-15   -8.408709e-19   -4.427375e-16
    1.900000e-01    5.850840e-01    2.988309e-02    1.151328e-11    9.459922e-13    4.461624e-14    2.544339e-14   -3.114213e-15   -9.245593e-19   -4.861160e-16
    2.000000e-01    5.850840e-01    2.988313e-02    1.621400e-11    1.083292e-12    6.284807e-14    2.560061e-14   -3.472189e-15   -1.017320e-18   -5.338546e-16
