# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: 25 C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.307406e-01    3.827313e-02    4.752863e-12    7.868378e-13    2.969175e-14    1.098555e-14   -6.925380e-16   -2.664018e-19   -1.258736e-16
    1.000000e-02    5.307406e-01    3.827313e-02    6.217917e-12    8.343664e-13    3.884694e-14    1.096583e-14   -7.515160e-16   -2.865176e-19   -1.351863e-16
    2.000000e-02    5.307406e-01    3.827314e-02    8.134317e-12    9.126970e-13    5.082398e-14    1.095194e-14   -8.163737e-16   -3.082850e-19   -1.452385e-16
    3.000000e-02    5.307406e-01    3.827316e-02    1.064098e-11    1.006013e-12    6.649213e-14    1.094430e-14   -8.876762e-16   -3.318516e-19   -1.560867e-16
    4.000000e-02    5.307406e-01    3.827318e-02    1.391952e-11    1.128083e-12    8.698812e-14    1.094336e-14   -9.660395e-16   -3.573785e-19   -1.677900e-16
    5.000000e-02    5.307406e-01    3.827320e-02    1.820736e-11    1.287760e-12    1.137984e-13    1.094960e-14   -1.052118e-15   -3.850413e-19   -1.804108e-16
    6.000000e-02    5.307406e-01    3.827323e-02    2.381477e-11    1.496619e-12    1.488664e-13    1.096353e-14   -1.146607e-15   -4.150315e-19   -1.940138e-16
    7.000000e-02    5.307406e-01    3.827327e-02    3.114723e-11    1.769792e-12    1.947330e-13    1.098572e-14   -1.250244e-15   -4.475572e-19   -2.086663e-16
    8.000000e-02    5.307406e-01    3.827333e-02    4.073450e-11    2.127062e-12    2.547194e-13    1.101674e-14   -1.363805e-15   -4.828451e-19   -2.244375e-16
    9.000000e-02    5.307406e-01    3.827340e-02    5.326856e-11    2.594281e-12    3.331666e-13    1.105722e-14   -1.488100e-15   -5.211410e-19   -2.413981e-16
    1.000000e-01    5.307406e-01    3.827349e-02    6.965307e-11    3.205237e-12    4.357470e-13    1.110779e-14   -1.623971e-15   -5.627122e-19   -2.596199e-16
    1.100000e-01    5.307406e-01    3.827361e-02    9.106777e-11    4.004070e-12    5.698716e-13    1.116913e-14   -1.772288e-15   -6.078480e-19   -2.791748e-16
    1.200000e-01    5.307406e-01    3.827377e-02    1.190524e-10    5.048441e-12    7.452210e-13    1.124192e-14   -1.933936e-15   -6.568615e-19   -3.001343e-16
    1.300000e-01    5.307406e-01    3.827398e-02    1.556156e-10    6.413646e-12    9.744368e-13    1.132686e-14   -2.109813e-15   -7.100915e-19   -3.225686e-16
    1.400000e-01    5.307406e-01    3.827425e-02    2.033770e-10    8.197992e-12    1.274023e-12    1.142464e-14   -2.300814e-15   -7.679034e-19   -3.465451e-16
    1.500000e-01    5.307406e-01    3.827460e-02    2.657509e-10    1.052978e-11    1.665517e-12    1.153597e-14   -2.507827e-15   -8.306910e-19   -3.721277e-16
    1.600000e-01    5.307406e-01    3.827506e-02    3.471854e-10    1.357640e-11    2.177018e-12    1.166153e-14   -2.731710e-15   -8.988782e-19   -3.993756e-16
    1.700000e-01    5.307406e-01    3.827567e-02    4.534716e-10    1.755613e-11    2.845166e-12    1.180196e-14   -2.973288e-15   -9.729203e-19   -4.283416e-16
    1.800000e-01    5.307406e-01    3.827646e-02    5.921439e-10    2.275353e-11    3.717720e-12    1.195789e-14   -3.233326e-15   -1.053306e-18   -4.590709e-16
    1.900000e-01    5.307406e-01    3.827748e-02    7.729969e-10    2.953929e-11    4.856886e-12    1.212988e-14   -3.512522e-15   -1.140557e-18   -4.915997e-16
    2.000000e-01    5.307406e-01    3.827883e-02    1.008752e-09    3.839606e-11    6.343650e-12    1.231843e-14   -3.811485e-15   -1.235234e-18   -5.259538e-16
    2.100000e-01    5.307406e-01    3.828058e-02    1.315916e-09    4.995182e-11    8.283359e-12    1.252395e-14   -4.130718e-15   -1.337932e-18   -5.621469e-16
    2.200000e-01    5.307406e-01    3.828286e-02    1.715881e-09    6.502302e-11    1.081294e-11    1.274678e-14   -4.470600e-15   -1.449288e-18   -6.001799e-16
    2.300000e-01    5.307406e-01    3.828584e-02    2.236338e-09    8.467018e-11    1.411018e-11    1.298714e-14   -4.831375e-15   -1.569978e-18   -6.400390e-16
    2.400000e-01    5.307406e-01    3.828972e-02    2.913078e-09    1.102696e-10    1.840572e-11    1.324512e-14   -5.213130e-15   -1.700718e-18   -6.816954e-16
    2.500000e-01    5.307406e-01    3.829477e-02    3.792290e-09    1.436052e-10    2.399830e-11    1.352070e-14   -5.615784e-15   -1.842272e-18   -7.251038e-16
    2.600000e-01    5.307406e-01    3.830134e-02    4.933473e-09    1.869867e-10    3.127445e-11    1.381371e-14   -6.039081e-15   -1.995446e-18   -7.702025e-16
    2.700000e-01    5.307406e-01    3.830988e-02    6.413123e-09    2.434005e-10    4.073335e-11    1.412383e-14   -6.482574e-15   -2.161091e-18   -8.169128e-16
    2.800000e-01    5.307406e-01    3.832097e-02    8.329381e-09    3.167015e-10    5.301859e-11    1.445060e-14   -6.945627e-15   -2.340111e-18   -8.651391e-16
    2.900000e-01    5.307406e-01    3.833536e-02    1.080786e-08    4.118583e-10    6.895815e-11    1.479339e-14   -7.427411e-15   -2.533454e-18   -9.147696e-16
    3.000000e-01    5.307406e-01    3.835400e-02    1.400893e-08    5.352625e-10    8.961479e-11    1.515145e-14   -7.926906e-15   -2.742122e-18   -9.656767e-16
    3.100000e-01    5.307406e-01    3.837813e-02    1.813677e-08    6.951200e-10    1.163489e-10    1.552384e-14   -8.442909e-15   -2.967172e-18   -1.017719e-15
    3.200000e-01    5.307406e-01    3.840931e-02    2.345064e-08    9.019437e-10    1.508968e-10    1.590950e-14   -8.974045e-15   -3.209713e-18   -1.070741e-15
    3.300000e-01    5.307406e-01    3.844952e-02    3.027871e-08    1.169171e-09    1.954666e-10    1.630725e-14   -9.518780e-15   -3.470915e-18   -1.124576e-15
    3.400000e-01    5.307406e-01    3.850130e-02    3.903518e-08    1.513934e-09    2.528562e-10    1.671577e-14   -1.007544e-14   -3.752004e-18   -1.179051e-15
    3.500000e-01    5.307406e-01    3.856780e-02    5.024126e-08    1.958025e-09    3.265948e-10    1.713367e-14   -1.064223e-14   -4.054273e-18   -1.233984e-15
    3.600000e-01    5.307406e-01    3.865301e-02    6.455099e-08    2.529087e-09    4.211129e-10    1.755946e-14   -1.121727e-14   -4.379078e-18   -1.289187e-15
    3.700000e-01    5.307406e-01    3.876189e-02    8.278299e-08    3.262096e-09    5.419416e-10    1.799157e-14   -1.179860e-14   -4.727845e-18   -1.344473e-15
    3.800000e-01    5.307406e-01    3.890058e-02    1.059595e-07    4.201200e-09    6.959437e-10    1.842844e-14   -1.238423e-14   -5.102073e-18   -1.399656e-15
    3.900000e-01    5.307406e-01    3.907663e-02    1.353550e-07    5.401982e-09    8.915762e-10    1.886844e-14   -1.297213e-14   -5.503340e-18   -1.454550e-15
    4.000000e-01    5.307406e-01    3.929924e-02    1.725561e-07    6.934276e-09    1.139181e-09    1.930996e-14   -1.356031e-14   -5.933302e-18   -1.508978e-15
    4.100000e-01    5.307406e-01    3.957952e-02    2.195367e-07    8.885650e-09    1.451299e-09    1.975144e-14   -1.414682e-14   -6.393704e-18   -1.562770e-15
    4.200000e-01    5.307406e-01    3.993072e-02    2.787510e-07    1.136572e-08    1.842994e-09    2.019133e-14   -1.472976e-14   -6.886384e-18   -1.615764e-15
    4.300000e-01    5.307406e-01    4.036852e-02    3.532482e-07    1.451153e-08    2.332176e-09    2.062816e-14   -1.530731e-14   -7.413277e-18   -1.667811e-15
    4.400000e-01    5.307406e-01    4.091114e-02    4.468122e-07    1.849414e-08    2.939897e-09    2.106052e-14   -1.587777e-14   -7.976424e-18   -1.718776e-15
    4.500000e-01    5.307406e-01    4.157949e-02    5.641261e-07    2.352682e-08    3.690601e-09    2.148712e-14   -1.643956e-14   -8.577979e-18   -1.768535e-15
