# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: 25 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.220761e-01    3.914379e-02    4.671260e-12    7.867682e-13    2.401551e-14    1.752115e-14   -1.207951e-15   -5.058540e-19   -2.267277e-16
    1.000000e-02    5.220761e-01    3.914380e-02    6.083538e-12    8.334808e-13    3.127901e-14    1.749765e-14   -1.312173e-15   -5.437787e-19   -2.433487e-16
    2.000000e-02    5.220761e-01    3.914382e-02    7.922495e-12    9.098579e-13    4.073831e-14    1.748419e-14   -1.426709e-15   -5.848095e-19   -2.612667e-16
    3.000000e-02    5.220761e-01    3.914385e-02    1.031689e-11    1.000529e-12    5.305672e-14    1.748144e-14   -1.552517e-15   -6.292223e-19   -2.805761e-16
    4.000000e-02    5.220761e-01    3.914388e-02    1.343427e-11    1.118600e-12    6.909767e-14    1.749018e-14   -1.690624e-15   -6.773178e-19   -3.013759e-16
    5.000000e-02    5.220761e-01    3.914391e-02    1.749261e-11    1.272344e-12    8.998496e-14    1.751121e-14   -1.842123e-15   -7.294236e-19   -3.237686e-16
    6.000000e-02    5.220761e-01    3.914397e-02    2.277547e-11    1.472525e-12    1.171811e-13    1.754538e-14   -2.008162e-15   -7.858959e-19   -3.478604e-16
    7.000000e-02    5.220761e-01    3.914403e-02    2.965161e-11    1.733152e-12    1.525893e-13    1.759360e-14   -2.189946e-15   -8.471217e-19   -3.737599e-16
    8.000000e-02    5.220761e-01    3.914412e-02    3.860051e-11    2.072450e-12    1.986853e-13    1.765683e-14   -2.388731e-15   -9.135214e-19   -4.015781e-16
    9.000000e-02    5.220761e-01    3.914423e-02    5.024543e-11    2.514128e-12    2.586901e-13    1.773605e-14   -2.605817e-15   -9.855509e-19   -4.314267e-16
