# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: -40 C
# W = 2.0 um
# L = 0.18 um (180 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    8.298535e-01    3.244465e-02    5.642535e-16    6.100153e-13    1.599390e-17    1.110045e-15   -2.885445e-18    6.312858e-21   -2.050937e-19
    1.000000e-02    8.298535e-01    3.244465e-02    8.166311e-16    6.100209e-13    2.307372e-17    1.104849e-15   -3.021109e-18    6.919745e-21   -2.268168e-19
    2.000000e-02    8.298535e-01    3.244465e-02    1.181890e-15    6.100320e-13    3.328713e-17    1.099739e-15   -3.171667e-18    7.578492e-21   -2.507545e-19
    3.000000e-02    8.298535e-01    3.244465e-02    1.710520e-15    6.100463e-13    4.802089e-17    1.094714e-15   -3.338463e-18    8.292538e-21   -2.771183e-19
    4.000000e-02    8.298535e-01    3.244465e-02    2.475590e-15    6.100670e-13    6.927544e-17    1.089775e-15   -3.522941e-18    9.065425e-21   -3.061381e-19
    5.000000e-02    8.298535e-01    3.244465e-02    3.582851e-15    6.100969e-13    9.993634e-17    1.084919e-15   -3.726649e-18    9.900787e-21   -3.380636e-19
    6.000000e-02    8.298535e-01    3.244465e-02    5.185352e-15    6.101403e-13    1.441659e-16    1.080148e-15   -3.951250e-18    1.080236e-20   -3.731668e-19
    7.000000e-02    8.298535e-01    3.244465e-02    7.504590e-15    6.102030e-13    2.079681e-16    1.075461e-15   -4.198529e-18    1.177396e-20   -4.117432e-19
    8.000000e-02    8.298535e-01    3.244465e-02    1.086113e-14    6.102938e-13    3.000029e-16    1.070859e-15   -4.470407e-18    1.281953e-20   -4.541148e-19
    9.000000e-02    8.298535e-01    3.244465e-02    1.571889e-14    6.104252e-13    4.327618e-16    1.066340e-15   -4.768953e-18    1.394313e-20   -5.006329e-19
    1.000000e-01    8.298535e-01    3.244465e-02    2.274928e-14    6.106154e-13    6.242620e-16    1.061907e-15   -5.096408e-18    1.514900e-20   -5.516812e-19
    1.100000e-01    8.298535e-01    3.244465e-02    3.292395e-14    6.108906e-13    9.004905e-16    1.057560e-15   -5.455205e-18    1.644155e-20   -6.076798e-19
    1.200000e-01    8.298535e-01    3.244465e-02    4.764910e-14    6.112890e-13    1.298929e-15    1.053299e-15   -5.848004e-18    1.782549e-20   -6.690893e-19
    1.300000e-01    8.298535e-01    3.244465e-02    6.895971e-14    6.118655e-13    1.873638e-15    1.049126e-15   -6.277723e-18    1.930586e-20   -7.364169e-19
    1.400000e-01    8.298535e-01    3.244465e-02    9.980073e-14    6.126998e-13    2.702584e-15    1.045041e-15   -6.747589e-18    2.088814e-20   -8.102213e-19
    1.500000e-01    8.298535e-01    3.244465e-02    1.444339e-13    6.139072e-13    3.898217e-15    1.041048e-15   -7.261191e-18    2.257837e-20   -8.911207e-19
    1.600000e-01    8.298535e-01    3.244465e-02    2.090264e-13    6.156547e-13    5.622709e-15    1.037147e-15   -7.822539e-18    2.438326e-20   -9.797997e-19
    1.700000e-01    8.298535e-01    3.244465e-02    3.025026e-13    6.181836e-13    8.109936e-15    1.033342e-15   -8.436145e-18    2.631037e-20   -1.077019e-18
    1.800000e-01    8.298535e-01    3.244465e-02    4.377762e-13    6.218434e-13    1.169717e-14    1.029635e-15   -9.107106e-18    2.836826e-20   -1.183625e-18
    1.900000e-01    8.298535e-01    3.244465e-02    6.335330e-13    6.271398e-13    1.687078e-14    1.026030e-15   -9.841201e-18    3.056663e-20   -1.300561e-18
