# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: -40 C
# W = 2.0 um
# L = 2 um (2000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.512260e-01    2.849752e-02    4.412986e-15    6.101294e-13    2.980891e-17    8.627254e-15   -1.137768e-16   -2.610287e-20   -1.806365e-17
    1.000000e-02    6.512260e-01    2.849752e-02    6.206982e-15    6.101735e-13    4.192714e-17    8.576444e-15   -1.219089e-16   -2.852580e-20   -1.957905e-17
    2.000000e-02    6.512260e-01    2.849752e-02    8.730268e-15    6.102559e-13    5.897174e-17    8.527271e-15   -1.307163e-16   -3.116627e-20   -2.122372e-17
    3.000000e-02    6.512260e-01    2.849752e-02    1.227930e-14    6.103600e-13    8.294534e-17    8.479757e-15   -1.402726e-16   -3.404438e-20   -2.301046e-17
    4.000000e-02    6.512260e-01    2.849752e-02    1.727105e-14    6.105063e-13    1.166647e-16    8.433941e-15   -1.506672e-16   -3.718232e-20   -2.495351e-17
    5.000000e-02    6.512260e-01    2.849752e-02    2.429196e-14    6.107121e-13    1.640914e-16    8.389869e-15   -1.619998e-16   -4.060469e-20   -2.706877e-17
    6.000000e-02    6.512260e-01    2.849752e-02    3.416685e-14    6.110016e-13    2.307977e-16    8.347600e-15   -1.743848e-16   -4.433875e-20   -2.937397e-17
    7.000000e-02    6.512260e-01    2.849752e-02    4.805578e-14    6.114088e-13    3.246204e-16    8.307207e-15   -1.879534e-16   -4.841478e-20   -3.188887e-17
    8.000000e-02    6.512260e-01    2.849752e-02    6.759027e-14    6.119815e-13    4.565819e-16    8.268780e-15   -2.028558e-16   -5.286641e-20   -3.463547e-17
    9.000000e-02    6.512260e-01    2.849752e-02    9.506494e-14    6.127870e-13    6.421849e-16    8.232425e-15   -2.192635e-16   -5.773106e-20   -3.763823e-17
    1.000000e-01    6.512260e-01    2.849752e-02    1.337069e-13    6.139199e-13    9.032324e-16    8.198269e-15   -2.373724e-16   -6.305037e-20   -4.092433e-17
