# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: 25 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.764508e-01    3.732265e-02    4.730100e-13    6.267726e-13    2.281971e-15    1.653450e-14   -6.158264e-16   -2.347330e-19   -1.201775e-16
    1.000000e-02    5.764508e-01    3.732265e-02    6.270897e-13    6.315027e-13    3.025413e-15    1.647200e-14   -6.645735e-16   -2.528440e-19   -1.292331e-16
    2.000000e-02    5.764508e-01    3.732265e-02    8.313466e-13    6.394812e-13    4.011018e-15    1.641510e-14   -7.181693e-16   -2.724381e-19   -1.390328e-16
    3.000000e-02    5.764508e-01    3.732266e-02    1.102114e-12    6.490850e-13    5.317645e-15    1.636416e-14   -7.771331e-16   -2.936486e-19   -1.496401e-16
    4.000000e-02    5.764508e-01    3.732266e-02    1.461039e-12    6.618166e-13    7.049817e-15    1.631957e-14   -8.420303e-16   -3.166216e-19   -1.611229e-16
    5.000000e-02    5.764508e-01    3.732266e-02    1.936807e-12    6.786943e-13    9.346074e-15    1.628175e-14   -9.134870e-16   -3.415171e-19   -1.735544e-16
    6.000000e-02    5.764508e-01    3.732267e-02    2.567430e-12    7.010676e-13    1.239003e-14    1.625120e-14   -9.921854e-16   -3.685100e-19   -1.870128e-16
    7.000000e-02    5.764508e-01    3.732268e-02    3.403275e-12    7.307251e-13    1.642504e-14    1.622844e-14   -1.078866e-15   -3.977920e-19   -2.015814e-16
    8.000000e-02    5.764508e-01    3.732269e-02    4.511067e-12    7.700372e-13    2.177356e-14    1.621405e-14   -1.174333e-15   -4.295728e-19   -2.173491e-16
    9.000000e-02    5.764508e-01    3.732271e-02    5.979198e-12    8.221444e-13    2.886291e-14    1.620866e-14   -1.279454e-15   -4.640816e-19   -2.344100e-16
    1.000000e-01    5.764508e-01    3.732273e-02    7.924746e-12    8.912084e-13    3.825925e-14    1.621296e-14   -1.395167e-15   -5.015688e-19   -2.528634e-16
    1.100000e-01    5.764508e-01    3.732275e-02    1.050275e-11    9.827420e-13    5.071265e-14    1.622770e-14   -1.522473e-15   -5.423082e-19   -2.728136e-16
    1.200000e-01    5.764508e-01    3.732279e-02    1.391851e-11    1.104049e-12    6.721672e-14    1.625366e-14   -1.662446e-15   -5.865983e-19   -2.943699e-16
    1.300000e-01    5.764508e-01    3.732283e-02    1.844379e-11    1.264801e-12    8.908744e-14    1.629172e-14   -1.816223e-15   -6.347647e-19   -3.176458e-16
    1.400000e-01    5.764508e-01    3.732289e-02    2.443825e-11    1.477809e-12    1.180676e-13    1.634276e-14   -1.985004e-15   -6.871621e-19   -3.427583e-16
    1.500000e-01    5.764508e-01    3.732297e-02    3.237780e-11    1.760033e-12    1.564645e-13    1.640775e-14   -2.170050e-15   -7.441766e-19   -3.698277e-16
    1.600000e-01    5.764508e-01    3.732308e-02    4.289191e-11    2.133924e-12    2.073328e-13    1.648767e-14   -2.372672e-15   -8.062276e-19   -3.989761e-16
    1.700000e-01    5.764508e-01    3.732322e-02    5.681290e-11    2.629198e-12    2.747148e-13    1.658358e-14   -2.594226e-15   -8.737710e-19   -4.303262e-16
    1.800000e-01    5.764508e-01    3.732341e-02    7.524085e-11    3.285167e-12    3.639588e-13    1.669652e-14   -2.836098e-15   -9.473007e-19   -4.640003e-16
    1.900000e-01    5.764508e-01    3.732366e-02    9.962906e-11    4.153831e-12    4.821387e-13    1.682759e-14   -3.099690e-15   -1.027352e-18   -5.001182e-16
    2.000000e-01    5.764508e-01    3.732399e-02    1.318964e-10    5.303944e-12    6.386069e-13    1.697786e-14   -3.386408e-15   -1.114502e-18   -5.387955e-16
    2.100000e-01    5.764508e-01    3.732442e-02    1.745751e-10    6.826375e-12    8.457239e-13    1.714843e-14   -3.697634e-15   -1.209377e-18   -5.801415e-16
    2.200000e-01    5.764508e-01    3.732500e-02    2.310040e-10    8.841164e-12    1.119817e-12    1.734032e-14   -4.034710e-15   -1.312649e-18   -6.242567e-16
    2.300000e-01    5.764508e-01    3.732577e-02    3.055826e-10    1.150680e-11    1.482440e-12    1.755456e-14   -4.398912e-15   -1.425041e-18   -6.712306e-16
    2.400000e-01    5.764508e-01    3.732677e-02    4.041020e-10    1.503242e-11    1.962033e-12    1.779207e-14   -4.791418e-15   -1.547332e-18   -7.211386e-16
    2.500000e-01    5.764508e-01    3.732811e-02    5.341778e-10    1.969377e-11    2.596086e-12    1.805369e-14   -5.213284e-15   -1.680355e-18   -7.740398e-16
    2.600000e-01    5.764508e-01    3.732987e-02    7.058128e-10    2.585416e-11    3.433985e-12    1.834016e-14   -5.665412e-15   -1.825002e-18   -8.299740e-16
    2.700000e-01    5.764508e-01    3.733220e-02    9.321278e-10    3.399184e-11    4.540720e-12    1.865207e-14   -6.148520e-15   -1.982225e-18   -8.889592e-16
    2.800000e-01    5.764508e-01    3.733528e-02    1.230307e-09    4.473568e-11    6.001716e-12    1.898984e-14   -6.663109e-15   -2.153041e-18   -9.509888e-16
    2.900000e-01    5.764508e-01    3.733934e-02    1.622820e-09    5.891168e-11    7.929118e-12    1.935372e-14   -7.209441e-15   -2.338530e-18   -1.016030e-15
    3.000000e-01    5.764508e-01    3.734469e-02    2.138988e-09    7.760329e-11    1.046993e-11    1.974375e-14   -7.787508e-15   -2.539841e-18   -1.084021e-15
    3.100000e-01    5.764508e-01    3.735173e-02    2.816993e-09    1.022296e-10    1.381653e-11    2.015975e-14   -8.397011e-15   -2.758191e-18   -1.154872e-15
    3.200000e-01    5.764508e-01    3.736100e-02    3.706440e-09    1.346463e-10    1.822016e-11    2.060129e-14   -9.037344e-15   -2.994870e-18   -1.228461e-15
    3.300000e-01    5.764508e-01    3.737318e-02    4.871602e-09    1.772754e-10    2.400827e-11    2.106770e-14   -9.707586e-15   -3.251242e-18   -1.304635e-15
    3.400000e-01    5.764508e-01    3.738918e-02    6.395519e-09    2.332716e-10    3.160647e-11    2.155806e-14   -1.040649e-14   -3.528745e-18   -1.383213e-15
    3.500000e-01    5.764508e-01    3.741014e-02    8.385143e-09    3.067348e-10    4.156644e-11    2.207119e-14   -1.113249e-14   -3.828899e-18   -1.463983e-15
    3.600000e-01    5.764508e-01    3.743757e-02    1.097776e-08    4.029802e-10    5.460085e-11    2.260569e-14   -1.188370e-14   -4.153302e-18   -1.546707e-15
    3.700000e-01    5.764508e-01    3.747339e-02    1.434900e-08    5.288801e-10    7.162695e-11    2.315989e-14   -1.265797e-14   -4.503636e-18   -1.631122e-15
    3.800000e-01    5.764508e-01    3.752008e-02    1.872264e-08    6.932948e-10    9.382018e-11    2.373192e-14   -1.345285e-14   -4.881671e-18   -1.716943e-15
    3.900000e-01    5.764508e-01    3.758078e-02    2.438286e-08    9.076132e-10    1.226796e-10    2.431974e-14   -1.426567e-14   -5.289265e-18   -1.803871e-15
    4.000000e-01    5.764508e-01    3.765948e-02    3.168912e-08    1.186428e-09    1.601066e-10    2.492111e-14   -1.509356e-14   -5.728372e-18   -1.891591e-15
