# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: 25 C
# W = 2.0 um
# L = 0.5 um (500 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.684747e-01    3.929317e-02    1.442764e-12    6.645772e-13    9.035119e-15    2.264940e-15   -5.467888e-17    8.098641e-20   -1.035038e-17
    1.000000e-02    6.684747e-01    3.929317e-02    1.879279e-12    6.790048e-13    1.176698e-14    2.252828e-15   -5.837381e-17    8.691752e-20   -1.104969e-17
    2.000000e-02    6.684747e-01    3.929317e-02    2.447842e-12    7.026019e-13    1.532472e-14    2.241261e-15   -6.239083e-17    9.338601e-20   -1.180065e-17
    3.000000e-02    6.684747e-01    3.929317e-02    3.188386e-12    7.306201e-13    1.995797e-14    2.230254e-15   -6.676227e-17    1.004484e-19   -1.260739e-17
    4.000000e-02    6.684747e-01    3.929317e-02    4.152914e-12    7.671145e-13    2.599178e-14    2.219827e-15   -7.152365e-17    1.081669e-19   -1.347437e-17
    5.000000e-02    6.684747e-01    3.929318e-02    5.409150e-12    8.146485e-13    3.384938e-14    2.210002e-15   -7.671392e-17    1.166099e-19   -1.440639e-17
    6.000000e-02    6.684747e-01    3.929318e-02    7.045278e-12    8.765609e-13    4.408184e-14    2.200802e-15   -8.237572e-17    1.258525e-19   -1.540859e-17
    7.000000e-02    6.684747e-01    3.929318e-02    9.176123e-12    9.571993e-13    5.740667e-14    2.192257e-15   -8.855502e-17    1.359769e-19   -1.648651e-17
    8.000000e-02    6.684747e-01    3.929319e-02    1.195119e-11    1.062226e-12    7.475801e-14    2.184399e-15   -9.530336e-17    1.470730e-19   -1.764607e-17
    9.000000e-02    6.684747e-01    3.929319e-02    1.556514e-11    1.199013e-12    9.735195e-14    2.177264e-15   -1.026764e-16    1.592392e-19   -1.889362e-17
    1.000000e-01    6.684747e-01    3.929320e-02    2.027136e-11    1.377161e-12    1.267716e-13    2.170892e-15   -1.107345e-16    1.725827e-19   -2.023592e-17
    1.100000e-01    6.684747e-01    3.929321e-02    2.639972e-11    1.609170e-12    1.650778e-13    2.165327e-15   -1.195435e-16    1.872197e-19   -2.168020e-17
    1.200000e-01    6.684747e-01    3.929322e-02    3.437958e-11    1.911313e-12    2.149527e-13    2.160620e-15   -1.291744e-16    2.032769e-19   -2.323413e-17
    1.300000e-01    6.684747e-01    3.929323e-02    4.476972e-11    2.304777e-12    2.798872e-13    2.156823e-15   -1.397043e-16    2.208911e-19   -2.490587e-17
    1.400000e-01    6.684747e-01    3.929325e-02    5.829729e-11    2.817141e-12    3.644240e-13    2.153996e-15   -1.512162e-16    2.402100e-19   -2.670406e-17
    1.500000e-01    6.684747e-01    3.929327e-02    7.590836e-11    3.484303e-12    4.744743e-13    2.152203e-15   -1.637996e-16    2.613926e-19   -2.863779e-17
    1.600000e-01    6.684747e-01    3.929331e-02    9.883371e-11    4.352982e-12    6.177283e-13    2.151513e-15   -1.775502e-16    2.846095e-19   -3.071665e-17
    1.700000e-01    6.684747e-01    3.929335e-02    1.286741e-10    5.483974e-12    8.041896e-13    2.152003e-15   -1.925707e-16    3.100431e-19   -3.295069e-17
    1.800000e-01    6.684747e-01    3.929340e-02    1.675111e-10    6.956384e-12    1.046869e-12    2.153751e-15   -2.089702e-16    3.378874e-19   -3.535038e-17
    1.900000e-01    6.684747e-01    3.929347e-02    2.180510e-10    8.873117e-12    1.362684e-12    2.156845e-15   -2.268646e-16    3.683483e-19   -3.792663e-17
    2.000000e-01    6.684747e-01    3.929356e-02    2.838108e-10    1.136802e-11    1.773630e-12    2.161377e-15   -2.463762e-16    4.016426e-19   -4.069069e-17
    2.100000e-01    6.684747e-01    3.929368e-02    3.693603e-10    1.461515e-11    2.308291e-12    2.167443e-15   -2.676338e-16    4.379977e-19   -4.365415e-17
    2.200000e-01    6.684747e-01    3.929384e-02    4.806348e-10    1.884078e-11    3.003810e-12    2.175145e-15   -2.907717e-16    4.776507e-19   -4.682882e-17
    2.300000e-01    6.684747e-01    3.929404e-02    6.253399e-10    2.433903e-11    3.908431e-12    2.184590e-15   -3.159297e-16    5.208469e-19   -5.022668e-17
    2.400000e-01    6.684747e-01    3.929430e-02    8.134748e-10    3.149202e-11    5.084794e-12    2.195888e-15   -3.432516e-16    5.678379e-19   -5.385975e-17
    2.500000e-01    6.684747e-01    3.929464e-02    1.058009e-09    4.079610e-11    6.614194e-12    2.209154e-15   -3.728851e-16    6.188797e-19   -5.773998e-17
    2.600000e-01    6.684747e-01    3.929508e-02    1.375752e-09    5.289567e-11    8.602091e-12    2.224502e-15   -4.049797e-16    6.742301e-19   -6.187912e-17
    2.700000e-01    6.684747e-01    3.929566e-02    1.788480e-09    6.862704e-11    1.118521e-11    2.242051e-15   -4.396856e-16    7.341450e-19   -6.628855e-17
    2.800000e-01    6.684747e-01    3.929641e-02    2.324378e-09    8.907492e-11    1.454071e-11    2.261916e-15   -4.771521e-16    7.988755e-19   -7.097908e-17
    2.900000e-01    6.684747e-01    3.929738e-02    3.019894e-09    1.156455e-10    1.889798e-11    2.284214e-15   -5.175253e-16    8.686631e-19   -7.596079e-17
    3.000000e-01    6.684747e-01    3.929864e-02    3.922122e-09    1.501603e-10    2.455375e-11    2.309055e-15   -5.609459e-16    9.437353e-19   -8.124280e-17
    3.100000e-01    6.684747e-01    3.930028e-02    5.091832e-09    1.949776e-10    3.189161e-11    2.336546e-15   -6.075473e-16    1.024301e-18   -8.683304e-17
    3.200000e-01    6.684747e-01    3.930241e-02    6.607360e-09    2.531472e-10    4.140686e-11    2.366787e-15   -6.574522e-16    1.110543e-18   -9.273805e-17
