# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: -40 C
# W = 2.0 um
# L = 0.18 um (180 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.783812e-01    3.247096e-02    8.717628e-13    6.358708e-13    3.906728e-14    7.888616e-16   -8.544085e-18    6.642931e-20   -1.119396e-18
    1.000000e-02    6.783812e-01    3.247096e-02    1.221054e-12    6.445885e-13    5.447909e-14    7.857447e-16   -9.188305e-18    7.106289e-20   -1.216954e-18
    2.000000e-02    6.783812e-01    3.247096e-02    1.710283e-12    6.607566e-13    7.596887e-14    7.827225e-16   -9.889021e-18    7.600138e-20   -1.323016e-18
    3.000000e-02    6.783812e-01    3.247096e-02    2.395507e-12    6.810935e-13    1.059328e-13    7.797986e-16   -1.065209e-17    8.127075e-20   -1.438386e-18
    4.000000e-02    6.783812e-01    3.247096e-02    3.355232e-12    7.095783e-13    1.477111e-13    7.769773e-16   -1.148413e-17    8.690003e-20   -1.563959e-18
    5.000000e-02    6.783812e-01    3.247096e-02    4.699400e-12    7.494748e-13    2.059603e-13    7.742635e-16   -1.239259e-17    9.292151e-20   -1.700719e-18
    6.000000e-02    6.783812e-01    3.247096e-02    6.581976e-12    8.053542e-13    2.871711e-13    7.716631e-16   -1.338589e-17    9.937093e-20   -1.849755e-18
    7.000000e-02    6.783812e-01    3.247096e-02    9.218555e-12    8.836182e-13    4.003908e-13    7.691827e-16   -1.447346e-17    1.062877e-19   -2.012267e-18
    8.000000e-02    6.783812e-01    3.247096e-02    1.291103e-11    9.932317e-13    5.582291e-13    7.668299e-16   -1.566593e-17    1.137149e-19   -2.189577e-18
    9.000000e-02    6.783812e-01    3.247096e-02    1.808210e-11    1.146749e-12    7.782601e-13    7.646135e-16   -1.697518e-17    1.216997e-19   -2.383139e-18
    1.000000e-01    6.783812e-01    3.247096e-02    2.532356e-11    1.361749e-12    1.084975e-12    7.625431e-16   -1.841453e-17    1.302930e-19   -2.594549e-18
    1.100000e-01    6.783812e-01    3.247096e-02    3.546392e-11    1.662847e-12    1.512501e-12    7.606300e-16   -1.999882e-17    1.395501e-19   -2.825556e-18
    1.200000e-01    6.783812e-01    3.247096e-02    4.966288e-11    2.084505e-12    2.108390e-12    7.588868e-16   -2.174460e-17    1.495298e-19   -3.078074e-18
    1.300000e-01    6.783812e-01    3.247096e-02    6.954364e-11    2.674973e-12    2.938889e-12    7.573273e-16   -2.367028e-17    1.602951e-19   -3.354194e-18
    1.400000e-01    6.783812e-01    3.247097e-02    9.737772e-11    3.501790e-12    4.096284e-12    7.559675e-16   -2.579625e-17    1.719128e-19   -3.656194e-18
    1.500000e-01    6.783812e-01    3.247097e-02    1.363434e-10    4.659493e-12    5.709113e-12    7.548248e-16   -2.814512e-17    1.844530e-19   -3.986551e-18
    1.600000e-01    6.783812e-01    3.247097e-02    1.908869e-10    6.280390e-12    7.956378e-12    7.539187e-16   -3.074186e-17    1.979894e-19   -4.347954e-18
    1.700000e-01    6.783812e-01    3.247098e-02    2.672266e-10    8.549614e-12    1.108731e-11    7.532708e-16   -3.361397e-17    2.125982e-19   -4.743314e-18
    1.800000e-01    6.783812e-01    3.247099e-02    3.740568e-10    1.172618e-11    1.544887e-11    7.529050e-16   -3.679172e-17    2.283581e-19   -5.175774e-18
    1.900000e-01    6.783812e-01    3.247100e-02    5.235299e-10    1.617236e-11    2.152390e-11    7.528478e-16   -4.030833e-17    2.453495e-19   -5.648720e-18
    2.000000e-01    6.783812e-01    3.247101e-02    7.326253e-10    2.239478e-11    2.998420e-11    7.531279e-16   -4.420014e-17    2.636537e-19   -6.165788e-18
    2.100000e-01    6.783812e-01    3.247103e-02    1.025055e-09    3.110162e-11    4.176414e-11    7.537773e-16   -4.850684e-17    2.833518e-19   -6.730870e-18
    2.200000e-01    6.783812e-01    3.247106e-02    1.433915e-09    4.328254e-11    5.816278e-11    7.548305e-16   -5.327162e-17    3.045241e-19   -7.348118e-18
    2.300000e-01    6.783812e-01    3.247111e-02    2.005371e-09    6.031991e-11    8.098536e-11    7.563254e-16   -5.854137e-17    3.272480e-19   -8.021940e-18
    2.400000e-01    6.783812e-01    3.247117e-02    2.803769e-09    8.414366e-11    1.127393e-10    7.583029e-16   -6.436674e-17    3.515968e-19   -8.757003e-18
    2.500000e-01    6.783812e-01    3.247125e-02    3.918713e-09    1.174466e-10    1.569049e-10    7.608073e-16   -7.080230e-17    3.776378e-19   -9.558214e-18
    2.600000e-01    6.783812e-01    3.247136e-02    5.474852e-09    1.639833e-10    2.183098e-10    7.638862e-16   -7.790651e-17    4.054296e-19   -1.043070e-17
    2.700000e-01    6.783812e-01    3.247153e-02    7.645362e-09    2.289842e-10    3.036444e-10    7.675906e-16   -8.574170e-17    4.350200e-19   -1.137981e-17
    2.800000e-01    6.783812e-01    3.247175e-02    1.067049e-08    3.197291e-10    4.221714e-10    7.719743e-16   -9.437384e-17    4.664428e-19   -1.241102e-17
    2.900000e-01    6.783812e-01    3.247207e-02    1.488294e-08    4.463378e-10    5.867003e-10    7.770946e-16   -1.038723e-16    4.997143e-19   -1.352993e-17
    3.000000e-01    6.783812e-01    3.247250e-02    2.074255e-08    6.228593e-10    8.149207e-10    7.830110e-16   -1.143095e-16    5.348297e-19   -1.474222e-17
    3.100000e-01    6.783812e-01    3.247312e-02    2.888328e-08    8.687664e-10    1.131223e-09    7.897853e-16   -1.257598e-16    5.717587e-19   -1.605349e-17
    3.200000e-01    6.783812e-01    3.247397e-02    4.017673e-08    1.210998e-09    1.569175e-09    7.974808e-16   -1.382996e-16    6.104417e-19   -1.746926e-17
    3.300000e-01    6.783812e-01    3.247515e-02    5.581728e-08    1.686743e-09    2.174873e-09    8.061613e-16   -1.520050e-16    6.507846e-19   -1.899480e-17
    3.400000e-01    6.783812e-01    3.247679e-02    7.743522e-08    2.347204e-09    3.011456e-09    8.158903e-16   -1.669517e-16    6.926551e-19   -2.063500e-17
    3.500000e-01    6.783812e-01    3.247906e-02    1.072459e-07    3.262671e-09    4.165159e-09    8.267293e-16   -1.832124e-16    7.358776e-19   -2.239428e-17
    3.600000e-01    6.783812e-01    3.248221e-02    1.482439e-07    4.529300e-09    5.753349e-09    8.387369e-16   -2.008557e-16    7.802300e-19   -2.427635e-17
    3.700000e-01    6.783812e-01    3.248656e-02    2.044523e-07    6.278102e-09    7.935137e-09    8.519666e-16   -2.199437e-16    8.254407e-19   -2.628410e-17
    3.800000e-01    6.783812e-01    3.249254e-02    2.812378e-07    8.686745e-09    1.092524e-08    8.664652e-16   -2.405296e-16    8.711863e-19   -2.841942e-17
    3.900000e-01    6.783812e-01    3.250076e-02    3.857020e-07    1.199488e-08    1.501186e-08    8.822708e-16   -2.626556e-16    9.170912e-19   -3.068298e-17
    4.000000e-01    6.783812e-01    3.251200e-02    5.271541e-07    1.652377e-08    2.057955e-08    8.994108e-16   -2.863504e-16    9.627292e-19   -3.307409e-17
    4.100000e-01    6.783812e-01    3.252734e-02    7.176686e-07    2.270112e-08    2.813780e-08    9.178997e-16   -3.116266e-16    1.007627e-18   -3.559056e-17
    4.200000e-01    6.783812e-01    3.254816e-02    9.727197e-07    3.109181e-08    3.835635e-08    9.377377e-16   -3.384789e-16    1.051267e-18   -3.822854e-17
    4.300000e-01    6.783812e-01    3.257628e-02    1.311874e-06    4.243533e-08    5.210780e-08    9.589086e-16   -3.668818e-16    1.093101e-18   -4.098245e-17
    4.400000e-01    6.783812e-01    3.261408e-02    1.759507e-06    5.769027e-08    7.051768e-08    9.813787e-16   -3.967884e-16    1.132552e-18   -4.384492e-17
    4.500000e-01    6.783812e-01    3.266457e-02    2.345497e-06    7.808598e-08    9.502161e-08    1.005096e-15   -4.281294e-16    1.169034e-18   -4.680680e-17
    4.600000e-01    6.783812e-01    3.273154e-02    3.105838e-06    1.051807e-07    1.274283e-07    1.029990e-15   -4.608128e-16    1.201960e-18   -4.985720e-17
