# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: -40 C
# W = 2.0 um
# L = 2 um (2000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.967516e-01    2.956125e-02    2.287095e-14    6.106567e-13    1.511245e-16    8.919401e-15   -1.724754e-16   -4.428293e-20   -2.605984e-17
    1.000000e-02    5.967516e-01    2.956125e-02    3.239858e-14    6.108854e-13    2.140816e-16    8.869026e-15   -1.854133e-16   -4.837752e-20   -2.826604e-17
    2.000000e-02    5.967516e-01    2.956125e-02    4.589509e-14    6.113179e-13    3.032653e-16    8.820836e-15   -1.995588e-16   -5.284611e-20   -3.067221e-17
    3.000000e-02    5.967516e-01    2.956125e-02    6.501364e-14    6.118669e-13    4.296006e-16    8.774916e-15   -2.150681e-16   -5.772549e-20   -3.329992e-17
    4.000000e-02    5.967516e-01    2.956125e-02    9.209594e-14    6.126446e-13    6.085631e-16    8.731378e-15   -2.321273e-16   -6.305673e-20   -3.617340e-17
    5.000000e-02    5.967516e-01    2.956125e-02    1.304590e-13    6.137463e-13    8.620739e-16    8.690355e-15   -2.509476e-16   -6.888565e-20   -3.931975e-17
    6.000000e-02    5.967516e-01    2.956125e-02    1.848010e-13    6.153068e-13    1.221185e-15    8.652008e-15   -2.717727e-16   -7.526354e-20   -4.276933e-17
    7.000000e-02    5.967516e-01    2.956125e-02    2.617767e-13    6.175174e-13    1.729879e-15    8.616525e-15   -2.948826e-16   -8.224777e-20   -4.655606e-17
    8.000000e-02    5.967516e-01    2.956125e-02    3.708116e-13    6.206488e-13    2.450458e-15    8.584132e-15   -3.205993e-16   -8.990262e-20   -5.071783e-17
    9.000000e-02    5.967516e-01    2.956125e-02    5.252553e-13    6.250844e-13    3.471164e-15    8.555091e-15   -3.492915e-16   -9.830014e-20   -5.529688e-17
    1.000000e-01    5.967516e-01    2.956125e-02    7.440147e-13    6.313674e-13    4.916987e-15    8.529708e-15   -3.813807e-16   -1.075212e-19   -6.034022e-17
    1.100000e-01    5.967516e-01    2.956125e-02    1.053866e-12    6.402671e-13    6.964951e-15    8.508337e-15   -4.173475e-16   -1.176564e-19   -6.590005e-17
    1.200000e-01    5.967516e-01    2.956125e-02    1.492727e-12    6.528730e-13    9.865776e-15    8.491386e-15   -4.577379e-16   -1.288076e-19   -7.203415e-17
    1.300000e-01    5.967516e-01    2.956126e-02    2.114293e-12    6.707282e-13    1.397454e-14    8.479319e-15   -5.031701e-16   -1.410891e-19   -7.880634e-17
    1.400000e-01    5.967516e-01    2.956126e-02    2.994592e-12    6.960179e-13    1.979410e-14    8.472666e-15   -5.543408e-16   -1.546289e-19   -8.628681e-17
    1.500000e-01    5.967516e-01    2.956126e-02    4.241269e-12    7.318364e-13    2.803652e-14    8.472026e-15   -6.120323e-16   -1.695710e-19   -9.455243e-17
    1.600000e-01    5.967516e-01    2.956127e-02    6.006709e-12    7.825655e-13    3.971009e-14    8.478071e-15   -6.771174e-16   -1.860764e-19   -1.036870e-16
    1.700000e-01    5.967516e-01    2.956127e-02    8.506616e-12    8.544090e-13    5.624242e-14    8.491552e-15   -7.505649e-16   -2.043257e-19   -1.137812e-16
    1.800000e-01    5.967516e-01    2.956128e-02    1.204627e-11    9.561498e-13    7.965458e-14    8.513300e-15   -8.334426e-16   -2.245208e-19   -1.249329e-16
    1.900000e-01    5.967516e-01    2.956130e-02    1.705766e-11    1.100221e-12    1.128075e-13    8.544227e-15   -9.269189e-16   -2.468873e-19   -1.372465e-16
    2.000000e-01    5.967516e-01    2.956132e-02    2.415193e-11    1.304218e-12    1.597505e-13    8.585331e-15   -1.032261e-15   -2.716768e-19   -1.508324e-16
    2.100000e-01    5.967516e-01    2.956134e-02    3.419348e-11    1.593044e-12    2.262138e-13    8.637684e-15   -1.150831e-15   -2.991691e-19   -1.658067e-16
    2.200000e-01    5.967516e-01    2.956138e-02    4.840453e-11    2.001931e-12    3.203045e-13    8.702434e-15   -1.284078e-15   -3.296754e-19   -1.822892e-16
    2.300000e-01    5.967516e-01    2.956144e-02    6.851267e-11    2.580714e-12    4.534907e-13    8.780789e-15   -1.433522e-15   -3.635401e-19   -2.004028e-16
    2.400000e-01    5.967516e-01    2.956152e-02    9.695878e-11    3.399867e-12    6.419887e-13    8.874005e-15   -1.600740e-15   -4.011437e-19   -2.202706e-16
    2.500000e-01    5.967516e-01    2.956163e-02    1.371898e-10    4.559017e-12    9.087232e-13    8.983372e-15   -1.787339e-15   -4.429056e-19   -2.420143e-16
    2.600000e-01    5.967516e-01    2.956179e-02    1.940708e-10    6.198945e-12    1.286088e-12    9.110182e-15   -1.994926e-15   -4.892859e-19   -2.657505e-16
    2.700000e-01    5.967516e-01    2.956201e-02    2.744629e-10    8.518495e-12    1.819835e-12    9.255709e-15   -2.225075e-15   -5.407882e-19   -2.915883e-16
    2.800000e-01    5.967516e-01    2.956232e-02    3.880355e-10    1.179837e-11    2.574550e-12    9.421171e-15   -2.479283e-15   -5.979612e-19   -3.196250e-16
    2.900000e-01    5.967516e-01    2.956276e-02    5.484012e-10    1.643458e-11    3.641340e-12    9.607697e-15   -2.758925e-15   -6.614011e-19   -3.499426e-16
    3.000000e-01    5.967516e-01    2.956339e-02    7.747032e-10    2.298534e-11    5.148626e-12    9.816284e-15   -3.065205e-15   -7.317524e-19   -3.826035e-16
    3.100000e-01    5.967516e-01    2.956428e-02    1.093824e-09    3.223685e-11    7.277251e-12    1.004776e-14   -3.399104e-15   -8.097098e-19   -4.176466e-16
    3.200000e-01    5.967516e-01    2.956553e-02    1.543459e-09    4.529521e-11    1.028160e-11    1.030274e-14   -3.761328e-15   -8.960181e-19   -4.550834e-16
    3.300000e-01    5.967516e-01    2.956729e-02    2.176358e-09    6.371461e-11    1.451901e-11    1.058158e-14   -4.152259e-15   -9.914735e-19   -4.948948e-16
    3.400000e-01    5.967516e-01    2.956977e-02    3.066189e-09    8.967564e-11    2.049070e-11    1.088435e-14   -4.571912e-15   -1.096923e-18   -5.370276e-16
    3.500000e-01    5.967516e-01    2.957327e-02    4.315565e-09    1.262325e-10    2.889834e-11    1.121080e-14   -5.019898e-15   -1.213265e-18   -5.813931e-16
    3.600000e-01    5.967516e-01    2.957819e-02    6.066995e-09    1.776544e-10    4.072206e-11    1.156033e-14   -5.495398e-15   -1.341446e-18   -6.278661e-16
    3.700000e-01    5.967516e-01    2.958510e-02    8.517732e-09    2.498952e-10    5.732745e-11    1.193200e-14   -5.997149e-15   -1.482464e-18   -6.762845e-16
    3.800000e-01    5.967516e-01    2.959478e-02    1.193973e-08    3.512355e-10    8.061123e-11    1.232450e-14   -6.523447e-15   -1.637365e-18   -7.264510e-16
    3.900000e-01    5.967516e-01    2.960834e-02    1.670629e-08    4.931567e-10    1.131983e-10    1.273618e-14   -7.072161e-15   -1.807242e-18   -7.781361e-16
    4.000000e-01    5.967516e-01    2.962727e-02    2.332729e-08    6.915227e-10    1.587059e-10    1.316505e-14   -7.640768e-15   -1.993232e-18   -8.310813e-16
    4.100000e-01    5.967516e-01    2.965363e-02    3.249528e-08    9.681657e-10    2.220936e-10    1.360885e-14   -8.226396e-15   -2.196521e-18   -8.850050e-16
    4.200000e-01    5.967516e-01    2.969023e-02    4.514536e-08    1.353000e-09    3.101218e-10    1.406508e-14   -8.825884e-15   -2.418337e-18   -9.396077e-16
    4.300000e-01    5.967516e-01    2.974087e-02    6.253201e-08    1.886815e-09    4.319421e-10    1.453105e-14   -9.435855e-15   -2.659956e-18   -9.945794e-16
    4.400000e-01    5.967516e-01    2.981065e-02    8.632703e-08    2.624942e-09    5.998445e-10    1.500393e-14   -1.005279e-14   -2.922695e-18   -1.049606e-15
    4.500000e-01    5.967516e-01    2.990633e-02    1.187437e-07    3.642018e-09    8.301805e-10    1.548084e-14   -1.067312e-14   -3.207919e-18   -1.104376e-15
    4.600000e-01    5.967516e-01    3.003681e-02    1.626938e-07    5.038162e-09    1.144472e-09    1.595891e-14   -1.129327e-14   -3.517041e-18   -1.158590e-15
    4.700000e-01    5.967516e-01    3.021363e-02    2.219860e-07    6.946908e-09    1.570699e-09    1.643533e-14   -1.190981e-14   -3.851524e-18   -1.211962e-15
    4.800000e-01    5.967516e-01    3.045151e-02    3.015787e-07    9.545388e-09    2.144720e-09    1.690743e-14   -1.251945e-14   -4.212882e-18   -1.264230e-15
    4.900000e-01    5.967516e-01    3.076892e-02    4.079014e-07    1.306737e-08    2.911760e-09    1.737268e-14   -1.311913e-14   -4.602688e-18   -1.315158e-15
    5.000000e-01    5.967516e-01    3.118858e-02    5.492614e-07    1.781994e-08    3.927817e-09    1.782881e-14   -1.370609e-14   -5.022576e-18   -1.364537e-15
    5.100000e-01    5.967516e-01    3.173779e-02    7.363478e-07    2.420469e-08    5.260821e-09    1.827379e-14   -1.427789e-14   -5.474249e-18   -1.412193e-15
    5.200000e-01    5.967516e-01    3.244847e-02    9.828247e-07    3.274447e-08    6.991306e-09    1.870583e-14   -1.483241e-14   -5.959479e-18   -1.457983e-15
    5.300000e-01    5.967516e-01    3.335682e-02    1.305969e-06    4.411628e-08    9.212352e-09    1.912345e-14   -1.536791e-14   -6.480125e-18   -1.501796e-15
    5.400000e-01    5.967516e-01    3.450251e-02    1.727244e-06    5.919044e-08    1.202858e-08    1.952547e-14   -1.588300e-14   -7.038131e-18   -1.543555e-15
    5.500000e-01    5.967516e-01    3.592724e-02    2.272624e-06    7.907435e-08    1.555404e-08    1.991095e-14   -1.637664e-14   -7.635540e-18   -1.583210e-15
    5.600000e-01    5.967516e-01    3.767279e-02    2.972409e-06    1.051572e-07    1.990903e-08    2.027924e-14   -1.684811e-14   -8.274503e-18   -1.620739e-15
    5.700000e-01    5.967516e-01    3.977867e-02    3.860269e-06    1.391493e-07    2.521593e-08    2.062994e-14   -1.729701e-14   -8.957288e-18   -1.656148e-15
    5.800000e-01    5.967516e-01    4.227950e-02    4.971308e-06    1.831067e-07    3.159453e-08    2.096285e-14   -1.772318e-14   -9.686292e-18   -1.689460e-15
    5.900000e-01    5.967516e-01    4.520255e-02    6.339178e-06    2.394321e-07    3.915725e-08    2.127801e-14   -1.812675e-14   -1.046405e-17   -1.720721e-15
    6.000000e-01    5.967516e-01    4.856569e-02    7.992516e-06    3.108428e-07    4.800479e-08    2.157559e-14   -1.850803e-14   -1.129326e-17   -1.749988e-15
    6.100000e-01    5.967516e-01    5.237604e-02    9.951270e-06    4.003018e-07    5.822283e-08    2.185594e-14   -1.886751e-14   -1.217678e-17   -1.777335e-15
    6.200000e-01    5.967516e-01    5.662955e-02    1.222364e-05    5.109151e-07    6.987997e-08    2.211952e-14   -1.920583e-14   -1.311764e-17   -1.802842e-15
    6.300000e-01    5.967516e-01    6.131144e-02    1.480431e-05    6.458038e-07    8.302724e-08    2.236689e-14   -1.952375e-14   -1.411908e-17   -1.826597e-15
    6.400000e-01    5.967516e-01    6.639758e-02    1.767432e-05    8.079671e-07    9.769899e-08    2.259869e-14   -1.982210e-14   -1.518455e-17   -1.848693e-15
    6.500000e-01    5.967516e-01    7.185630e-02    2.080275e-05    1.000153e-06    1.139150e-07    2.281560e-14   -2.010180e-14   -1.631772e-17   -1.869225e-15
    6.600000e-01    5.967516e-01    7.765072e-02    2.414961e-05    1.224751e-06    1.316837e-07    2.301836e-14   -2.036377e-14   -1.752254e-17   -1.888291e-15
    6.700000e-01    5.967516e-01    8.374099e-02    2.766966e-05    1.483722e-06    1.510052e-07    2.320771e-14   -2.060900e-14   -1.880317e-17   -1.905986e-15
    6.800000e-01    5.967516e-01    9.008641e-02    3.131622e-05    1.778565e-06    1.718754e-07    2.338441e-14   -2.083843e-14   -2.016412e-17   -1.922403e-15
    6.900000e-01    5.967516e-01    9.664723e-02    3.504458e-05    2.110319e-06    1.942891e-07    2.354923e-14   -2.105305e-14   -2.161018e-17   -1.937636e-15
    7.000000e-01    5.967516e-01    1.033860e-01    3.881456e-05    2.479595e-06    2.182431e-07    2.370291e-14   -2.125379e-14   -2.314647e-17   -1.951771e-15
    7.100000e-01    5.967516e-01    1.102684e-01    4.259217e-05    2.886635e-06    2.437393e-07    2.384618e-14   -2.144157e-14   -2.477849e-17   -1.964894e-15
    7.200000e-01    5.967516e-01    1.172641e-01    4.635028e-05    3.331373e-06    2.707860e-07    2.397974e-14   -2.161727e-14   -2.651213e-17   -1.977085e-15
    7.300000e-01    5.967516e-01    1.243464e-01    5.006862e-05    3.813507e-06    2.994000e-07    2.410428e-14   -2.178175e-14   -2.835367e-17   -1.988420e-15
    7.400000e-01    5.967516e-01    1.314930e-01    5.373321e-05    4.332565e-06    3.296080e-07    2.422043e-14   -2.193579e-14   -3.030989e-17   -1.998969e-15
    7.500000e-01    5.967516e-01    1.386849e-01    5.733545e-05    4.887963e-06    3.614466e-07    2.432883e-14   -2.208018e-14   -3.238801e-17   -2.008801e-15
    7.600000e-01    5.967516e-01    1.459066e-01    6.087115e-05    5.479052e-06    3.949638e-07    2.443004e-14   -2.221562e-14   -3.459580e-17   -2.017977e-15
    7.700000e-01    5.967516e-01    1.531459e-01    6.433946e-05    6.105161e-06    4.302188e-07    2.452463e-14   -2.234279e-14   -3.694159e-17   -2.026556e-15
    7.800000e-01    5.967516e-01    1.603926e-01    6.774198e-05    6.765622e-06    4.672825e-07    2.461309e-14   -2.246231e-14   -3.943433e-17   -2.034592e-15
    7.900000e-01    5.967516e-01    1.676394e-01    7.108193e-05    7.459792e-06    5.062375e-07    2.469591e-14   -2.257479e-14   -4.208360e-17   -2.042134e-15
    8.000000e-01    5.967516e-01    1.748802e-01    7.436350e-05    8.187066e-06    5.471788e-07    2.477355e-14   -2.268075e-14   -4.489970e-17   -2.049229e-15
    8.100000e-01    5.967516e-01    1.821109e-01    7.759134e-05    8.946883e-06    5.902134e-07    2.484642e-14   -2.278071e-14   -4.789370e-17   -2.055920e-15
    8.200000e-01    5.967516e-01    1.893282e-01    8.077020e-05    9.738730e-06    6.354613e-07    2.491491e-14   -2.287513e-14   -5.107749e-17   -2.062246e-15
    8.300000e-01    5.967516e-01    1.965301e-01    8.390467e-05    1.056214e-05    6.830555e-07    2.497939e-14   -2.296445e-14   -5.446383e-17   -2.068242e-15
    8.400000e-01    5.967516e-01    2.037152e-01    8.699897e-05    1.141669e-05    7.331427e-07    2.504018e-14   -2.304906e-14   -5.806644e-17   -2.073944e-15
    8.500000e-01    5.967516e-01    2.108827e-01    9.005688e-05    1.230200e-05    7.858841e-07    2.509760e-14   -2.312933e-14   -6.190008e-17   -2.079381e-15
    8.600000e-01    5.967516e-01    2.180323e-01    9.308169e-05    1.321772e-05    8.414561e-07    2.515194e-14   -2.320560e-14   -6.598061e-17   -2.084583e-15
    8.700000e-01    5.967516e-01    2.251639e-01    9.607619e-05    1.416353e-05    9.000512e-07    2.520347e-14   -2.327818e-14   -7.032509e-17   -2.089574e-15
