# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: 85 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    4.504488e-01    4.658623e-02    1.423151e-10    7.134604e-12    8.020906e-13    1.642648e-14   -2.995619e-15   -1.299576e-18   -5.005380e-16
    1.000000e-02    4.504488e-01    4.658664e-02    1.769255e-10    8.724551e-12    9.975406e-13    1.651960e-14   -3.221647e-15   -1.386851e-18   -5.304578e-16
    2.000000e-02    4.504488e-01    4.658715e-02    2.199234e-10    1.070103e-11    1.240503e-12    1.662632e-14   -3.463107e-15   -1.480358e-18   -5.619754e-16
    3.000000e-02    4.504488e-01    4.658778e-02    2.733300e-10    1.315766e-11    1.542482e-12    1.674712e-14   -3.720663e-15   -1.580545e-18   -5.951363e-16
    4.000000e-02    4.504488e-01    4.658856e-02    3.396495e-10    1.621061e-11    1.917753e-12    1.688252e-14   -3.994971e-15   -1.687889e-18   -6.299818e-16
    5.000000e-02    4.504488e-01    4.658953e-02    4.219828e-10    2.000395e-11    2.384019e-12    1.703298e-14   -4.286647e-15   -1.802896e-18   -6.665480e-16
    6.000000e-02    4.504488e-01    4.659073e-02    5.241672e-10    2.471633e-11    2.963229e-12    1.719894e-14   -4.596267e-15   -1.926107e-18   -7.048655e-16
    7.000000e-02    4.504488e-01    4.659223e-02    6.509488e-10    3.056916e-11    3.682579e-12    1.738083e-14   -4.924360e-15   -2.058095e-18   -7.449584e-16
    8.000000e-02    4.504488e-01    4.659409e-02    8.081932e-10    3.783670e-11    4.575751e-12    1.757902e-14   -5.271393e-15   -2.199472e-18   -7.868436e-16
    9.000000e-02    4.504488e-01    4.659640e-02    1.003144e-09    4.685853e-11    5.684440e-12    1.779381e-14   -5.637771e-15   -2.350886e-18   -8.305300e-16
    1.000000e-01    4.504488e-01    4.659926e-02    1.244742e-09    5.805484e-11    7.060223e-12    1.802549e-14   -6.023821e-15   -2.513024e-18   -8.760179e-16
    1.100000e-01    4.504488e-01    4.660281e-02    1.544005e-09    7.194530e-11    8.766860e-12    1.827426e-14   -6.429786e-15   -2.686615e-18   -9.232983e-16
    1.200000e-01    4.504488e-01    4.660722e-02    1.914508e-09    8.917207e-11    1.088311e-11    1.854025e-14   -6.855819e-15   -2.872434e-18   -9.723526e-16
    1.300000e-01    4.504488e-01    4.661268e-02    2.372951e-09    1.105282e-10    1.350616e-11    1.882351e-14   -7.301970e-15   -3.071299e-18   -1.023152e-15
