# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: 85 C
# W = 2.0 um
# L = 6 um (6000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    4.448131e-01    4.580734e-02    8.723596e-11    4.559640e-12    3.562470e-13    2.815732e-14   -5.195169e-15   -2.254957e-18   -8.670323e-16
    1.000000e-02    4.448131e-01    4.580778e-02    1.087471e-10    5.535618e-12    4.442738e-13    2.832479e-14   -5.592680e-15   -2.408401e-18   -9.197168e-16
    2.000000e-02    4.448131e-01    4.580833e-02    1.355429e-10    6.752169e-12    5.539964e-13    2.851633e-14   -6.017676e-15   -2.572954e-18   -9.752587e-16
    3.000000e-02    4.448131e-01    4.580902e-02    1.689140e-10    8.268359e-12    6.907408e-13    2.873283e-14   -6.471346e-15   -2.749422e-18   -1.033740e-15
    4.000000e-02    4.448131e-01    4.580987e-02    2.104637e-10    1.015767e-11    8.611314e-13    2.897519e-14   -6.954855e-15   -2.938667e-18   -1.095234e-15
    5.000000e-02    4.448131e-01    4.581093e-02    2.621817e-10    1.251147e-11    1.073405e-12    2.924424e-14   -7.469300e-15   -3.141606e-18   -1.159807e-15
    6.000000e-02    4.448131e-01    4.581226e-02    3.265367e-10    1.544336e-11    1.337800e-12    2.954078e-14   -8.015699e-15   -3.359215e-18   -1.227512e-15
    7.000000e-02    4.448131e-01    4.581391e-02    4.065890e-10    1.909445e-11    1.667033e-12    2.986553e-14   -8.594977e-15   -3.592532e-18   -1.298392e-15
    8.000000e-02    4.448131e-01    4.581597e-02    5.061297e-10    2.364000e-11    2.076892e-12    3.021913e-14   -9.207954e-15   -3.842664e-18   -1.372475e-15
    9.000000e-02    4.448131e-01    4.581853e-02    6.298515e-10    2.929753e-11    2.586970e-12    3.060214e-14   -9.855320e-15   -4.110785e-18   -1.449774e-15
    1.000000e-01    4.448131e-01    4.582171e-02    7.835578e-10    3.633683e-11    3.221555e-12    3.101501e-14   -1.053763e-14   -4.398139e-18   -1.530289e-15
    1.100000e-01    4.448131e-01    4.582567e-02    9.744187e-10    4.509235e-11    4.010744e-12    3.145806e-14   -1.125527e-14   -4.706050e-18   -1.614000e-15
    1.200000e-01    4.448131e-01    4.583059e-02    1.211283e-09    5.597832e-11    4.991794e-12    3.193151e-14   -1.200847e-14   -5.035921e-18   -1.700869e-15
    1.300000e-01    4.448131e-01    4.583670e-02    1.505060e-09    6.950744e-11    6.210782e-12    3.243541e-14   -1.279727e-14   -5.389237e-18   -1.790840e-15
    1.400000e-01    4.448131e-01    4.584430e-02    1.869181e-09    8.631366e-11    7.724633e-12    3.296968e-14   -1.362151e-14   -5.767573e-18   -1.883838e-15
    1.500000e-01    4.448131e-01    4.585372e-02    2.320160e-09    1.071802e-10    9.603593e-12    3.353408e-14   -1.448083e-14   -6.172596e-18   -1.979765e-15
    1.600000e-01    4.448131e-01    4.586541e-02    2.878274e-09    1.330735e-10    1.193424e-11    3.412818e-14   -1.537463e-14   -6.606069e-18   -2.078507e-15
    1.700000e-01    4.448131e-01    4.587990e-02    3.568381e-09    1.651850e-10    1.482310e-11    3.475142e-14   -1.630214e-14   -7.069861e-18   -2.179927e-15
    1.800000e-01    4.448131e-01    4.589785e-02    4.420905e-09    2.049817e-10    1.840107e-11    3.540302e-14   -1.726232e-14   -7.565944e-18   -2.283869e-15
    1.900000e-01    4.448131e-01    4.592005e-02    5.473023e-09    2.542675e-10    2.282868e-11    3.608208e-14   -1.825393e-14   -8.096406e-18   -2.390159e-15
    2.000000e-01    4.448131e-01    4.594750e-02    6.770079e-09    3.152576e-10    2.830244e-11    3.678747e-14   -1.927553e-14   -8.663454e-18   -2.498604e-15
    2.100000e-01    4.448131e-01    4.598140e-02    8.367286e-09    3.906683e-10    3.506233e-11    3.751794e-14   -2.032544e-14   -9.269421e-18   -2.608994e-15
    2.200000e-01    4.448131e-01    4.602322e-02    1.033175e-08    4.838259e-10    4.340075e-11    3.827205e-14   -2.140180e-14   -9.916773e-18   -2.721106e-15
    2.300000e-01    4.448131e-01    4.607472e-02    1.274489e-08    5.987969e-10    5.367300e-11    3.904822e-14   -2.250256e-14   -1.060812e-17   -2.834701e-15
    2.400000e-01    4.448131e-01    4.613807e-02    1.570532e-08    7.405456e-10    6.630953e-11    3.984473e-14   -2.362548e-14   -1.134621e-17   -2.949531e-15
    2.500000e-01    4.448131e-01    4.621586e-02    1.933232e-08    9.151225e-10    8.183013e-11    4.065973e-14   -2.476821e-14   -1.213397e-17   -3.065337e-15
    2.600000e-01    4.448131e-01    4.631123e-02    2.376992e-08    1.129891e-09    1.008602e-10    4.149125e-14   -2.592823e-14   -1.297447e-17   -3.181853e-15
    2.700000e-01    4.448131e-01    4.642792e-02    2.919192e-08    1.393798e-09    1.241493e-10    4.233726e-14   -2.710293e-14   -1.387097e-17   -3.298811e-15
    2.800000e-01    4.448131e-01    4.657039e-02    3.580778e-08    1.717704e-09    1.525919e-10    4.319562e-14   -2.828961e-14   -1.482693e-17   -3.415939e-15
    2.900000e-01    4.448131e-01    4.674394e-02    4.386988e-08    2.114769e-09    1.872499e-10    4.406415e-14   -2.948552e-14   -1.584599e-17   -3.532965e-15
    3.000000e-01    4.448131e-01    4.695481e-02    5.368224e-08    2.600929e-09    2.293781e-10    4.494063e-14   -3.068787e-14   -1.693201e-17   -3.649622e-15
    3.100000e-01    4.448131e-01    4.721032e-02    6.561115e-08    3.195461e-09    2.804502e-10    4.582282e-14   -3.189386e-14   -1.808909e-17   -3.765649e-15
    3.200000e-01    4.448131e-01    4.751899e-02    8.009805e-08    3.921668e-09    3.421863e-10    4.670851e-14   -3.310073e-14   -1.932157e-17   -3.880790e-15
    3.300000e-01    4.448131e-01    4.789069e-02    9.767520e-08    4.807710e-09    4.165808e-10    4.759549e-14   -3.430573e-14   -2.063403e-17   -3.994800e-15
    3.400000e-01    4.448131e-01    4.833671e-02    1.189844e-07    5.887598e-09    5.059285e-10    4.848160e-14   -3.550620e-14   -2.203137e-17   -4.107448e-15
    3.500000e-01    4.448131e-01    4.886990e-02    1.447996e-07    7.202401e-09    6.128491e-10    4.936475e-14   -3.669956e-14   -2.351874e-17   -4.218514e-15
    3.600000e-01    4.448131e-01    4.950470e-02    1.760525e-07    8.801695e-09    7.403071e-10    5.024291e-14   -3.788335e-14   -2.510163e-17   -4.327794e-15
    3.700000e-01    4.448131e-01    5.025722e-02    2.138626e-07    1.074528e-08    8.916261e-10    5.111416e-14   -3.905523e-14   -2.678589e-17   -4.435100e-15
