# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: -40 C
# W = 2.0 um
# L = 2 um (2000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.424361e-01    2.853195e-02    5.839363e-15    6.101710e-13    3.940008e-17    8.656124e-15   -1.223723e-16   -2.853059e-20   -1.935187e-17
    1.000000e-02    6.424361e-01    2.853195e-02    8.215877e-15    6.102294e-13    5.543539e-17    8.605484e-15   -1.311752e-16   -3.116991e-20   -2.097276e-17
    2.000000e-02    6.424361e-01    2.853195e-02    1.155957e-14    6.103385e-13    7.799675e-17    8.556549e-15   -1.407220e-16   -3.404621e-20   -2.273299e-17
    3.000000e-02    6.424361e-01    2.853195e-02    1.626403e-14    6.104763e-13    1.097401e-16    8.509348e-15   -1.510967e-16   -3.718154e-20   -2.464652e-17
    4.000000e-02    6.424361e-01    2.853195e-02    2.288302e-14    6.106702e-13    1.544021e-16    8.463929e-15   -1.624002e-16   -4.060032e-20   -2.672894e-17
    5.000000e-02    6.424361e-01    2.853195e-02    3.219566e-14    6.109429e-13    2.172402e-16    8.420347e-15   -1.747457e-16   -4.432965e-20   -2.899761e-17
    6.000000e-02    6.424361e-01    2.853195e-02    4.529805e-14    6.113267e-13    3.056511e-16    8.378675e-15   -1.882630e-16   -4.839958e-20   -3.147195e-17
    7.000000e-02    6.424361e-01    2.853195e-02    6.373233e-14    6.118666e-13    4.300415e-16    8.338999e-15   -2.031010e-16   -5.284353e-20   -3.417353e-17
    8.000000e-02    6.424361e-01    2.853195e-02    8.966806e-14    6.126262e-13    6.050529e-16    8.301424e-15   -2.194300e-16   -5.769865e-20   -3.712643e-17
    9.000000e-02    6.424361e-01    2.853195e-02    1.261575e-13    6.136950e-13    8.512839e-16    8.266074e-15   -2.374447e-16   -6.300634e-20   -4.035739e-17
    1.000000e-01    6.424361e-01    2.853195e-02    1.774945e-13    6.151987e-13    1.197714e-15    8.233097e-15   -2.573670e-16   -6.881271e-20   -4.389612e-17
    1.100000e-01    6.424361e-01    2.853195e-02    2.497198e-13    6.173142e-13    1.685115e-15    8.202664e-15   -2.794499e-16   -7.516917e-20   -4.777561e-17
    1.200000e-01    6.424361e-01    2.853195e-02    3.513311e-13    6.202907e-13    2.370843e-15    8.174975e-15   -3.039807e-16   -8.213309e-20   -5.203238e-17
    1.300000e-01    6.424361e-01    2.853195e-02    4.942820e-13    6.244781e-13    3.335589e-15    8.150261e-15   -3.312852e-16   -8.976846e-20   -5.670683e-17
    1.400000e-01    6.424361e-01    2.853196e-02    6.953871e-13    6.303694e-13    4.692863e-15    8.128786e-15   -3.617321e-16   -9.814674e-20   -6.184354e-17
    1.500000e-01    6.424361e-01    2.853196e-02    9.782974e-13    6.386575e-13    6.602345e-15    8.110853e-15   -3.957372e-16   -1.073477e-19   -6.749161e-17
    1.600000e-01    6.424361e-01    2.853196e-02    1.376278e-12    6.503174e-13    9.288650e-15    8.096806e-15   -4.337683e-16   -1.174604e-19   -7.370497e-17
    1.700000e-01    6.424361e-01    2.853196e-02    1.936114e-12    6.667205e-13    1.306772e-14    8.087035e-15   -4.763501e-16   -1.285841e-19   -8.054266e-17
    1.800000e-01    6.424361e-01    2.853196e-02    2.723600e-12    6.897956e-13    1.838395e-14    8.081977e-15   -5.240684e-16   -1.408297e-19   -8.806909e-17
    1.900000e-01    6.424361e-01    2.853197e-02    3.831252e-12    7.222556e-13    2.586233e-14    8.082124e-15   -5.775753e-16   -1.543210e-19   -9.635432e-17
    2.000000e-01    6.424361e-01    2.853197e-02    5.389152e-12    7.679157e-13    3.638186e-14    8.088023e-15   -6.375928e-16   -1.691955e-19   -1.054741e-16
    2.100000e-01    6.424361e-01    2.853198e-02    7.580178e-12    8.321409e-13    5.117857e-14    8.100278e-15   -7.049160e-16   -1.856068e-19   -1.155100e-16
    2.200000e-01    6.424361e-01    2.853199e-02    1.066139e-11    9.224751e-13    7.199044e-14    8.119557e-15   -7.804164e-16   -2.037253e-19   -1.265493e-16
    2.300000e-01    6.424361e-01    2.853200e-02    1.499404e-11    1.049524e-12    1.012609e-13    8.146589e-15   -8.650419e-16   -2.237406e-19   -1.386848e-16
    2.400000e-01    6.424361e-01    2.853202e-02    2.108575e-11    1.228197e-12    1.424249e-13    8.182163e-15   -9.598165e-16   -2.458629e-19   -1.520142e-16
    2.500000e-01    6.424361e-01    2.853205e-02    2.964957e-11    1.479448e-12    2.003098e-13    8.227129e-15   -1.065837e-15   -2.703248e-19   -1.666397e-16
    2.600000e-01    6.424361e-01    2.853209e-02    4.168685e-11    1.832722e-12    2.816994e-13    8.282393e-15   -1.184268e-15   -2.973837e-19   -1.826669e-16
    2.700000e-01    6.424361e-01    2.853215e-02    5.860333e-11    2.329387e-12    3.961239e-13    8.348909e-15   -1.316331e-15   -3.273231e-19   -2.002036e-16
    2.800000e-01    6.424361e-01    2.853223e-02    8.237159e-11    3.027541e-12    5.569681e-13    8.427668e-15   -1.463293e-15   -3.604552e-19   -2.193583e-16
    2.900000e-01    6.424361e-01    2.853234e-02    1.157583e-10    4.008758e-12    7.830245e-13    8.519691e-15   -1.626449e-15   -3.971226e-19   -2.402379e-16
    3.000000e-01    6.424361e-01    2.853250e-02    1.626416e-10    5.387525e-12    1.100667e-12    8.626006e-15   -1.807099e-15   -4.377002e-19   -2.629461e-16
    3.100000e-01    6.424361e-01    2.853272e-02    2.284539e-10    7.324449e-12    1.546895e-12    8.747630e-15   -2.006526e-15   -4.825970e-19   -2.875799e-16
    3.200000e-01    6.424361e-01    2.853304e-02    3.207989e-10    1.004471e-11    2.173579e-12    8.885548e-15   -2.225958e-15   -5.322580e-19   -3.142273e-16
    3.300000e-01    6.424361e-01    2.853347e-02    4.503088e-10    1.386385e-11    3.053397e-12    9.040682e-15   -2.466543e-15   -5.871655e-19   -3.429637e-16
    3.400000e-01    6.424361e-01    2.853409e-02    6.318346e-10    1.922363e-11    4.288100e-12    9.213864e-15   -2.729302e-15   -6.478405e-19   -3.738486e-16
    3.500000e-01    6.424361e-01    2.853495e-02    8.860923e-10    2.674209e-11    6.020012e-12    9.405803e-15   -3.015096e-15   -7.148437e-19   -4.069222e-16
    3.600000e-01    6.424361e-01    2.853616e-02    1.241935e-09    3.728286e-11    8.447988e-12    9.617054e-15   -3.324580e-15   -7.887765e-19   -4.422017e-16
    3.700000e-01    6.424361e-01    2.853786e-02    1.739478e-09    5.205142e-11    1.184952e-11    9.847984e-15   -3.658165e-15   -8.702811e-19   -4.796785e-16
    3.800000e-01    6.424361e-01    2.854023e-02    2.434376e-09    7.272792e-11    1.661124e-11    1.009874e-14   -4.015982e-15   -9.600411e-19   -5.193155e-16
    3.900000e-01    6.424361e-01    2.854355e-02    3.403656e-09    1.016503e-10    2.327090e-11    1.036924e-14   -4.397848e-15   -1.058781e-18   -5.610444e-16
    4.000000e-01    6.424361e-01    2.854819e-02    4.753626e-09    1.420656e-10    3.257483e-11    1.065912e-14   -4.803241e-15   -1.167266e-18   -6.047654e-16
    4.100000e-01    6.424361e-01    2.855466e-02    6.630533e-09    1.984733e-10    4.555630e-11    1.096774e-14   -5.231286e-15   -1.286302e-18   -6.503457e-16
    4.200000e-01    6.424361e-01    2.856368e-02    9.234823e-09    2.770928e-10    6.364167e-11    1.129419e-14   -5.680744e-15   -1.416734e-18   -6.976208e-16
    4.300000e-01    6.424361e-01    2.857621e-02    1.284008e-08    3.864956e-10    8.879312e-11    1.163725e-14   -6.150027e-15   -1.559445e-18   -7.463963e-16
    4.400000e-01    6.424361e-01    2.859361e-02    1.781797e-08    5.384555e-10    1.236992e-10    1.199547e-14   -6.637207e-15   -1.715356e-18   -7.964502e-16
    4.500000e-01    6.424361e-01    2.861769e-02    2.467079e-08    7.490858e-10    1.720260e-10    1.236711e-14   -7.140053e-15   -1.885426e-18   -8.475372e-16
    4.600000e-01    6.424361e-01    2.865094e-02    3.407351e-08    1.040346e-09    2.387458e-10    1.275026e-14   -7.656070e-15   -2.070648e-18   -8.993934e-16
    4.700000e-01    6.424361e-01    2.869667e-02    4.692778e-08    1.442029e-09    3.305582e-10    1.314278e-14   -8.182551e-15   -2.272054e-18   -9.517416e-16
    4.800000e-01    6.424361e-01    2.875936e-02    6.443049e-08    1.994354e-09    4.564238e-10    1.354246e-14   -8.716635e-15   -2.490708e-18   -1.004298e-15
    4.900000e-01    6.424361e-01    2.884488e-02    8.816054e-08    2.751342e-09    6.282235e-10    1.394695e-14   -9.255371e-15   -2.727711e-18   -1.056776e-15
    5.000000e-01    6.424361e-01    2.896096e-02    1.201885e-07    3.785155e-09    8.615534e-10    1.435390e-14   -9.795784e-15   -2.984204e-18   -1.108896e-15
    5.100000e-01    6.424361e-01    2.911761e-02    1.632149e-07    5.191684e-09    1.176653e-09    1.476099e-14   -1.033494e-14   -3.261361e-18   -1.160390e-15
    5.200000e-01    6.424361e-01    2.932759e-02    2.207460e-07    7.097688e-09    1.599447e-09    1.516594e-14   -1.087001e-14   -3.560400e-18   -1.211003e-15
    5.300000e-01    6.424361e-01    2.960693e-02    2.973176e-07    9.669927e-09    2.162646e-09    1.556661e-14   -1.139830e-14   -3.882579e-18   -1.260505e-15
    5.400000e-01    6.424361e-01    2.997537e-02    3.987786e-07    1.312682e-08    2.906839e-09    1.596100e-14   -1.191736e-14   -4.229203e-18   -1.308686e-15
    5.500000e-01    6.424361e-01    3.045677e-02    5.326461e-07    1.775329e-08    3.881447e-09    1.634728e-14   -1.242494e-14   -4.601627e-18   -1.355366e-15
    5.600000e-01    6.424361e-01    3.107917e-02    7.085324e-07    2.391952e-08    5.145387e-09    1.672385e-14   -1.291908e-14   -5.001258e-18   -1.400392e-15
    5.700000e-01    6.424361e-01    3.187472e-02    9.386245e-07    3.210428e-08    6.767283e-09    1.708931e-14   -1.339809e-14   -5.429564e-18   -1.443642e-15
    5.800000e-01    6.424361e-01    3.287905e-02    1.238157e-06    4.292309e-08    8.825046e-09    1.744249e-14   -1.386059e-14   -5.888076e-18   -1.485022e-15
