# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: -40 C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.395218e-01    2.893327e-02    4.243775e-15    6.101224e-13    2.518506e-17    1.074010e-14   -1.466607e-16   -3.483190e-20   -2.300110e-17
    1.000000e-02    6.395218e-01    2.893327e-02    6.002511e-15    6.101648e-13    3.562256e-17    1.067656e-14   -1.572746e-16   -3.810692e-20   -2.495706e-17
    2.000000e-02    6.395218e-01    2.893327e-02    8.490100e-15    6.102449e-13    5.038563e-17    1.061512e-14   -1.687815e-16   -4.167974e-20   -2.708265e-17
    3.000000e-02    6.395218e-01    2.893327e-02    1.200858e-14    6.103463e-13    7.126685e-17    1.055583e-14   -1.812812e-16   -4.557827e-20   -2.939499e-17
    4.000000e-02    6.395218e-01    2.893327e-02    1.698514e-14    6.104899e-13    1.008017e-16    1.049874e-14   -1.948934e-16   -4.983343e-20   -3.191324e-17
    5.000000e-02    6.395218e-01    2.893327e-02    2.402398e-14    6.106929e-13    1.425761e-16    1.044392e-14   -2.097556e-16   -5.447957e-20   -3.465885e-17
    6.000000e-02    6.395218e-01    2.893327e-02    3.397969e-14    6.109800e-13    2.016623e-16    1.039144e-14   -2.260248e-16   -5.955481e-20   -3.765578e-17
    7.000000e-02    6.395218e-01    2.893327e-02    4.806087e-14    6.113862e-13    2.852340e-16    1.034142e-14   -2.438815e-16   -6.510160e-20   -4.093080e-17
    8.000000e-02    6.395218e-01    2.893327e-02    6.797693e-14    6.119606e-13    4.034374e-16    1.029398e-14   -2.635333e-16   -7.116720e-20   -4.451379e-17
    9.000000e-02    6.395218e-01    2.893327e-02    9.614543e-14    6.127731e-13    5.706230e-16    1.024928e-14   -2.852181e-16   -7.780431e-20   -4.843808e-17
    1.000000e-01    6.395218e-01    2.893327e-02    1.359854e-13    6.139223e-13    8.070864e-16    1.020749e-14   -3.092082e-16   -8.507175e-20   -5.274080e-17
    1.100000e-01    6.395218e-01    2.893327e-02    1.923323e-13    6.155476e-13    1.141532e-15    1.016882e-14   -3.358153e-16   -9.303519e-20   -5.746324e-17
