# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 3 um (3000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    5.423090e-03    1.853378e+02    3.050472e-07    4.106223e-02    6.411970e-09    2.058611e-14    8.543830e-11    1.333242e-11    0.000000e+00    6.376012e-01    2.921595e-02
    7.697894e-03    1.853372e+02    3.050638e-07    5.863924e-02    6.373740e-09    2.254331e-14    9.164715e-11    1.447806e-11    1.000000e-02    6.376012e-01    2.921595e-02
    1.092635e-02    1.853365e+02    3.050952e-07    8.372643e-02    6.336770e-09    2.468003e-14    9.837645e-11    1.572363e-11    2.000000e-02    6.376012e-01    2.921595e-02
    1.550833e-02    1.853356e+02    3.051351e-07    1.195261e-01    6.301075e-09    2.701317e-14    1.056848e-10    1.707927e-11    3.000000e-02    6.376012e-01    2.921595e-02
    2.201049e-02    1.853344e+02    3.051917e-07    1.706021e-01    6.266690e-09    2.956148e-14    1.136403e-10    1.855637e-11    4.000000e-02    6.376012e-01    2.921595e-02
    3.123629e-02    1.853332e+02    3.052722e-07    2.434582e-01    6.233650e-09    3.234577e-14    1.223240e-10    2.016762e-11    5.000000e-02    6.376012e-01    2.921595e-02
    4.432401e-02    1.853316e+02    3.053864e-07    3.473576e-01    6.202005e-09    3.538917e-14    1.318278e-10    2.192732e-11    6.000000e-02    6.376012e-01    2.921595e-02
    6.288525e-02    1.853297e+02    3.055485e-07    4.954915e-01    6.171815e-09    3.871746e-14    1.422575e-10    2.385140e-11    7.000000e-02    6.376012e-01    2.921595e-02
    8.919893e-02    1.853276e+02    3.057786e-07    7.066354e-01    6.143155e-09    4.235934e-14    1.537352e-10    2.595769e-11    8.000000e-02    6.376012e-01    2.921595e-02
    1.264826e-01    1.853250e+02    3.061052e-07    1.007502e+00    6.116120e-09    4.634687e-14    1.664011e-10    2.826614e-11    9.000000e-02    6.376012e-01    2.921595e-02
    1.792689e-01    1.853219e+02    3.065689e-07    1.436079e+00    6.090805e-09    5.071585e-14    1.804165e-10    3.079899e-11    1.000000e-01    6.376012e-01    2.921595e-02
    2.539223e-01    1.853183e+02    3.072270e-07    2.046360e+00    6.067340e-09    5.550625e-14    1.959657e-10    3.358102e-11    1.100000e-01    6.376012e-01    2.921595e-02
