# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: 85 C
# W = 2.0 um
# L = 1.5 um (1500 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    5.312701e-01    4.592089e-02    4.946630e-11    2.805501e-12    3.520383e-13    6.375947e-15   -6.125868e-16   -2.566498e-19   -1.155497e-16
    1.000000e-02    5.312701e-01    4.592096e-02    6.195514e-11    3.300164e-12    4.409924e-13    6.376322e-15   -6.593856e-16   -2.735874e-19   -1.227628e-16
    2.000000e-02    5.312701e-01    4.592104e-02    7.759238e-11    4.055081e-12    5.524012e-13    6.380192e-15   -7.098701e-16   -2.917256e-19   -1.304245e-16
    3.000000e-02    5.312701e-01    4.592115e-02    9.716984e-11    4.925230e-12    6.919239e-13    6.387735e-15   -7.642895e-16   -3.111530e-19   -1.385582e-16
    4.000000e-02    5.312701e-01    4.592128e-02    1.216777e-10    6.014885e-12    8.666425e-13    6.399135e-15   -8.229024e-16   -3.319649e-19   -1.471873e-16
    5.000000e-02    5.312701e-01    4.592144e-02    1.523541e-10    7.379312e-12    1.085418e-12    6.414586e-15   -8.859752e-16   -3.542633e-19   -1.563356e-16
    6.000000e-02    5.312701e-01    4.592165e-02    1.907463e-10    9.087644e-12    1.359334e-12    6.434285e-15   -9.537789e-16   -3.781574e-19   -1.660270e-16
    7.000000e-02    5.312701e-01    4.592191e-02    2.387879e-10    1.122635e-11    1.702254e-12    6.458438e-15   -1.026594e-15   -4.037642e-19   -1.762851e-16
    8.000000e-02    5.312701e-01    4.592223e-02    2.988943e-10    1.390355e-11    2.131512e-12    6.487254e-15   -1.104703e-15   -4.312087e-19   -1.871332e-16
    9.000000e-02    5.312701e-01    4.592263e-02    3.740815e-10    1.725442e-11    2.668780e-12    6.520945e-15   -1.188390e-15   -4.606243e-19   -1.985939e-16
    1.000000e-01    5.312701e-01    4.592314e-02    4.681139e-10    2.144790e-11    3.341138e-12    6.559723e-15   -1.277938e-15   -4.921537e-19   -2.106892e-16
    1.100000e-01    5.312701e-01    4.592377e-02    5.856879e-10    2.669504e-11    4.182421e-12    6.603798e-15   -1.373625e-15   -5.259490e-19   -2.234398e-16
