# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: 85 C
# W = 2.0 um
# L = 6 um (6000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    4.942419e-01    4.442877e-02    2.067854e-11    1.511904e-12    8.146402e-14    2.553214e-14   -3.016440e-15   -1.306405e-18   -5.663991e-16
    1.000000e-02    4.942419e-01    4.442889e-02    2.600045e-11    1.718689e-12    1.024535e-13    2.557886e-14   -3.251501e-15   -1.395417e-18   -6.024157e-16
    2.000000e-02    4.942419e-01    4.442904e-02    3.268928e-11    2.036461e-12    1.288437e-13    2.564193e-14   -3.504757e-15   -1.490905e-18   -6.406428e-16
    3.000000e-02    4.942419e-01    4.442923e-02    4.109497e-11    2.403784e-12    1.620212e-13    2.572217e-14   -3.777339e-15   -1.593353e-18   -6.811841e-16
    4.000000e-02    4.942419e-01    4.442947e-02    5.165663e-11    2.865535e-12    2.037273e-13    2.582042e-14   -4.070403e-15   -1.703282e-18   -7.241424e-16
    5.000000e-02    4.942419e-01    4.442977e-02    6.492502e-11    3.445924e-12    2.561483e-13    2.593755e-14   -4.385126e-15   -1.821249e-18   -7.696192e-16
    6.000000e-02    4.942419e-01    4.443014e-02    8.159072e-11    4.175340e-12    3.220287e-13    2.607444e-14   -4.722685e-15   -1.947850e-18   -8.177132e-16
    7.000000e-02    4.942419e-01    4.443061e-02    1.025193e-10    5.091923e-12    4.048125e-13    2.623196e-14   -5.084255e-15   -2.083723e-18   -8.685197e-16
    8.000000e-02    4.942419e-01    4.443121e-02    1.287949e-10    6.243519e-12    5.088198e-13    2.641099e-14   -5.470994e-15   -2.229549e-18   -9.221287e-16
    9.000000e-02    4.942419e-01    4.443195e-02    1.617752e-10    7.690132e-12    6.394684e-13    2.661237e-14   -5.884033e-15   -2.386055e-18   -9.786241e-16
    1.000000e-01    4.942419e-01    4.443289e-02    2.031591e-10    9.506988e-12    8.035493e-13    2.683694e-14   -6.324461e-15   -2.554020e-18   -1.038082e-15
    1.100000e-01    4.942419e-01    4.443406e-02    2.550713e-10    1.178835e-11    1.009571e-12    2.708549e-14   -6.793310e-15   -2.734269e-18   -1.100569e-15
    1.200000e-01    4.942419e-01    4.443553e-02    3.201669e-10    1.465229e-11    1.268189e-12    2.735876e-14   -7.291541e-15   -2.927686e-18   -1.166142e-15
    1.300000e-01    4.942419e-01    4.443738e-02    4.017618e-10    1.824660e-11    1.592739e-12    2.765742e-14   -7.820025e-15   -3.135208e-18   -1.234845e-15
    1.400000e-01    4.942419e-01    4.443971e-02    5.039927e-10    2.275620e-11    1.999902e-12    2.798207e-14   -8.379528e-15   -3.357834e-18   -1.306708e-15
    1.500000e-01    4.942419e-01    4.444262e-02    6.320167e-10    2.841229e-11    2.510525e-12    2.833323e-14   -8.970694e-15   -3.596624e-18   -1.381745e-15
    1.600000e-01    4.942419e-01    4.444627e-02    7.922548e-10    3.550374e-11    3.150645e-12    2.871131e-14   -9.594028e-15   -3.852705e-18   -1.459956e-15
    1.700000e-01    4.942419e-01    4.445084e-02    9.926942e-10    4.439117e-11    3.952748e-12    2.911659e-14   -1.024988e-14   -4.127270e-18   -1.541321e-15
    1.800000e-01    4.942419e-01    4.445656e-02    1.243256e-09    5.552443e-11    4.957331e-12    2.954926e-14   -1.093843e-14   -4.421588e-18   -1.625801e-15
    1.900000e-01    4.942419e-01    4.446373e-02    1.556251e-09    6.946408e-11    6.214815e-12    3.000933e-14   -1.165967e-14   -4.736999e-18   -1.713338e-15
    2.000000e-01    4.942419e-01    4.447270e-02    1.946924e-09    8.690798e-11    7.787899e-12    3.049669e-14   -1.241341e-14   -5.074923e-18   -1.803853e-15
    2.100000e-01    4.942419e-01    4.448391e-02    2.434136e-09    1.087239e-10    9.754449e-12    3.101105e-14   -1.319923e-14   -5.436865e-18   -1.897246e-15
    2.200000e-01    4.942419e-01    4.449791e-02    3.041172e-09    1.359895e-10    1.221100e-11    3.155198e-14   -1.401651e-14   -5.824414e-18   -1.993395e-15
    2.300000e-01    4.942419e-01    4.451539e-02    3.796732e-09    1.700417e-10    1.527705e-11    3.211886e-14   -1.486442e-14   -6.239249e-18   -2.092158e-15
    2.400000e-01    4.942419e-01    4.453718e-02    4.736120e-09    2.125360e-10    1.910021e-11    3.271092e-14   -1.574190e-14   -6.683146e-18   -2.193372e-15
    2.500000e-01    4.942419e-01    4.456432e-02    5.902685e-09    2.655202e-10    2.386243e-11    3.332721e-14   -1.664768e-14   -7.157980e-18   -2.296853e-15
    2.600000e-01    4.942419e-01    4.459808e-02    7.349538e-09    3.315227e-10    2.978747e-11    3.396660e-14   -1.758026e-14   -7.665729e-18   -2.402401e-15
    2.700000e-01    4.942419e-01    4.464003e-02    9.141623e-09    4.136602e-10    3.714974e-11    3.462781e-14   -1.853794e-14   -8.208483e-18   -2.509796e-15
    2.800000e-01    4.942419e-01    4.469208e-02    1.135819e-08    5.157682e-10    4.628481e-11    3.530943e-14   -1.951886e-14   -8.788448e-18   -2.618803e-15
    2.900000e-01    4.942419e-01    4.475655e-02    1.409574e-08    6.425583e-10    5.760165e-11    3.600986e-14   -2.052094e-14   -9.407950e-18   -2.729176e-15
    3.000000e-01    4.942419e-01    4.483627e-02    1.747161e-08    7.998080e-10    7.159691e-11    3.672742e-14   -2.154196e-14   -1.006945e-17   -2.840655e-15
    3.100000e-01    4.942419e-01    4.493464e-02    2.162816e-08    9.945894e-10    8.887128e-11    3.746027e-14   -2.257956e-14   -1.077553e-17   -2.952972e-15
    3.200000e-01    4.942419e-01    4.505578e-02    2.673795e-08    1.235545e-09    1.101480e-10    3.820651e-14   -2.363127e-14   -1.152893e-17   -3.065853e-15
    3.300000e-01    4.942419e-01    4.520460e-02    3.300982e-08    1.533217e-09    1.362938e-10    3.896414e-14   -2.469452e-14   -1.233255e-17   -3.179022e-15
    3.400000e-01    4.942419e-01    4.538693e-02    4.069639e-08    1.900451e-09    1.683413e-10    3.973112e-14   -2.576669e-14   -1.318942e-17   -3.292200e-15
    3.500000e-01    4.942419e-01    4.560971e-02    5.010309e-08    2.352872e-09    2.075139e-10    4.050535e-14   -2.684510e-14   -1.410277e-17   -3.405113e-15
    3.600000e-01    4.942419e-01    4.588105e-02    6.159910e-08    2.909468e-09    2.552517e-10    4.128473e-14   -2.792707e-14   -1.507602e-17   -3.517489e-15
    3.700000e-01    4.942419e-01    4.621041e-02    7.563069e-08    3.593295e-09    3.132371e-10    4.206717e-14   -2.900994e-14   -1.611274e-17   -3.629065e-15
    3.800000e-01    4.942419e-01    4.660873e-02    9.273724e-08    4.432320e-09    3.834208e-10    4.285058e-14   -3.009110e-14   -1.721675e-17   -3.739588e-15
    3.900000e-01    4.942419e-01    4.708853e-02    1.135704e-07    5.460447e-09    4.680452e-10    4.363292e-14   -3.116798e-14   -1.839208e-17   -3.848815e-15
    4.000000e-01    4.942419e-01    4.766400e-02    1.389166e-07    6.718754e-09    5.696642e-10    4.441224e-14   -3.223811e-14   -1.964297e-17   -3.956520e-15
    4.100000e-01    4.942419e-01    4.835102e-02    1.697227e-07    8.256959e-09    6.911573e-10    4.518662e-14   -3.329914e-14   -2.097395e-17   -4.062489e-15
    4.200000e-01    4.942419e-01    4.916719e-02    2.071242e-07    1.013517e-08    8.357356e-10    4.595428e-14   -3.434883e-14   -2.238980e-17   -4.166529e-15
    4.300000e-01    4.942419e-01    5.013166e-02    2.524747e-07    1.242591e-08    1.006938e-09    4.671351e-14   -3.538509e-14   -2.389558e-17   -4.268461e-15
    4.400000e-01    4.942419e-01    5.126506e-02    3.073742e-07    1.521646e-08    1.208617e-09    4.746272e-14   -3.640598e-14   -2.549667e-17   -4.368127e-15
    4.500000e-01    4.942419e-01    5.258913e-02    3.736927e-07    1.861143e-08    1.444906e-09    4.820046e-14   -3.740974e-14   -2.719878e-17   -4.465388e-15
    4.600000e-01    4.942419e-01    5.412644e-02    4.535841e-07    2.273553e-08    1.720178e-09    4.892540e-14   -3.839475e-14   -2.900795e-17   -4.560125e-15
    4.700000e-01    4.942419e-01    5.589982e-02    5.494853e-07    2.773645e-08    2.038988e-09    4.963634e-14   -3.935958e-14   -3.093064e-17   -4.652236e-15
    4.800000e-01    4.942419e-01    5.793191e-02    6.640926e-07    3.378756e-08    2.406002e-09    5.033222e-14   -4.030300e-14   -3.297369e-17   -4.741641e-15
    4.900000e-01    4.942419e-01    6.024442e-02    8.003128e-07    4.109033e-08    2.825911e-09    5.101212e-14   -4.122392e-14   -3.514438e-17   -4.828276e-15
    5.000000e-01    4.942419e-01    6.285749e-02    9.611805e-07    4.987597e-08    3.303351e-09    5.167525e-14   -4.212144e-14   -3.745046e-17   -4.912097e-15
    5.100000e-01    4.942419e-01    6.578903e-02    1.149745e-06    6.040627e-08    3.842807e-09    5.232095e-14   -4.299483e-14   -3.990019e-17   -4.993075e-15
    5.200000e-01    4.942419e-01    6.905397e-02    1.368926e-06    7.297296e-08    4.448532e-09    5.294870e-14   -4.384351e-14   -4.250236e-17   -5.071198e-15
    5.300000e-01    4.942419e-01    7.266375e-02    1.621348e-06    8.789565e-08    5.124471e-09    5.355808e-14   -4.466707e-14   -4.526637e-17   -5.146468e-15
    5.400000e-01    4.942419e-01    7.662579e-02    1.909164e-06    1.055180e-07    5.874204e-09    5.414880e-14   -4.546523e-14   -4.820221e-17   -5.218901e-15
    5.500000e-01    4.942419e-01    8.094317e-02    2.233890e-06    1.262020e-07    6.700908e-09    5.472068e-14   -4.623786e-14   -5.132057e-17   -5.288527e-15
