# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: -40 C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.197765e-01    2.948909e-02    9.640158e-15    6.102793e-13    5.742350e-17    1.089247e-14   -1.763003e-16   -4.512298e-20   -2.784191e-17
    1.000000e-02    6.197765e-01    2.948909e-02    1.361412e-14    6.103757e-13    8.109558e-17    1.082916e-14   -1.891818e-16   -4.929955e-20   -3.018608e-17
    2.000000e-02    6.197765e-01    2.948909e-02    1.922622e-14    6.105570e-13    1.145260e-16    1.076821e-14   -2.032005e-16   -5.385406e-20   -3.273683e-17
    3.000000e-02    6.197765e-01    2.948909e-02    2.715168e-14    6.107866e-13    1.617371e-16    1.070967e-14   -2.184930e-16   -5.882263e-20   -3.551567e-17
    4.000000e-02    6.197765e-01    2.948909e-02    3.834403e-14    6.111109e-13    2.284096e-16    1.065364e-14   -2.352235e-16   -6.424539e-20   -3.854664e-17
    5.000000e-02    6.197765e-01    2.948909e-02    5.414979e-14    6.115688e-13    3.225653e-16    1.060022e-14   -2.535793e-16   -7.016699e-20   -4.185662e-17
    6.000000e-02    6.197765e-01    2.948909e-02    7.647043e-14    6.122155e-13    4.555325e-16    1.054954e-14   -2.737748e-16   -7.663718e-20   -4.547566e-17
    7.000000e-02    6.197765e-01    2.948909e-02    1.079910e-13    6.131288e-13    6.433084e-16    1.050176e-14   -2.960563e-16   -8.371144e-20   -4.943729e-17
    8.000000e-02    6.197765e-01    2.948909e-02    1.525029e-13    6.144185e-13    9.084830e-16    1.045705e-14   -3.207067e-16   -9.145170e-20   -5.377894e-17
    9.000000e-02    6.197765e-01    2.948909e-02    2.153598e-13    6.162397e-13    1.282956e-15    1.041565e-14   -3.480498e-16   -9.992719e-20   -5.854226e-17
    1.000000e-01    6.197765e-01    2.948909e-02    3.041212e-13    6.188117e-13    1.811772e-15    1.037780e-14   -3.784558e-16   -1.092153e-19   -6.377363e-17
    1.100000e-01    6.197765e-01    2.948909e-02    4.294605e-13    6.224436e-13    2.558537e-15    1.034380e-14   -4.123470e-16   -1.194025e-19   -6.952452e-17
    1.200000e-01    6.197765e-01    2.948910e-02    6.064475e-13    6.275724e-13    3.613063e-15    1.031401e-14   -4.502040e-16   -1.305858e-19   -7.585203e-17
    1.300000e-01    6.197765e-01    2.948910e-02    8.563582e-13    6.348147e-13    5.102161e-15    1.028881e-14   -4.925720e-16   -1.428735e-19   -8.281927e-17
    1.400000e-01    6.197765e-01    2.948910e-02    1.209229e-12    6.450414e-13    7.204877e-15    1.026867e-14   -5.400678e-16   -1.563871e-19   -9.049589e-17
    1.500000e-01    6.197765e-01    2.948910e-02    1.707460e-12    6.594819e-13    1.017400e-14    1.025410e-14   -5.933866e-16   -1.712626e-19   -9.895850e-17
    1.600000e-01    6.197765e-01    2.948910e-02    2.410903e-12    6.798719e-13    1.436640e-14    1.024568e-14   -6.533093e-16   -1.876519e-19   -1.082910e-16
    1.700000e-01    6.197765e-01    2.948911e-02    3.404032e-12    7.086618e-13    2.028590e-14    1.024409e-14   -7.207089e-16   -2.057253e-19   -1.185851e-16
    1.800000e-01    6.197765e-01    2.948911e-02    4.806059e-12    7.493102e-13    2.864364e-14    1.025005e-14   -7.965562e-16   -2.256731e-19   -1.299402e-16
    1.900000e-01    6.197765e-01    2.948912e-02    6.785206e-12    8.066991e-13    4.044340e-14    1.026440e-14   -8.819258e-16   -2.477077e-19   -1.424639e-16
    2.000000e-01    6.197765e-01    2.948913e-02    9.578801e-12    8.877184e-13    5.710181e-14    1.028804e-14   -9.779988e-16   -2.720662e-19   -1.562717e-16
    2.100000e-01    6.197765e-01    2.948915e-02    1.352162e-11    1.002091e-12    8.061793e-14    1.032197e-14   -1.086065e-15   -2.990128e-19   -1.714867e-16
    2.200000e-01    6.197765e-01    2.948917e-02    1.908579e-11    1.163534e-12    1.138123e-13    1.036727e-14   -1.207521e-15   -3.288418e-19   -1.882391e-16
    2.300000e-01    6.197765e-01    2.948920e-02    2.693697e-11    1.391400e-12    1.606637e-13    1.042512e-14   -1.343868e-15   -3.618795e-19   -2.066650e-16
    2.400000e-01    6.197765e-01    2.948924e-02    3.801336e-11    1.712982e-12    2.267840e-13    1.049676e-14   -1.496700e-15   -3.984880e-19   -2.269058e-16
    2.500000e-01    6.197765e-01    2.948930e-02    5.363686e-11    2.166765e-12    3.200857e-13    1.058351e-14   -1.667692e-15   -4.390678e-19   -2.491056e-16
    2.600000e-01    6.197765e-01    2.948938e-02    7.566913e-11    2.806999e-12    4.517227e-13    1.068674e-14   -1.858583e-15   -4.840607e-19   -2.734097e-16
    2.700000e-01    6.197765e-01    2.948950e-02    1.067307e-10    3.710129e-12    6.374121e-13    1.080786e-14   -2.071150e-15   -5.339526e-19   -2.999615e-16
    2.800000e-01    6.197765e-01    2.948967e-02    1.505079e-10    4.983834e-12    8.992923e-13    1.094828e-14   -2.307176e-15   -5.892769e-19   -3.288996e-16
    2.900000e-01    6.197765e-01    2.948991e-02    2.121829e-10    6.779716e-12    1.268530e-12    1.110942e-14   -2.568413e-15   -6.506168e-19   -3.603537e-16
    3.000000e-01    6.197765e-01    2.949025e-02    2.990340e-10    9.311091e-12    1.788979e-12    1.129261e-14   -2.856540e-15   -7.186079e-19   -3.944410e-16
    3.100000e-01    6.197765e-01    2.949072e-02    4.212739e-10    1.287791e-11    2.522299e-12    1.149913e-14   -3.173112e-15   -7.939406e-19   -4.312613e-16
    3.200000e-01    6.197765e-01    2.949139e-02    5.932149e-10    1.790161e-11    3.555113e-12    1.173009e-14   -3.519508e-15   -8.773620e-19   -4.708927e-16
    3.300000e-01    6.197765e-01    2.949233e-02    8.348875e-10    2.497377e-11    5.009001e-12    1.198646e-14   -3.896874e-15   -9.696779e-19   -5.133863e-16
    3.400000e-01    6.197765e-01    2.949365e-02    1.174279e-09    3.492388e-11    7.054407e-12    1.226897e-14   -4.306066e-15   -1.071753e-18   -5.587625e-16
    3.500000e-01    6.197765e-01    2.949550e-02    1.650418e-09    4.891350e-11    9.929947e-12    1.257807e-14   -4.747596e-15   -1.184514e-18   -6.070060e-16
    3.600000e-01    6.197765e-01    2.949811e-02    2.317613e-09    6.856679e-11    1.396914e-11    1.291392e-14   -5.221580e-15   -1.308948e-18   -6.580626e-16
    3.700000e-01    6.197765e-01    2.950177e-02    3.251233e-09    9.615067e-11    1.963727e-11    1.327635e-14   -5.727698e-15   -1.446102e-18   -7.118367e-16
    3.800000e-01    6.197765e-01    2.950689e-02    4.555562e-09    1.348228e-10    2.758195e-11    1.366478e-14   -6.265159e-15   -1.597085e-18   -7.681893e-16
    3.900000e-01    6.197765e-01    2.951407e-02    6.374399e-09    1.889710e-10    3.870219e-11    1.407829e-14   -6.832683e-15   -1.763067e-18   -8.269383e-16
    4.000000e-01    6.197765e-01    2.952410e-02    8.905242e-09    2.646761e-10    5.424209e-11    1.451553e-14   -7.428499e-15   -1.945277e-18   -8.878591e-16
    4.100000e-01    6.197765e-01    2.953808e-02    1.241813e-08    3.703386e-10    7.591688e-11    1.497478e-14   -8.050354e-15   -2.145002e-18   -9.506877e-16
    4.200000e-01    6.197765e-01    2.955755e-02    1.728046e-08    5.175227e-10    1.060811e-10    1.545396e-14   -8.695544e-15   -2.363590e-18   -1.015125e-15
    4.300000e-01    6.197765e-01    2.958456e-02    2.398928e-08    7.220840e-10    1.479506e-10    1.595064e-14   -9.360963e-15   -2.602443e-18   -1.080841e-15
    4.400000e-01    6.197765e-01    2.962193e-02    3.321306e-08    1.005667e-09    2.058911e-10    1.646214e-14   -1.004316e-14   -2.863024e-18   -1.147484e-15
    4.500000e-01    6.197765e-01    2.967346e-02    4.584508e-08    1.397674e-09    2.857888e-10    1.698552e-14   -1.073842e-14   -3.146850e-18   -1.214686e-15
    4.600000e-01    6.197765e-01    2.974420e-02    6.307125e-08    1.937840e-09    3.955152e-10    1.751769e-14   -1.144284e-14   -3.455499e-18   -1.282072e-15
    4.700000e-01    6.197765e-01    2.984086e-02    8.645574e-08    2.679573e-09    5.454996e-10    1.805548e-14   -1.215241e-14   -3.790606e-18   -1.349267e-15
    4.800000e-01    6.197765e-01    2.997220e-02    1.180491e-07    3.694249e-09    7.494104e-10    1.859569e-14   -1.286312e-14   -4.153870e-18   -1.415907e-15
    4.900000e-01    6.197765e-01    3.014954e-02    1.605248e-07    5.076741e-09    1.024941e-09    1.913516e-14   -1.357107e-14   -4.547053e-18   -1.481642e-15
    5.000000e-01    6.197765e-01    3.038727e-02    2.173526e-07    6.952473e-09    1.394670e-09    1.967087e-14   -1.427247e-14   -4.971984e-18   -1.546148e-15
    5.100000e-01    6.197765e-01    3.070339e-02    2.930194e-07    9.486446e-09    1.886955e-09    2.019995e-14   -1.496380e-14   -5.430568e-18   -1.609130e-15
    5.200000e-01    6.197765e-01    3.111993e-02    3.933084e-07    1.289475e-08    2.536759e-09    2.071977e-14   -1.564184e-14   -5.924786e-18   -1.670325e-15
    5.300000e-01    6.197765e-01    3.166327e-02    5.256437e-07    1.745921e-08    3.386330e-09    2.122795e-14   -1.630368e-14   -6.456706e-18   -1.729507e-15
    5.400000e-01    6.197765e-01    3.236419e-02    6.994975e-07    2.354575e-08    4.485564e-09    2.172241e-14   -1.694682e-14   -7.028487e-18   -1.786491e-15
    5.500000e-01    6.197765e-01    3.325753e-02    9.268274e-07    3.162709e-08    5.891933e-09    2.220138e-14   -1.756913e-14   -7.642393e-18   -1.841128e-15
    5.600000e-01    6.197765e-01    3.438140e-02    1.222474e-06    4.230967e-08    7.669834e-09    2.266338e-14   -1.816888e-14   -8.300796e-18   -1.893309e-15
    5.700000e-01    6.197765e-01    3.577588e-02    1.604399e-06    5.636382e-08    9.889290e-09    2.310728e-14   -1.874475e-14   -9.006193e-18   -1.942960e-15
    5.800000e-01    6.197765e-01    3.748123e-02    2.093589e-06    7.475492e-08    1.262400e-08    2.353221e-14   -1.929577e-14   -9.761212e-18   -1.990042e-15
    5.900000e-01    6.197765e-01    3.953568e-02    2.713459e-06    9.867107e-08    1.594885e-08    2.393760e-14   -1.982134e-14   -1.056863e-17   -2.034546e-15
    6.000000e-01    6.197765e-01    4.197309e-02    3.488615e-06    1.295418e-07    1.993710e-08    2.432315e-14   -2.032118e-14   -1.143139e-17   -2.076492e-15
    6.100000e-01    6.197765e-01    4.482058e-02    4.442971e-06    1.690410e-07    2.465748e-08    2.468877e-14   -2.079528e-14   -1.235259e-17   -2.115924e-15
    6.200000e-01    6.197765e-01    4.809670e-02    5.597400e-06    2.190687e-07    3.017167e-08    2.503459e-14   -2.124391e-14   -1.333554e-17   -2.152903e-15
    6.300000e-01    6.197765e-01    5.181000e-02    6.967258e-06    2.817080e-07    3.653221e-08    2.536091e-14   -2.166753e-14   -1.438374e-17   -2.187509e-15
    6.400000e-01    6.197765e-01    5.595865e-02    8.560242e-06    3.591587e-07    4.378133e-08    2.566819e-14   -2.206679e-14   -1.550094e-17   -2.219835e-15
    6.500000e-01    6.197765e-01    6.053066e-02    1.037503e-05    4.536532e-07    5.195060e-08    2.595699e-14   -2.244246e-14   -1.669109e-17   -2.249983e-15
    6.600000e-01    6.197765e-01    6.550500e-02    1.240098e-05    5.673640e-07    6.106143e-08    2.622798e-14   -2.279547e-14   -1.795846e-17   -2.278062e-15
    6.700000e-01    6.197765e-01    7.085327e-02    1.461899e-05    7.023137e-07    7.112632e-08    2.648190e-14   -2.312678e-14   -1.930756e-17   -2.304185e-15
    6.800000e-01    6.197765e-01    7.654169e-02    1.700327e-05    8.602985e-07    8.215072e-08    2.671954e-14   -2.343744e-14   -2.074323e-17   -2.328468e-15
