# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: -40 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    6.130743e-01    3.015427e-02    8.033712e-15    6.102322e-13    3.892542e-17    1.727281e-14   -2.859969e-16   -7.970789e-20   -4.648293e-17
    1.000000e-02    6.130743e-01    3.015427e-02    1.135458e-14    6.103125e-13    5.501619e-17    1.717208e-14   -3.068834e-16   -8.707837e-20   -5.040175e-17
    2.000000e-02    6.130743e-01    3.015427e-02    1.604813e-14    6.104639e-13    7.775829e-17    1.707517e-14   -3.296384e-16   -9.511711e-20   -5.466874e-17
    3.000000e-02    6.130743e-01    3.015427e-02    2.268172e-14    6.106556e-13    1.099011e-16    1.698220e-14   -3.544965e-16   -1.038885e-19   -5.932054e-17
    4.000000e-02    6.130743e-01    3.015427e-02    3.205720e-14    6.109266e-13    1.553301e-16    1.689330e-14   -3.817269e-16   -1.134641e-19   -6.439819e-17
    5.000000e-02    6.130743e-01    3.015427e-02    4.530778e-14    6.113096e-13    2.195371e-16    1.680866e-14   -4.116498e-16   -1.239238e-19   -6.994759e-17
    6.000000e-02    6.130743e-01    3.015427e-02    6.403497e-14    6.118509e-13    3.102832e-16    1.672850e-14   -4.446283e-16   -1.353565e-19   -7.602009e-17
    7.000000e-02    6.130743e-01    3.015427e-02    9.050203e-14    6.126160e-13    4.385371e-16    1.665308e-14   -4.810804e-16   -1.478617e-19   -8.267303e-17
    8.000000e-02    6.130743e-01    3.015427e-02    1.279073e-13    6.136973e-13    6.198003e-16    1.658274e-14   -5.214859e-16   -1.615504e-19   -8.997040e-17
    9.000000e-02    6.130743e-01    3.015427e-02    1.807707e-13    6.152255e-13    8.759798e-16    1.651783e-14   -5.663957e-16   -1.765469e-19   -9.798354e-17
    1.000000e-01    6.130743e-01    3.015427e-02    2.554789e-13    6.173852e-13    1.238034e-15    1.645880e-14   -6.164396e-16   -1.929903e-19   -1.067918e-16
    1.100000e-01    6.130743e-01    3.015427e-02    3.610567e-13    6.204375e-13    1.749713e-15    1.640617e-14   -6.723369e-16   -2.110364e-19   -1.164835e-16
    1.200000e-01    6.130743e-01    3.015427e-02    5.102558e-13    6.247512e-13    2.472840e-15    1.636051e-14   -7.349064e-16   -2.308597e-19   -1.271562e-16
    1.300000e-01    6.130743e-01    3.015427e-02    7.210931e-13    6.308473e-13    3.494771e-15    1.632253e-14   -8.050777e-16   -2.526559e-19   -1.389183e-16
    1.400000e-01    6.130743e-01    3.015428e-02    1.019022e-12    6.394622e-13    4.938945e-15    1.629298e-14   -8.839023e-16   -2.766440e-19   -1.518888e-16
    1.500000e-01    6.130743e-01    3.015428e-02    1.440002e-12    6.516363e-13    6.979768e-15    1.627277e-14   -9.725651e-16   -3.030699e-19   -1.661989e-16
    1.600000e-01    6.130743e-01    3.015428e-02    2.034825e-12    6.688394e-13    9.863643e-15    1.626289e-14   -1.072396e-15   -3.322086e-19   -1.819920e-16
    1.700000e-01    6.130743e-01    3.015429e-02    2.875230e-12    6.931482e-13    1.393867e-14    1.626446e-14   -1.184879e-15   -3.643682e-19   -1.994246e-16
    1.800000e-01    6.130743e-01    3.015430e-02    4.062527e-12    7.274958e-13    1.969659e-14    1.627875e-14   -1.311665e-15   -3.998935e-19   -2.186662e-16
    1.900000e-01    6.130743e-01    3.015431e-02    5.739764e-12    7.760254e-13    2.783191e-14    1.630716e-14   -1.454572e-15   -4.391698e-19   -2.398996e-16
    2.000000e-01    6.130743e-01    3.015432e-02    8.108884e-12    8.445882e-13    3.932553e-14    1.635122e-14   -1.615598e-15   -4.826272e-19   -2.633203e-16
    2.100000e-01    6.130743e-01    3.015434e-02    1.145491e-11    9.414466e-13    5.556249e-14    1.641261e-14   -1.796914e-15   -5.307454e-19   -2.891361e-16
    2.200000e-01    6.130743e-01    3.015437e-02    1.618001e-11    1.078265e-12    7.849821e-14    1.649316e-14   -2.000862e-15   -5.840581e-19   -3.175657e-16
    2.300000e-01    6.130743e-01    3.015441e-02    2.285149e-11    1.271509e-12    1.108928e-13    1.659482e-14   -2.229943e-15   -6.431585e-19   -3.488365e-16
    2.400000e-01    6.130743e-01    3.015447e-02    3.226929e-11    1.544414e-12    1.566411e-13    1.671967e-14   -2.486802e-15   -7.087039e-19   -3.831825e-16
    2.500000e-01    6.130743e-01    3.015455e-02    4.556085e-11    1.929757e-12    2.212379e-13    1.686986e-14   -2.774195e-15   -7.814214e-19   -4.208409e-16
    2.600000e-01    6.130743e-01    3.015467e-02    6.431443e-11    2.473766e-12    3.124321e-13    1.704765e-14   -3.094958e-15   -8.621130e-19   -4.620478e-16
    2.700000e-01    6.130743e-01    3.015484e-02    9.076605e-11    3.241606e-12    4.411466e-13    1.725531e-14   -3.451960e-15   -9.516609e-19   -5.070335e-16
    2.800000e-01    6.130743e-01    3.015507e-02    1.280614e-10    4.325093e-12    6.227718e-13    1.749510e-14   -3.848042e-15   -1.051032e-18   -5.560164e-16
    2.900000e-01    6.130743e-01    3.015540e-02    1.806219e-10    5.853521e-12    8.789785e-13    1.776923e-14   -4.285954e-15   -1.161285e-18   -6.091967e-16
    3.000000e-01    6.130743e-01    3.015587e-02    2.546562e-10    8.008836e-12    1.240261e-12    1.807979e-14   -4.768280e-15   -1.283570e-18   -6.667495e-16
    3.100000e-01    6.130743e-01    3.015652e-02    3.588718e-10    1.104687e-11    1.749491e-12    1.842868e-14   -5.297350e-15   -1.419138e-18   -7.288168e-16
    3.200000e-01    6.130743e-01    3.015745e-02    5.054635e-10    1.532699e-11    2.466887e-12    1.881753e-14   -5.875152e-15   -1.569343e-18   -7.954998e-16
    3.300000e-01    6.130743e-01    3.015875e-02    7.114821e-10    2.135349e-11    3.476931e-12    1.924766e-14   -6.503244e-15   -1.735642e-18   -8.668519e-16
    3.400000e-01    6.130743e-01    3.016058e-02    1.000721e-09    2.983301e-11    4.897978e-12    1.971997e-14   -7.182658e-15   -1.919600e-18   -9.428706e-16
    3.500000e-01    6.130743e-01    3.016315e-02    1.406310e-09    4.175433e-11    6.895574e-12    2.023491e-14   -7.913821e-15   -2.122892e-18   -1.023492e-15
    3.600000e-01    6.130743e-01    3.016676e-02    1.974253e-09    5.849846e-11    9.700814e-12    2.079237e-14   -8.696482e-15   -2.347304e-18   -1.108587e-15
    3.700000e-01    6.130743e-01    3.017182e-02    2.768239e-09    8.199022e-11    1.363556e-11    2.139170e-14   -9.529651e-15   -2.594733e-18   -1.197954e-15
    3.800000e-01    6.130743e-01    3.017892e-02    3.876131e-09    1.149060e-10    1.914690e-11    2.203159e-14   -1.041156e-14   -2.867188e-18   -1.291323e-15
    3.900000e-01    6.130743e-01    3.018884e-02    5.418655e-09    1.609567e-10    2.685383e-11    2.271014e-14   -1.133966e-14   -3.166790e-18   -1.388353e-15
    4.000000e-01    6.130743e-01    3.020269e-02    7.560935e-09    2.252717e-10    3.761022e-11    2.342480e-14   -1.231060e-14   -3.495770e-18   -1.488639e-15
    4.100000e-01    6.130743e-01    3.022197e-02    1.052768e-08    3.149149e-10    5.258870e-11    2.417245e-14   -1.332032e-14   -3.856475e-18   -1.591712e-15
    4.200000e-01    6.130743e-01    3.024874e-02    1.462293e-08    4.395754e-10    7.339131e-11    2.494939e-14   -1.436407e-14   -4.251360e-18   -1.697054e-15
    4.300000e-01    6.130743e-01    3.028581e-02    2.025562e-08    6.124832e-10    1.021936e-10    2.575148e-14   -1.543652e-14   -4.682997e-18   -1.804106e-15
    4.400000e-01    6.130743e-01    3.033694e-02    2.797209e-08    8.516140e-10    1.419290e-10    2.657414e-14   -1.653185e-14   -5.154069e-18   -1.912276e-15
    4.500000e-01    6.130743e-01    3.040716e-02    3.849748e-08    1.181263e-09    1.965206e-10    2.741253e-14   -1.764393e-14   -5.667378e-18   -2.020959e-15
    4.600000e-01    6.130743e-01    3.050316e-02    5.278779e-08    1.634081e-09    2.711649e-10    2.826161e-14   -1.876640e-14   -6.225849e-18   -2.129546e-15
    4.700000e-01    6.130743e-01    3.063364e-02    7.209551e-08    2.253701e-09    3.726702e-10    2.911629e-14   -1.989286e-14   -6.832528e-18   -2.237436e-15
    4.800000e-01    6.130743e-01    3.080987e-02    9.805240e-08    3.098101e-09    5.098441e-10    2.997151e-14   -2.101700e-14   -7.490598e-18   -2.344056e-15
    4.900000e-01    6.130743e-01    3.104618e-02    1.327745e-07    4.243898e-09    6.939171e-10    3.082235e-14   -2.213272e-14   -8.203380e-18   -2.448864e-15
    5.000000e-01    6.130743e-01    3.136045e-02    1.789957e-07    5.791835e-09    9.389757e-10    3.166417e-14   -2.323426e-14   -8.974344e-18   -2.551364e-15
    5.100000e-01    6.130743e-01    3.177461e-02    2.402367e-07    7.873768e-09    1.262363e-09    3.249264e-14   -2.431630e-14   -9.807124e-18   -2.651113e-15
    5.200000e-01    6.130743e-01    3.231491e-02    3.210145e-07    1.066155e-08    1.684993e-09    3.330383e-14   -2.537405e-14   -1.070553e-17   -2.747726e-15
    5.300000e-01    6.130743e-01    3.301197e-02    4.270899e-07    1.437821e-08    2.231501e-09    3.409429e-14   -2.640333e-14   -1.167355e-17   -2.840879e-15
    5.400000e-01    6.130743e-01    3.390046e-02    5.657366e-07    1.931172e-08    2.930177e-09    3.486102e-14   -2.740053e-14   -1.271540e-17   -2.930312e-15
    5.500000e-01    6.130743e-01    3.501837e-02    7.459895e-07    2.583142e-08    3.812589e-09    3.560153e-14   -2.836271e-14   -1.383550e-17   -3.015828e-15
    5.600000e-01    6.130743e-01    3.640574e-02    9.788014e-07    3.440650e-08    4.912894e-09    3.631385e-14   -2.928756e-14   -1.503854e-17   -3.097290e-15
    5.700000e-01    6.130743e-01    3.810290e-02    1.277008e-06    4.562525e-08    6.266811e-09    3.699646e-14   -3.017337e-14   -1.632947e-17   -3.174616e-15
    5.800000e-01    6.130743e-01    4.014838e-02    1.654997e-06    6.021251e-08    7.910337e-09    3.764833e-14   -3.101900e-14   -1.771354e-17   -3.247780e-15
    5.900000e-01    6.130743e-01    4.257659e-02    2.127993e-06    7.904191e-08    9.878301e-09    3.826884e-14   -3.182386e-14   -1.919630e-17   -3.316798e-15
    6.000000e-01    6.130743e-01    4.541557e-02    2.710960e-06    1.031391e-07    1.220292e-08    3.885775e-14   -3.258781e-14   -2.078369e-17   -3.381728e-15
    6.100000e-01    6.130743e-01    4.868509e-02    3.417197e-06    1.336724e-07    1.491249e-08    3.941517e-14   -3.331114e-14   -2.248202e-17   -3.442664e-15
    6.200000e-01    6.130743e-01    5.239532e-02    4.256845e-06    1.719283e-07    1.803044e-08    3.994151e-14   -3.399450e-14   -2.429802e-17   -3.499727e-15
    6.300000e-01    6.130743e-01    5.654626e-02    5.235548e-06    2.192734e-07    2.157472e-08    4.043741e-14   -3.463884e-14   -2.623886e-17   -3.553061e-15
    6.400000e-01    6.130743e-01    6.112792e-02    6.353559e-06    2.771042e-07    2.555773e-08    4.090373e-14   -3.524536e-14   -2.831222e-17   -3.602827e-15
    6.500000e-01    6.130743e-01    6.612131e-02    7.605457e-06    3.467915e-07    2.998665e-08    4.134150e-14   -3.581543e-14   -3.052634e-17   -3.649200e-15
    6.600000e-01    6.130743e-01    7.149997e-02    8.980550e-06    4.296245e-07    3.486414e-08    4.175186e-14   -3.635060e-14   -3.289000e-17   -3.692360e-15
    6.700000e-01    6.130743e-01    7.723179e-02    1.046385e-05    5.267635e-07    4.018934e-08    4.213604e-14   -3.685249e-14   -3.541265e-17   -3.732496e-15
    6.800000e-01    6.130743e-01    8.328108e-02    1.203748e-05    6.392028e-07    4.595902e-08    4.249535e-14   -3.732281e-14   -3.810440e-17   -3.769796e-15
    6.900000e-01    6.130743e-01    8.961046e-02    1.368217e-05    7.677500e-07    5.216869e-08    4.283111e-14   -3.776327e-14   -4.097613e-17   -3.804445e-15
    7.000000e-01    6.130743e-01    9.618259e-02    1.537871e-05    9.130189e-07    5.881376e-08    4.314467e-14   -3.817563e-14   -4.403951e-17   -3.836626e-15
    7.100000e-01    6.130743e-01    1.029615e-01    1.710917e-05    1.075437e-06    6.589052e-08    4.343738e-14   -3.856158e-14   -4.730707e-17   -3.866519e-15
    7.200000e-01    6.130743e-01    1.099136e-01    1.885771e-05    1.255262e-06    7.339697e-08    4.371054e-14   -3.892283e-14   -5.079232e-17   -3.894295e-15
    7.300000e-01    6.130743e-01    1.170085e-01    2.061108e-05    1.452607e-06    8.133347e-08    4.396545e-14   -3.926099e-14   -5.450977e-17   -3.920117e-15
    7.400000e-01    6.130743e-01    1.242191e-01    2.235880e-05    1.667465e-06    8.970329e-08    4.420335e-14   -3.957765e-14   -5.847503e-17   -3.944141e-15
    7.500000e-01    6.130743e-01    1.315217e-01    2.409303e-05    1.899738e-06    9.851296e-08    4.442543e-14   -3.987430e-14   -6.270492e-17   -3.966516e-15
    7.600000e-01    6.130743e-01    1.388964e-01    2.580834e-05    2.149262e-06    1.077725e-07    4.463283e-14   -4.015238e-14   -6.721757e-17   -3.987381e-15
    7.700000e-01    6.130743e-01    1.463261e-01    2.750137e-05    2.415830e-06    1.174959e-07    4.482665e-14   -4.041323e-14   -7.203250e-17   -4.006864e-15
    7.800000e-01    6.130743e-01    1.537970e-01    2.917037e-05    2.699209e-06    1.277006e-07    4.500789e-14   -4.065813e-14   -7.717076e-17   -4.025090e-15
    7.900000e-01    6.130743e-01    1.612975e-01    3.081489e-05    2.999156e-06    1.384085e-07    4.517753e-14   -4.088828e-14   -8.265505e-17   -4.042171e-15
    8.000000e-01    6.130743e-01    1.688186e-01    3.243541e-05    3.315427e-06    1.496453e-07    4.533648e-14   -4.110479e-14   -8.850986e-17   -4.058213e-15
    8.100000e-01    6.130743e-01    1.763530e-01    3.403302e-05    3.647788e-06    1.614411e-07    4.548560e-14   -4.130870e-14   -9.476161e-17   -4.073315e-15
    8.200000e-01    6.130743e-01    1.838950e-01    3.560921e-05    3.996016e-06    1.738303e-07    4.562566e-14   -4.150099e-14   -1.014388e-16   -4.087567e-15
    8.300000e-01    6.130743e-01    1.914404e-01    3.716565e-05    4.359906e-06    1.868521e-07    4.575743e-14   -4.168255e-14   -1.085723e-16   -4.101054e-15
    8.400000e-01    6.130743e-01    1.989859e-01    3.870408e-05    4.739269e-06    2.005503e-07    4.588159e-14   -4.185421e-14   -1.161954e-16   -4.113855e-15
    8.500000e-01    6.130743e-01    2.065291e-01    4.022619e-05    5.133933e-06    2.149740e-07    4.599879e-14   -4.201673e-14   -1.243439e-16   -4.126042e-15
    8.600000e-01    6.130743e-01    2.140684e-01    4.173357e-05    5.543744e-06    2.301778e-07    4.610963e-14   -4.217083e-14   -1.330568e-16   -4.137683e-15
    8.700000e-01    6.130743e-01    2.216026e-01    4.322763e-05    5.968560e-06    2.462223e-07    4.621467e-14   -4.231716e-14   -1.423760e-16   -4.148838e-15
    8.800000e-01    6.130743e-01    2.291312e-01    4.470964e-05    6.408256e-06    2.631744e-07    4.631442e-14   -4.245631e-14   -1.523468e-16   -4.159568e-15
    8.900000e-01    6.130743e-01    2.366535e-01    4.618066e-05    6.862716e-06    2.811082e-07    4.640938e-14   -4.258883e-14   -1.630185e-16   -4.169924e-15
    9.000000e-01    6.130743e-01    2.441697e-01    4.764158e-05    7.331836e-06    3.001055e-07    4.649998e-14   -4.271522e-14   -1.744440e-16   -4.179959e-15
    9.100000e-01    6.130743e-01    2.516796e-01    4.909312e-05    7.815517e-06    3.202567e-07    4.658666e-14   -4.283594e-14   -1.866806e-16   -4.189718e-15
    9.200000e-01    6.130743e-01    2.591835e-01    5.053582e-05    8.313669e-06    3.416616e-07    4.666981e-14   -4.295141e-14   -1.997906e-16   -4.199246e-15
    9.300000e-01    6.130743e-01    2.666817e-01    5.197009e-05    8.826205e-06    3.644306e-07    4.674978e-14   -4.306202e-14   -2.138410e-16   -4.208583e-15
    9.400000e-01    6.130743e-01    2.741744e-01    5.339621e-05    9.353043e-06    3.886858e-07    4.682693e-14   -4.316810e-14   -2.289043e-16   -4.217771e-15
    9.500000e-01    6.130743e-01    2.816620e-01    5.481434e-05    9.894103e-06    4.145623e-07    4.690158e-14   -4.326998e-14   -2.450590e-16   -4.226844e-15
    9.600000e-01    6.130743e-01    2.891450e-01    5.622451e-05    1.044930e-05    4.422099e-07    4.697404e-14   -4.336795e-14   -2.623901e-16   -4.235840e-15
    9.700000e-01    6.130743e-01    2.966237e-01    5.762671e-05    1.101857e-05    4.717948e-07    4.704459e-14   -4.346225e-14   -2.809890e-16   -4.244792e-15
    9.800000e-01    6.130743e-01    3.040985e-01    5.902080e-05    1.160181e-05    5.035013e-07    4.711351e-14   -4.355313e-14   -3.009550e-16   -4.253733e-15
    9.900000e-01    6.130743e-01    3.115698e-01    6.040659e-05    1.219895e-05    5.375348e-07    4.718107e-14   -4.364080e-14   -3.223949e-16   -4.262694e-15
    1.000000e+00    6.130743e-01    3.190378e-01    6.178384e-05    1.280991e-05    5.741235e-07    4.724750e-14   -4.372543e-14   -3.454241e-16   -4.271707e-15
    1.010000e+00    6.130743e-01    3.265031e-01    6.315222e-05    1.343460e-05    6.135221e-07    4.731307e-14   -4.380721e-14   -3.701673e-16   -4.280802e-15
    1.020000e+00    6.130743e-01    3.339658e-01    6.451138e-05    1.407293e-05    6.560144e-07    4.737800e-14   -4.388627e-14   -3.967586e-16   -4.290010e-15
    1.030000e+00    6.130743e-01    3.414264e-01    6.586090e-05    1.472480e-05    7.019177e-07    4.744253e-14   -4.396274e-14   -4.253426e-16   -4.299359e-15
    1.040000e+00    6.130743e-01    3.488850e-01    6.720032e-05    1.539011e-05    7.515868e-07    4.750688e-14   -4.403674e-14   -4.560745e-16   -4.308880e-15
    1.050000e+00    6.130743e-01    3.563419e-01    6.852912e-05    1.606877e-05    8.054187e-07    4.757126e-14   -4.410837e-14   -4.891215e-16   -4.318601e-15
    1.060000e+00    6.130743e-01    3.637975e-01    6.984675e-05    1.676066e-05    8.638585e-07    4.763591e-14   -4.417769e-14   -5.246627e-16   -4.328554e-15
    1.070000e+00    6.130743e-01    3.712519e-01    7.115259e-05    1.746566e-05    9.274049e-07    4.770104e-14   -4.424478e-14   -5.628900e-16   -4.338766e-15
    1.080000e+00    6.130743e-01    3.787053e-01    7.244599e-05    1.818367e-05    9.966179e-07    4.776687e-14   -4.430968e-14   -6.040086e-16   -4.349270e-15
    1.090000e+00    6.130743e-01    3.861579e-01    7.372622e-05    1.891454e-05    1.072126e-06    4.783362e-14   -4.437243e-14   -6.482374e-16   -4.360095e-15
    1.100000e+00    6.130743e-01    3.936100e-01    7.499251e-05    1.965815e-05    1.154636e-06    4.790151e-14   -4.443306e-14   -6.958094e-16   -4.371271e-15
    1.110000e+00    6.130743e-01    4.010617e-01    7.624398e-05    2.041434e-05    1.244940e-06    4.797076e-14   -4.449157e-14   -7.469720e-16   -4.382831e-15
    1.120000e+00    6.130743e-01    4.085132e-01    7.747972e-05    2.118297e-05    1.343930e-06    4.804160e-14   -4.454796e-14   -8.019871e-16   -4.394806e-15
    1.130000e+00    6.130743e-01    4.159646e-01    7.869870e-05    2.196388e-05    1.452608e-06    4.811426e-14   -4.460221e-14   -8.611310e-16   -4.407228e-15
    1.140000e+00    6.130743e-01    4.234162e-01    7.989981e-05    2.275689e-05    1.572096e-06    4.818896e-14   -4.465429e-14   -9.246941e-16   -4.420129e-15
    1.150000e+00    6.130743e-01    4.308679e-01    8.108185e-05    2.356181e-05    1.703653e-06    4.826594e-14   -4.470417e-14   -9.929802e-16   -4.433541e-15
    1.160000e+00    6.130743e-01    4.383200e-01    8.224347e-05    2.437846e-05    1.848691e-06    4.834543e-14   -4.475180e-14   -1.066306e-15   -4.447497e-15
    1.170000e+00    6.130743e-01    4.457726e-01    8.338324e-05    2.520661e-05    2.008784e-06    4.842766e-14   -4.479711e-14   -1.144999e-15   -4.462029e-15
    1.180000e+00    6.130743e-01    4.532259e-01    8.449955e-05    2.604604e-05    2.185688e-06    4.851289e-14   -4.484002e-14   -1.229398e-15   -4.477168e-15
    1.190000e+00    6.130743e-01    4.606799e-01    8.559068e-05    2.689652e-05    2.381351e-06    4.860133e-14   -4.488047e-14   -1.319847e-15   -4.492947e-15
    1.200000e+00    6.130743e-01    4.681348e-01    8.665475e-05    2.775777e-05    2.597930e-06    4.869322e-14   -4.491834e-14   -1.416698e-15   -4.509395e-15
    1.210000e+00    6.130743e-01    4.755907e-01    8.768973e-05    2.862951e-05    2.837796e-06    4.878879e-14   -4.495356e-14   -1.520303e-15   -4.526541e-15
    1.220000e+00    6.130743e-01    4.830477e-01    8.869342e-05    2.951146e-05    3.103543e-06    4.888826e-14   -4.498599e-14   -1.631013e-15   -4.544414e-15
    1.230000e+00    6.130743e-01    4.905059e-01    8.966348e-05    3.040327e-05    3.397987e-06    4.899183e-14   -4.501554e-14   -1.749173e-15   -4.563038e-15
    1.240000e+00    6.130743e-01    4.979655e-01    9.059743e-05    3.130461e-05    3.724153e-06    4.909972e-14   -4.504209e-14   -1.875119e-15   -4.582437e-15
    1.250000e+00    6.130743e-01    5.054265e-01    9.149266e-05    3.221509e-05    4.085264e-06    4.921209e-14   -4.506551e-14   -2.009169e-15   -4.602632e-15
    1.260000e+00    6.130743e-01    5.128890e-01    9.234646e-05    3.313432e-05    4.484705e-06    4.932912e-14   -4.508568e-14   -2.151623e-15   -4.623638e-15
    1.270000e+00    6.130743e-01    5.203532e-01    9.315610e-05    3.406187e-05    4.925977e-06    4.945094e-14   -4.510248e-14   -2.302751e-15   -4.645471e-15
    1.280000e+00    6.130743e-01    5.278192e-01    9.391881e-05    3.499729e-05    5.412635e-06    4.957767e-14   -4.511579e-14   -2.462793e-15   -4.668139e-15
    1.290000e+00    6.130743e-01    5.352871e-01    9.463190e-05    3.594008e-05    5.948214e-06    4.970939e-14   -4.512549e-14   -2.631947e-15   -4.691647e-15
    1.300000e+00    6.130743e-01    5.427570e-01    9.529282e-05    3.688975e-05    6.536129e-06    4.984617e-14   -4.513150e-14   -2.810368e-15   -4.715997e-15
    1.310000e+00    6.130743e-01    5.502289e-01    9.589925e-05    3.784576e-05    7.179570e-06    4.998801e-14   -4.513370e-14   -2.998160e-15   -4.741183e-15
    1.320000e+00    6.130743e-01    5.577031e-01    9.644915e-05    3.880755e-05    7.881387e-06    5.013490e-14   -4.513202e-14   -3.195370e-15   -4.767195e-15
    1.330000e+00    6.130743e-01    5.651796e-01    9.694091e-05    3.977455e-05    8.643971e-06    5.028678e-14   -4.512640e-14   -3.401986e-15   -4.794020e-15
    1.340000e+00    6.130743e-01    5.726585e-01    9.737338e-05    4.074617e-05    9.469143e-06    5.044354e-14   -4.511679e-14   -3.617931e-15   -4.821636e-15
    1.350000e+00    6.130743e-01    5.801399e-01    9.774596e-05    4.172181e-05    1.035806e-05    5.060504e-14   -4.510315e-14   -3.843064e-15   -4.850019e-15
    1.360000e+00    6.130743e-01    5.876239e-01    9.805863e-05    4.270089e-05    1.131114e-05    5.077110e-14   -4.508548e-14   -4.077175e-15   -4.879139e-15
    1.370000e+00    6.130743e-01    5.951107e-01    9.831199e-05    4.368279e-05    1.232803e-05    5.094148e-14   -4.506381e-14   -4.319989e-15   -4.908963e-15
    1.380000e+00    6.130743e-01    6.026004e-01    9.850724e-05    4.466693e-05    1.340760e-05    5.111594e-14   -4.503816e-14   -4.571164e-15   -4.939451e-15
    1.390000e+00    6.130743e-01    6.100930e-01    9.864613e-05    4.565275e-05    1.454797e-05    5.129416e-14   -4.500860e-14   -4.830297e-15   -4.970563e-15
    1.400000e+00    6.130743e-01    6.175887e-01    9.873092e-05    4.663968e-05    1.574659e-05    5.147581e-14   -4.497522e-14   -5.096929e-15   -5.002254e-15
    1.410000e+00    6.130743e-01    6.250875e-01    9.876429e-05    4.762719e-05    1.700033e-05    5.166055e-14   -4.493813e-14   -5.370547e-15   -5.034479e-15
    1.420000e+00    6.130743e-01    6.325896e-01    9.874922e-05    4.861480e-05    1.830562e-05    5.184798e-14   -4.489746e-14   -5.650593e-15   -5.067189e-15
    1.430000e+00    6.130743e-01    6.400952e-01    9.868895e-05    4.960203e-05    1.965854e-05    5.203771e-14   -4.485335e-14   -5.936473e-15   -5.100335e-15
    1.440000e+00    6.130743e-01    6.476042e-01    9.858681e-05    5.058844e-05    2.105498e-05    5.222933e-14   -4.456308e-14   -6.227562e-15   -4.863926e-15
    1.450000e+00    6.130743e-01    6.551169e-01    9.844617e-05    5.157363e-05    2.249074e-05    5.242242e-14   -4.449946e-14   -6.523213e-15   -4.883487e-15
    1.460000e+00    6.130743e-01    6.626333e-01    9.827036e-05    5.255725e-05    2.396166e-05    5.261658e-14   -4.443244e-14   -6.822767e-15   -4.902799e-15
    1.470000e+00    6.130743e-01    6.701536e-01    9.806259e-05    5.353894e-05    2.546366e-05    5.281137e-14   -4.436224e-14   -7.125561e-15   -4.921819e-15
    1.480000e+00    6.130743e-01    6.776778e-01    9.782591e-05    5.451840e-05    2.699290e-05    5.300641e-14   -4.428907e-14   -7.430934e-15   -4.940505e-15
