# sky130 nfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: -40C
# W = 2.0 um
# L = 0.5 um (500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.589917e-02    1.536329e+02    3.051406e-07    6.912606e-01    1.116999e-09    2.087194e-14    1.069537e-11    1.424381e-12    0.000000e+00    6.946776e-01    3.101408e-02
    2.244954e-02    1.536666e+02    3.051890e-07    9.828683e-01    1.109434e-09    2.257865e-14    1.144191e-11    1.544925e-12    1.000000e-02    6.946776e-01    3.101408e-02
    3.169412e-02    1.537001e+02    3.052803e-07    1.397276e+00    1.102086e-09    2.441152e-14    1.224515e-11    1.675246e-12    2.000000e-02    6.946776e-01    3.101408e-02
    4.474193e-02    1.537336e+02    3.053959e-07    1.986104e+00    1.094955e-09    2.638193e-14    1.311011e-11    1.816218e-12    3.000000e-02    6.946776e-01    3.101408e-02
    6.315128e-02    1.537672e+02    3.055591e-07    2.822625e+00    1.088039e-09    2.850300e-14    1.404255e-11    1.968817e-12    4.000000e-02    6.946776e-01    3.101408e-02
    8.911542e-02    1.538006e+02    3.057895e-07    4.010829e+00    1.081338e-09    3.078991e-14    1.504914e-11    2.134132e-12    5.000000e-02    6.946776e-01    3.101408e-02
    1.257151e-01    1.538340e+02    3.061149e-07    5.698269e+00    1.074854e-09    3.326029e-14    1.613720e-11    2.313382e-12    6.000000e-02    6.946776e-01    3.101408e-02
    1.772681e-01    1.538672e+02    3.065746e-07    8.094250e+00    1.068588e-09    3.593452e-14    1.731580e-11    2.507930e-12    7.000000e-02    6.946776e-01    3.101408e-02
    2.498073e-01    1.539004e+02    3.072236e-07    1.149562e+01    1.062545e-09    3.883624e-14    1.859521e-11    2.719301e-12    8.000000e-02    6.946776e-01    3.101408e-02
    3.517239e-01    1.539335e+02    3.081402e-07    1.632325e+01    1.056729e-09    4.199282e-14    1.998719e-11    2.949200e-12    9.000000e-02    6.946776e-01    3.101408e-02
    4.946169e-01    1.539663e+02    3.094345e-07    2.317364e+01    1.051147e-09    4.543588e-14    2.150526e-11    3.199534e-12    1.000000e-01    6.946776e-01    3.101408e-02
    6.943769e-01    1.539990e+02    3.112623e-07    3.289201e+01    1.045807e-09    4.920199e-14    2.316499e-11    3.472435e-12    1.100000e-01    6.946776e-01    3.101408e-02
    9.724982e-01    1.540315e+02    3.138434e-07    4.667541e+01    1.040720e-09    5.333330e-14    2.498426e-11    3.770283e-12    1.200000e-01    6.946776e-01    3.101409e-02
    1.357530e+00    1.540638e+02    3.174884e-07    6.621869e+01    1.035897e-09    5.787835e-14    2.698358e-11    4.095736e-12    1.300000e-01    6.946776e-01    3.101409e-02
    1.886404e+00    1.540957e+02    3.226355e-07    9.392017e+01    1.031355e-09    6.289305e-14    2.918652e-11    4.451756e-12    1.400000e-01    6.946776e-01    3.101409e-02
    2.605089e+00    1.541273e+02    3.299038e-07    1.331720e+02    1.027110e-09    6.844150e-14    3.162000e-11    4.841647e-12    1.500000e-01    6.946776e-01    3.101409e-02
    3.567571e+00    1.541584e+02    3.401672e-07    1.887691e+02    1.023185e-09    7.459710e-14    3.431481e-11    5.269080e-12    1.600000e-01    6.946776e-01    3.101409e-02
