# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: 85 C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    4.875438e-01    4.518324e-02    6.857205e-11    3.668009e-12    4.424259e-13    1.111416e-14   -1.483745e-15   -6.141880e-19   -2.641076e-16
    1.000000e-02    4.875438e-01    4.518338e-02    8.578528e-11    4.436591e-12    5.536212e-13    1.114405e-14   -1.597277e-15   -6.554150e-19   -2.804508e-16
    2.000000e-02    4.875438e-01    4.518357e-02    1.073100e-10    5.398063e-12    6.927221e-13    1.118151e-14   -1.719256e-15   -6.995927e-19   -2.977549e-16
    3.000000e-02    4.875438e-01    4.518379e-02    1.342225e-10    6.600721e-12    8.667155e-13    1.122690e-14   -1.850164e-15   -7.469369e-19   -3.160604e-16
    4.000000e-02    4.875438e-01    4.518408e-02    1.678659e-10    8.104912e-12    1.084331e-12    1.128058e-14   -1.990494e-15   -7.976786e-19   -3.354070e-16
    5.000000e-02    4.875438e-01    4.518444e-02    2.099167e-10    9.986018e-12    1.356472e-12    1.134292e-14   -2.140736e-15   -8.520646e-19   -3.558334e-16
    6.000000e-02    4.875438e-01    4.518488e-02    2.624657e-10    1.233818e-11    1.696757e-12    1.141428e-14   -2.301377e-15   -9.103583e-19   -3.773761e-16
    7.000000e-02    4.875438e-01    4.518544e-02    3.281198e-10    1.527895e-11    2.122186e-12    1.149503e-14   -2.472895e-15   -9.728409e-19   -4.000699e-16
    8.000000e-02    4.875438e-01    4.518614e-02    4.101278e-10    1.895500e-11    2.653975e-12    1.158552e-14   -2.655756e-15   -1.039812e-18   -4.239464e-16
    9.000000e-02    4.875438e-01    4.518701e-02    5.125364e-10    2.354939e-11    3.318594e-12    1.168609e-14   -2.850404e-15   -1.111590e-18   -4.490345e-16
    1.000000e-01    4.875438e-01    4.518810e-02    6.403829e-10    2.929039e-11    4.149051e-12    1.179706e-14   -3.057260e-15   -1.188515e-18   -4.753587e-16
    1.100000e-01    4.875438e-01    4.518947e-02    7.999342e-10    3.646257e-11    5.186487e-12    1.191875e-14   -3.276713e-15   -1.270948e-18   -5.029393e-16
    1.200000e-01    4.875438e-01    4.519117e-02    9.989812e-10    4.542052e-11    6.482159e-12    1.205142e-14   -3.509112e-15   -1.359273e-18   -5.317918e-16
    1.300000e-01    4.875438e-01    4.519329e-02    1.247202e-09    5.660584e-11    8.099885e-12    1.219532e-14   -3.754764e-15   -1.453896e-18   -5.619259e-16
    1.400000e-01    4.875438e-01    4.519594e-02    1.556607e-09    7.056818e-11    1.011907e-11    1.235065e-14   -4.013923e-15   -1.555250e-18   -5.933452e-16
    1.500000e-01    4.875438e-01    4.519925e-02    1.942091e-09    8.799118e-11    1.263846e-11    1.251757e-14   -4.286785e-15   -1.663793e-18   -6.260467e-16
    1.600000e-01    4.875438e-01    4.520337e-02    2.422104e-09    1.097246e-10    1.578073e-11    1.269620e-14   -4.573482e-15   -1.780008e-18   -6.600204e-16
    1.700000e-01    4.875438e-01    4.520852e-02    3.019471e-09    1.368238e-10    1.969813e-11    1.288660e-14   -4.874074e-15   -1.904409e-18   -6.952486e-16
    1.800000e-01    4.875438e-01    4.521492e-02    3.762404e-09    1.705985e-10    2.457951e-11    1.308878e-14   -5.188549e-15   -2.037539e-18   -7.317060e-16
    1.900000e-01    4.875438e-01    4.522290e-02    4.685717e-09    2.126723e-10    3.065877e-11    1.330267e-14   -5.516811e-15   -2.179970e-18   -7.693590e-16
    2.000000e-01    4.875438e-01    4.523283e-02    5.832317e-09    2.650561e-10    3.822527e-11    1.352816e-14   -5.858681e-15   -2.332309e-18   -8.081661e-16
    2.100000e-01    4.875438e-01    4.524519e-02    7.254998e-09    3.302376e-10    4.763656e-11    1.376505e-14   -6.213894e-15   -2.495195e-18   -8.480772e-16
    2.200000e-01    4.875438e-01    4.526054e-02    9.018620e-09    4.112909e-10    5.933367e-11    1.401308e-14   -6.582097e-15   -2.669303e-18   -8.890343e-16
    2.300000e-01    4.875438e-01    4.527960e-02    1.120272e-08    5.120096e-10    7.385979e-11    1.427194e-14   -6.962844e-15   -2.855343e-18   -9.309713e-16
    2.400000e-01    4.875438e-01    4.530325e-02    1.390468e-08    6.370691e-10    9.188263e-11    1.454121e-14   -7.355605e-15   -3.054066e-18   -9.738145e-16
    2.500000e-01    4.875438e-01    4.533255e-02    1.724347e-08    7.922231e-10    1.142213e-10    1.482044e-14   -7.759761e-15   -3.266263e-18   -1.017483e-15
    2.600000e-01    4.875438e-01    4.536883e-02    2.136418e-08    9.845414e-10    1.418782e-10    1.510909e-14   -8.174611e-15   -3.492767e-18   -1.061889e-15
    2.700000e-01    4.875438e-01    4.541368e-02    2.644342e-08    1.222698e-09    1.760774e-10    1.540657e-14   -8.599376e-15   -3.734455e-18   -1.106940e-15
    2.800000e-01    4.875438e-01    4.546905e-02    3.269577e-08    1.517315e-09    2.183088e-10    1.571222e-14   -9.033204e-15   -3.992253e-18   -1.152535e-15
    2.900000e-01    4.875438e-01    4.553731e-02    4.038142e-08    1.881385e-09    2.703809e-10    1.602533e-14   -9.475177e-15   -4.267135e-18   -1.198574e-15
    3.000000e-01    4.875438e-01    4.562129e-02    4.981543e-08    2.330764e-09    3.344814e-10    1.634515e-14   -9.924321e-15   -4.560126e-18   -1.244949e-15
    3.100000e-01    4.875438e-01    4.572445e-02    6.137865e-08    2.884782e-09    4.132468e-10    1.667089e-14   -1.037961e-14   -4.872309e-18   -1.291551e-15
    3.200000e-01    4.875438e-01    4.585087e-02    7.553096e-08    3.566957e-09    5.098416e-10    1.700171e-14   -1.083999e-14   -5.204822e-18   -1.338270e-15
    3.300000e-01    4.875438e-01    4.600548e-02    9.282714e-08    4.405868e-09    6.280477e-10    1.733676e-14   -1.130437e-14   -5.558866e-18   -1.384997e-15
    3.400000e-01    4.875438e-01    4.619407e-02    1.139361e-07    5.436194e-09    7.723624e-10    1.767516e-14   -1.177164e-14   -5.935708e-18   -1.431621e-15
    3.500000e-01    4.875438e-01    4.642349e-02    1.396641e-07    6.699968e-09    9.481064e-10    1.801604e-14   -1.224069e-14   -6.336683e-18   -1.478034e-15
    3.600000e-01    4.875438e-01    4.670176e-02    1.709830e-07    8.248090e-09    1.161539e-09    1.835850e-14   -1.271041e-14   -6.763198e-18   -1.524133e-15
    3.700000e-01    4.875438e-01    4.703818e-02    2.090645e-07    1.014214e-08    1.419976e-09    1.870169e-14   -1.317970e-14   -7.216742e-18   -1.569814e-15
    3.800000e-01    4.875438e-01    4.744349e-02    2.553216e-07    1.245660e-08    1.731918e-09    1.904472e-14   -1.364749e-14   -7.698881e-18   -1.614982e-15
    3.900000e-01    4.875438e-01    4.792996e-02    3.114574e-07    1.528147e-08    2.107165e-09    1.938678e-14   -1.411273e-14   -8.211275e-18   -1.659545e-15
    4.000000e-01    4.875438e-01    4.851147e-02    3.795236e-07    1.872547e-08    2.556933e-09    1.972704e-14   -1.457444e-14   -8.755676e-18   -1.703417e-15
    4.100000e-01    4.875438e-01    4.920356e-02    4.619868e-07    2.291987e-08    3.093957e-09    2.006474e-14   -1.503166e-14   -9.333934e-18   -1.746519e-15
    4.200000e-01    4.875438e-01    5.002343e-02    5.618026e-07    2.802298e-08    3.732571e-09    2.039914e-14   -1.548350e-14   -9.948010e-18   -1.788779e-15
    4.300000e-01    4.875438e-01    5.098986e-02    6.824938e-07    3.422544e-08    4.488765e-09    2.072955e-14   -1.592913e-14   -1.059998e-17   -1.830131e-15
    4.400000e-01    4.875438e-01    5.212308e-02    8.282275e-07    4.175626e-08    5.380208e-09    2.105534e-14   -1.636777e-14   -1.129203e-17   -1.870520e-15
    4.500000e-01    4.875438e-01    5.344450e-02    1.003884e-06    5.088965e-08    6.426235e-09    2.137592e-14   -1.679872e-14   -1.202650e-17   -1.909894e-15
    4.600000e-01    4.875438e-01    5.497643e-02    1.215103e-06    6.195239e-08    7.647789e-09    2.169077e-14   -1.722137e-14   -1.280585e-17   -1.948212e-15
    4.700000e-01    4.875438e-01    5.674162e-02    1.468298e-06    7.533154e-08    9.067316e-09    2.199939e-14   -1.763514e-14   -1.363270e-17   -1.985437e-15
    4.800000e-01    4.875438e-01    5.876274e-02    1.770618e-06    9.148203e-08    1.070862e-08    2.230137e-14   -1.803956e-14   -1.450982e-17   -2.021544e-15
    4.900000e-01    4.875438e-01    6.106182e-02    2.129842e-06    1.109335e-07    1.259667e-08    2.259636e-14   -1.843421e-14   -1.544016e-17   -2.056512e-15
    5.000000e-01    4.875438e-01    6.365954e-02    2.554196e-06    1.342960e-07    1.475740e-08    2.288403e-14   -1.881874e-14   -1.642687e-17   -2.090326e-15
    5.100000e-01    4.875438e-01    6.657459e-02    3.052082e-06    1.622626e-07    1.721741e-08    2.316413e-14   -1.919288e-14   -1.747327e-17   -2.122980e-15
    5.200000e-01    4.875438e-01    6.982300e-02    3.631721e-06    1.956102e-07    2.000377e-08    2.343645e-14   -1.955642e-14   -1.858290e-17   -2.154471e-15
    5.300000e-01    4.875438e-01    7.341747e-02    4.300730e-06    2.351950e-07    2.314370e-08    2.370085e-14   -1.990920e-14   -1.975954e-17   -2.184805e-15
    5.400000e-01    4.875438e-01    7.736691e-02    5.065644e-06    2.819446e-07    2.666439e-08    2.395721e-14   -2.025113e-14   -2.100719e-17   -2.213990e-15
    5.500000e-01    4.875438e-01    8.167596e-02    5.931447e-06    3.368444e-07    3.059273e-08    2.420546e-14   -2.058216e-14   -2.233016e-17   -2.242041e-15
    5.600000e-01    4.875438e-01    8.634479e-02    6.901122e-06    4.009201e-07    3.495517e-08    2.444559e-14   -2.090232e-14   -2.373298e-17   -2.268975e-15
    5.700000e-01    4.875438e-01    9.136901e-02    7.975302e-06    4.752155e-07    3.977762e-08    2.467759e-14   -2.121165e-14   -2.522053e-17   -2.294813e-15
    5.800000e-01    4.875438e-01    9.673973e-02    9.152037e-06    5.607683e-07    4.508537e-08    2.490153e-14   -2.151026e-14   -2.679799e-17   -2.319581e-15
    5.900000e-01    4.875438e-01    1.024439e-01    1.042673e-05    6.585831e-07    5.090314e-08    2.511747e-14   -2.179826e-14   -2.847091e-17   -2.343306e-15
    6.000000e-01    4.875438e-01    1.084647e-01    1.179221e-05    7.696057e-07    5.725514e-08    2.532553e-14   -2.207584e-14   -3.024520e-17   -2.366018e-15
    6.100000e-01    4.875438e-01    1.147822e-01    1.323904e-05    8.946986e-07    6.416521e-08    2.552583e-14   -2.234317e-14   -3.212719e-17   -2.387748e-15
    6.200000e-01    4.875438e-01    1.213736e-01    1.475589e-05    1.034620e-06    7.165708e-08    2.571851e-14   -2.260048e-14   -3.412362e-17   -2.408529e-15
    6.300000e-01    4.875438e-01    1.282147e-01    1.633005e-05    1.190008e-06    7.975460e-08    2.590376e-14   -2.284801e-14   -3.624174e-17   -2.428397e-15
    6.400000e-01    4.875438e-01    1.352797e-01    1.794802e-05    1.361367e-06    8.848207e-08    2.608175e-14   -2.308602e-14   -3.848926e-17   -2.447387e-15
    6.500000e-01    4.875438e-01    1.425425e-01    1.959605e-05    1.549068e-06    9.786462e-08    2.625268e-14   -2.331476e-14   -4.087447e-17   -2.465533e-15
    6.600000e-01    4.875438e-01    1.499772e-01    2.126075e-05    1.753344e-06    1.079285e-07    2.641676e-14   -2.353453e-14   -4.340622e-17   -2.482873e-15
    6.700000e-01    4.875438e-01    1.575582e-01    2.292949e-05    1.974297e-06    1.187018e-07    2.657420e-14   -2.374560e-14   -4.609401e-17   -2.499443e-15
    6.800000e-01    4.875438e-01    1.652614e-01    2.459083e-05    2.211909e-06    1.302145e-07    2.672523e-14   -2.394827e-14   -4.894800e-17   -2.515280e-15
    6.900000e-01    4.875438e-01    1.730640e-01    2.623477e-05    2.466055e-06    1.424990e-07    2.687008e-14   -2.414285e-14   -5.197912e-17   -2.530418e-15
    7.000000e-01    4.875438e-01    1.809449e-01    2.785290e-05    2.736518e-06    1.555911e-07    2.700897e-14   -2.432962e-14   -5.519904e-17   -2.544894e-15
    7.100000e-01    4.875438e-01    1.888848e-01    2.943850e-05    3.023004e-06    1.695297e-07    2.714214e-14   -2.450888e-14   -5.862031e-17   -2.558743e-15
    7.200000e-01    4.875438e-01    1.968667e-01    3.098648e-05    3.325162e-06    1.843582e-07    2.726982e-14   -2.468093e-14   -6.225640e-17   -2.571999e-15
