# sky130 nfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: 85 C
# W = 2.0 um
# L = 5 um (5000 nm)
# VDS = 0.6 V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
    0.000000e+00    4.773947e-01    4.561147e-02    4.336340e-11    2.534183e-12    1.931894e-13    2.207339e-14   -3.067047e-15   -1.350302e-18   -5.537436e-16
    1.000000e-02    4.773947e-01    4.561166e-02    5.430731e-11    3.020490e-12    2.420140e-13    2.214240e-14   -3.304916e-15   -1.441914e-18   -5.882949e-16
    2.000000e-02    4.773947e-01    4.561190e-02    6.800632e-11    3.629498e-12    3.031572e-13    2.222721e-14   -3.560539e-15   -1.540164e-18   -6.248790e-16
    3.000000e-02    4.773947e-01    4.561221e-02    8.515124e-11    4.392084e-12    3.797185e-13    2.232854e-14   -3.834904e-15   -1.645545e-18   -6.635788e-16
    4.000000e-02    4.773947e-01    4.561259e-02    1.066050e-10    5.346862e-12    4.755740e-13    2.244714e-14   -4.129010e-15   -1.758584e-18   -7.044747e-16
    5.000000e-02    4.773947e-01    4.561306e-02    1.334453e-10    6.542110e-12    5.955698e-13    2.258376e-14   -4.443853e-15   -1.879843e-18   -7.476440e-16
    6.000000e-02    4.773947e-01    4.561366e-02    1.670170e-10    8.038170e-12    7.457620e-13    2.273912e-14   -4.780408e-15   -2.009924e-18   -7.931594e-16
    7.000000e-02    4.773947e-01    4.561440e-02    2.089981e-10    9.910436e-12    9.337176e-13    2.291395e-14   -5.139627e-15   -2.149468e-18   -8.410882e-16
    8.000000e-02    4.773947e-01    4.561534e-02    2.614805e-10    1.225308e-11    1.168886e-12    2.310895e-14   -5.522421e-15   -2.299159e-18   -8.914912e-16
    9.000000e-02    4.773947e-01    4.561650e-02    3.270713e-10    1.518367e-11    1.463065e-12    2.332477e-14   -5.929654e-15   -2.459729e-18   -9.444213e-16
    1.000000e-01    4.773947e-01    4.561796e-02    4.090167e-10    1.884893e-11    1.830973e-12    2.356204e-14   -6.362124e-15   -2.631953e-18   -9.999225e-16
    1.100000e-01    4.773947e-01    4.561979e-02    5.113564e-10    2.343188e-11    2.290965e-12    2.382133e-14   -6.820556e-15   -2.816660e-18   -1.058029e-15
