# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: -40 C
# W = 2.0 um
# L = 0.18 um (180 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    8.806321e-01    6.347141e-01    3.636336e-04   -2.679410e-04    2.069431e-04    2.259517e-15   -1.762538e-15    9.114886e-18   -1.361231e-16
   -1.790000e+00    8.806321e-01    6.292315e-01    3.663626e-04   -2.643047e-04    2.014183e-04    2.257180e-15   -1.762979e-15    1.267240e-17   -1.357810e-16
   -1.780000e+00    8.806321e-01    6.237458e-01    3.690064e-04   -2.606140e-04    1.959435e-04    2.254915e-15   -1.763328e-15    1.606109e-17   -1.354488e-16
   -1.770000e+00    8.806321e-01    6.182563e-01    3.715593e-04   -2.569111e-04    1.905249e-04    2.252721e-15   -1.763587e-15    1.928670e-17   -1.351263e-16
   -1.760000e+00    8.806321e-01    6.127626e-01    3.740156e-04   -2.531832e-04    1.851692e-04    2.250593e-15   -1.763759e-15    2.235502e-17   -1.348133e-16
   -1.750000e+00    8.806321e-01    6.072640e-01    3.763696e-04   -2.494312e-04    1.798826e-04    2.248530e-15   -1.763848e-15    2.527191e-17   -1.345096e-16
   -1.740000e+00    8.806321e-01    6.017599e-01    3.786156e-04   -2.456561e-04    1.746714e-04    2.246528e-15   -1.763855e-15    2.804323e-17   -1.342150e-16
   -1.730000e+00    8.806321e-01    5.962498e-01    3.807480e-04   -2.418592e-04    1.695414e-04    2.244586e-15   -1.763786e-15    3.067482e-17   -1.339292e-16
   -1.720000e+00    8.806321e-01    5.907330e-01    3.827612e-04   -2.380416e-04    1.644983e-04    2.242700e-15   -1.763641e-15    3.317247e-17   -1.336521e-16
   -1.710000e+00    8.806321e-01    5.852090e-01    3.846500e-04   -2.342044e-04    1.595473e-04    2.240866e-15   -1.763424e-15    3.554189e-17   -1.333833e-16
