# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: -40 C
# W = 2.0 um
# L = 2 um (2000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.091046e+00    6.081184e-01    5.495407e-05   -2.302457e-05    6.892059e-06    2.548394e-14   -2.342721e-14   -1.524337e-15   -2.339572e-15
   -1.790000e+00    1.091046e+00    6.000618e-01    5.479333e-05   -2.247503e-05    6.308292e-06    2.540473e-14   -2.342384e-14   -1.424433e-15   -2.325541e-15
   -1.780000e+00    1.091046e+00    5.920057e-01    5.459922e-05   -2.192882e-05    5.759477e-06    2.532850e-14   -2.341857e-14   -1.329792e-15   -2.312028e-15
   -1.770000e+00    1.091046e+00    5.839501e-01    5.437083e-05   -2.138394e-05    5.246382e-06    2.525522e-14   -2.341144e-14   -1.240345e-15   -2.299035e-15
   -1.760000e+00    1.091046e+00    5.758947e-01    5.410768e-05   -2.084151e-05    4.769297e-06    2.518486e-14   -2.340253e-14   -1.155989e-15   -2.286560e-15
   -1.750000e+00    1.091046e+00    5.678396e-01    5.380965e-05   -2.030190e-05    4.328030e-06    2.511736e-14   -2.339189e-14   -1.076598e-15   -2.274597e-15
   -1.740000e+00    1.091046e+00    5.597847e-01    5.347704e-05   -1.976544e-05    3.921925e-06    2.505264e-14   -2.337957e-14   -1.002021e-15   -2.263138e-15
   -1.730000e+00    1.091046e+00    5.517298e-01    5.311052e-05   -1.923247e-05    3.549904e-06    2.499059e-14   -2.336566e-14   -9.320916e-16   -2.252171e-15
   -1.720000e+00    1.091046e+00    5.436748e-01    5.271107e-05   -1.870334e-05    3.210535e-06    2.493112e-14   -2.335021e-14   -8.666259e-16   -2.241683e-15
   -1.710000e+00    1.091046e+00    5.356197e-01    5.227994e-05   -1.817836e-05    2.902096e-06    2.487411e-14   -2.333327e-14   -8.054308e-16   -2.231659e-15
