# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: -40C
# W = 2.0 um
# L = 6 um (6000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.489971e+00    1.149390e+01    3.599506e+00    3.740322e+07    3.813716e-08    2.539749e-09    3.560402e-08    3.372727e-09   -1.800000e+00    1.098683e+00    6.036728e-01
    2.542316e+00    1.278824e+01    3.509879e+00    3.737165e+07    3.800138e-08    2.371829e-09    3.559907e-08    3.350025e-09   -1.790000e+00    1.098683e+00    5.953452e-01
    2.594994e+00    1.426717e+01    3.421062e+00    3.730922e+07    3.787052e-08    2.212450e-09    3.559112e-08    3.328140e-09   -1.780000e+00    1.098683e+00    5.870231e-01
    2.648404e+00    1.595542e+01    3.332539e+00    3.721562e+07    3.774456e-08    2.061577e-09    3.558024e-08    3.307081e-09   -1.770000e+00    1.098683e+00    5.787066e-01
    2.702402e+00    1.787982e+01    3.244564e+00    3.709087e+07    3.762352e-08    1.919117e-09    3.556651e-08    3.286853e-09   -1.760000e+00    1.098683e+00    5.703957e-01
    2.757003e+00    2.006922e+01    3.157196e+00    3.693542e+07    3.750731e-08    1.784917e-09    3.555002e-08    3.267455e-09   -1.750000e+00    1.098683e+00    5.620903e-01
    2.812242e+00    2.255439e+01    3.070495e+00    3.675003e+07    3.739586e-08    1.658783e-09    3.553085e-08    3.248876e-09   -1.740000e+00    1.098683e+00    5.537904e-01
    2.868178e+00    2.536784e+01    2.984515e+00    3.653583e+07    3.728903e-08    1.540477e-09    3.550913e-08    3.231106e-09   -1.730000e+00    1.098683e+00    5.454960e-01
    2.924879e+00    2.854353e+01    2.899310e+00    3.629406e+07    3.718665e-08    1.429728e-09    3.548492e-08    3.214125e-09   -1.720000e+00    1.098683e+00    5.372071e-01
    2.982436e+00    3.211680e+01    2.814929e+00    3.602623e+07    3.708856e-08    1.326238e-09    3.545832e-08    3.197912e-09   -1.710000e+00    1.098683e+00    5.289236e-01
    3.040954e+00    3.612407e+01    2.731418e+00    3.573391e+07    3.699453e-08    1.229687e-09    3.542943e-08    3.182441e-09   -1.700000e+00    1.098683e+00    5.206455e-01
    3.100545e+00    4.060260e+01    2.648820e+00    3.541872e+07    3.690436e-08    1.139745e-09    3.539832e-08    3.167683e-09   -1.690000e+00    1.098683e+00    5.123728e-01
    3.161336e+00    4.559040e+01    2.567175e+00    3.508232e+07    3.681780e-08    1.056069e-09    3.536508e-08    3.153608e-09   -1.680000e+00    1.098683e+00    5.041056e-01
