# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: 25 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    9.986615e-01    6.931364e-01    2.177390e-05   -1.096450e-05    5.024648e-06    5.211714e-14   -4.740950e-14   -5.269608e-15   -4.982864e-15
   -1.790000e+00    9.986615e-01    6.847873e-01    2.179175e-05   -1.074676e-05    4.701625e-06    5.190440e-14   -4.742962e-14   -4.980867e-15   -4.945589e-15
   -1.780000e+00    9.986615e-01    6.764446e-01    2.180283e-05   -1.052868e-05    4.385469e-06    5.169564e-14   -4.744554e-14   -4.700745e-15   -4.909034e-15
   -1.770000e+00    9.986615e-01    6.681082e-01    2.180639e-05   -1.031063e-05    4.077076e-06    5.149125e-14   -4.745719e-14   -4.429776e-15   -4.873262e-15
   -1.760000e+00    9.986615e-01    6.597782e-01    2.180163e-05   -1.009258e-05    3.777393e-06    5.129159e-14   -4.746449e-14   -4.168423e-15   -4.838332e-15
   -1.750000e+00    9.986615e-01    6.514543e-01    2.178771e-05   -9.874629e-06    3.487395e-06    5.109694e-14   -4.746743e-14   -3.917069e-15   -4.804296e-15
   -1.740000e+00    9.986615e-01    6.431367e-01    2.176378e-05   -9.656863e-06    3.208066e-06    5.090757e-14   -4.746598e-14   -3.676019e-15   -4.771197e-15
   -1.730000e+00    9.986615e-01    6.348253e-01    2.172899e-05   -9.439390e-06    2.940371e-06    5.072366e-14   -4.746016e-14   -3.445490e-15   -4.739075e-15
   -1.720000e+00    9.986615e-01    6.265200e-01    2.168254e-05   -9.222322e-06    2.685217e-06    5.054536e-14   -4.744999e-14   -3.225618e-15   -4.707959e-15
   -1.710000e+00    9.986615e-01    6.182208e-01    2.162368e-05   -9.005780e-06    2.443425e-06    5.037274e-14   -4.743554e-14   -3.016459e-15   -4.677871e-15
