# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ff
# Temperature: 25 C
# W = 2.0 um
# L = 0.5 um (500 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    9.349243e-01    7.714864e-01    1.513892e-04   -9.322685e-05    6.491584e-05    6.401597e-15   -6.077681e-15   -3.740483e-16   -5.641602e-16
   -1.790000e+00    9.349243e-01    7.629932e-01    1.520040e-04   -9.171296e-05    6.236971e-05    6.385990e-15   -6.079468e-15   -3.521136e-16   -5.611027e-16
   -1.780000e+00    9.349243e-01    7.545047e-01    1.525992e-04   -9.018684e-05    5.983138e-05    6.370818e-15   -6.080801e-15   -3.311222e-16   -5.581359e-16
   -1.770000e+00    9.349243e-01    7.460207e-01    1.531728e-04   -8.865796e-05    5.730333e-05    6.356080e-15   -6.081684e-15   -3.110694e-16   -5.552606e-16
   -1.760000e+00    9.349243e-01    7.375411e-01    1.537224e-04   -8.712346e-05    5.478837e-05    6.341776e-15   -6.082126e-15   -2.919464e-16   -5.524771e-16
   -1.750000e+00    9.349243e-01    7.290657e-01    1.542453e-04   -8.558360e-05    5.228967e-05    6.327900e-15   -6.082134e-15   -2.737401e-16   -5.497853e-16
   -1.740000e+00    9.349243e-01    7.205945e-01    1.547385e-04   -8.403866e-05    4.981079e-05    6.314444e-15   -6.081717e-15   -2.564337e-16   -5.471846e-16
   -1.730000e+00    9.349243e-01    7.121274e-01    1.551985e-04   -8.248894e-05    4.735572e-05    6.301400e-15   -6.080885e-15   -2.400072e-16   -5.446740e-16
   -1.720000e+00    9.349243e-01    7.036642e-01    1.556216e-04   -8.093481e-05    4.492891e-05    6.288755e-15   -6.079648e-15   -2.244376e-16   -5.422522e-16
   -1.710000e+00    9.349243e-01    6.952048e-01    1.560036e-04   -7.937665e-05    4.253527e-05    6.276497e-15   -6.078015e-15   -2.096995e-16   -5.399174e-16
   -1.700000e+00    9.349243e-01    6.867492e-01    1.563398e-04   -7.781489e-05    4.018020e-05    6.264609e-15   -6.075999e-15   -1.957659e-16   -5.376677e-16
