# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 25C
# W = 2.0 um
# L = 0.18 um (180 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.113905e+00    1.252627e+00    1.353804e+02    2.103578e+10    1.140946e-09    2.480223e-11    8.858860e-10    8.076795e-11   -1.800000e+00    7.524117e-01    7.084168e-01
    1.135881e+00    1.289899e+00    1.338724e+02    2.124341e+10    1.139252e-09    2.184733e-11    8.866890e-10    8.047635e-11   -1.790000e+00    7.524117e-01    7.031618e-01
    1.158438e+00    1.328658e+00    1.323392e+02    2.144827e+10    1.137599e-09    1.899797e-11    8.874310e-10    8.019150e-11   -1.780000e+00    7.524117e-01    6.979065e-01
    1.181426e+00    1.368977e+00    1.307999e+02    2.165015e+10    1.135987e-09    1.625379e-11    8.881120e-10    7.991345e-11   -1.770000e+00    7.524117e-01    6.926502e-01
    1.204912e+00    1.410935e+00    1.292486e+02    2.184883e+10    1.134418e-09    1.361407e-11    8.887335e-10    7.964225e-11   -1.760000e+00    7.524117e-01    6.873925e-01
    1.228906e+00    1.454611e+00    1.276854e+02    2.204409e+10    1.132890e-09    1.107777e-11    8.892955e-10    7.937800e-11   -1.750000e+00    7.524117e-01    6.821329e-01
    1.253422e+00    1.500089e+00    1.261105e+02    2.223571e+10    1.131403e-09    8.643560e-12    8.897990e-10    7.912060e-11   -1.740000e+00    7.524117e-01    6.768709e-01
    1.278472e+00    1.547453e+00    1.245241e+02    2.242343e+10    1.129958e-09    6.309845e-12    8.902455e-10    7.887010e-11   -1.730000e+00    7.524117e-01    6.716058e-01
    1.304067e+00    1.596790e+00    1.229265e+02    2.260705e+10    1.128552e-09    4.074783e-12    8.906365e-10    7.862645e-11   -1.720000e+00    7.524117e-01    6.663372e-01
    1.330219e+00    1.648190e+00    1.213180e+02    2.278629e+10    1.127185e-09    1.936318e-12    8.909720e-10    7.838965e-11   -1.710000e+00    7.524117e-01    6.610646e-01
    1.356941e+00    1.701743e+00    1.196990e+02    2.296089e+10    1.125856e-09    1.077990e-13    8.912545e-10    7.815950e-11   -1.700000e+00    7.524117e-01    6.557873e-01
    1.384244e+00    1.757539e+00    1.180697e+02    2.313059e+10    1.124565e-09    2.059974e-12    8.914845e-10    7.793605e-11   -1.690000e+00    7.524117e-01    6.505048e-01
    1.412140e+00    1.815668e+00    1.164304e+02    2.329512e+10    1.123309e-09    3.922753e-12    8.916640e-10    7.771915e-11   -1.680000e+00    7.524117e-01    6.452165e-01
    1.440640e+00    1.876218e+00    1.147815e+02    2.345418e+10    1.122088e-09    5.698790e-12    8.917935e-10    7.750870e-11   -1.670000e+00    7.524117e-01    6.399219e-01
    1.469755e+00    1.939280e+00    1.131234e+02    2.360750e+10    1.120902e-09    7.390825e-12    8.918755e-10    7.730455e-11   -1.660000e+00    7.524117e-01    6.346203e-01
    1.499497e+00    2.004934e+00    1.114564e+02    2.375477e+10    1.119746e-09    9.001660e-12    8.919105e-10    7.710655e-11   -1.650000e+00    7.524117e-01    6.293112e-01
    1.529875e+00    2.073263e+00    1.097809e+02    2.389569e+10    1.118622e-09    1.053415e-11    8.919005e-10    7.691465e-11   -1.640000e+00    7.524117e-01    6.239941e-01
    1.560902e+00    2.144344e+00    1.080974e+02    2.402996e+10    1.117527e-09    1.199117e-11    8.918460e-10    7.672860e-11   -1.630000e+00    7.524117e-01    6.186682e-01
    1.592586e+00    2.218246e+00    1.064065e+02    2.415728e+10    1.116460e-09    1.337559e-11    8.917495e-10    7.654830e-11   -1.620000e+00    7.524117e-01    6.133329e-01
    1.624940e+00    2.295033e+00    1.047084e+02    2.427736e+10    1.115418e-09    1.469028e-11    8.916110e-10    7.637355e-11   -1.610000e+00    7.524117e-01    6.079877e-01
    1.657976e+00    2.374762e+00    1.030038e+02    2.438988e+10    1.114402e-09    1.593808e-11    8.914320e-10    7.620420e-11   -1.600000e+00    7.524117e-01    6.026320e-01
    1.691703e+00    2.457483e+00    1.012930e+02    2.449455e+10    1.113408e-09    1.712179e-11    8.912140e-10    7.604005e-11   -1.590000e+00    7.524117e-01    5.972651e-01
    1.726134e+00    2.543233e+00    9.957675e+01    2.459108e+10    1.112436e-09    1.824417e-11    8.909575e-10    7.588090e-11   -1.580000e+00    7.524117e-01    5.918863e-01
    1.761283e+00    2.632045e+00    9.785555e+01    2.467922e+10    1.111484e-09    1.930793e-11    8.906640e-10    7.572665e-11   -1.570000e+00    7.524117e-01    5.864951e-01
    1.797162e+00    2.723940e+00    9.612995e+01    2.475871e+10    1.110550e-09    2.031570e-11    8.903345e-10    7.557705e-11   -1.560000e+00    7.524117e-01    5.810908e-01
    1.833788e+00    2.818933e+00    9.440055e+01    2.482930e+10    1.109632e-09    2.127003e-11    8.899690e-10    7.543195e-11   -1.550000e+00    7.524117e-01    5.756727e-01
    1.871174e+00    2.917023e+00    9.266795e+01    2.489075e+10    1.108731e-09    2.217341e-11    8.895690e-10    7.529110e-11   -1.540000e+00    7.524117e-01    5.702402e-01
    1.909341e+00    3.018212e+00    9.093280e+01    2.494288e+10    1.107842e-09    2.302823e-11    8.891345e-10    7.515440e-11   -1.530000e+00    7.524117e-01    5.647927e-01
