# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ff
# Temperature: 25C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.891211e+00    3.601941e+00    1.113297e+01    2.566204e+08    1.305810e-08    1.332771e-09    1.166667e-08    1.296470e-09   -1.800000e+00    9.892784e-01    7.018720e-01
    1.931065e+00    3.818797e+00    1.092242e+01    2.580949e+08    1.300638e-08    1.261064e-09    1.167253e-08    1.286904e-09   -1.790000e+00    9.892784e-01    6.937330e-01
    1.972142e+00    4.057985e+00    1.071115e+01    2.594995e+08    1.295561e-08    1.191419e-09    1.167737e-08    1.277515e-09   -1.780000e+00    9.892784e-01    6.855967e-01
    2.014346e+00    4.322424e+00    1.049977e+01    2.608236e+08    1.290587e-08    1.123965e-09    1.168118e-08    1.268321e-09   -1.770000e+00    9.892784e-01    6.774629e-01
    2.057710e+00    4.615449e+00    1.028817e+01    2.620560e+08    1.285725e-08    1.058822e-09    1.168394e-08    1.259336e-09   -1.760000e+00    9.892784e-01    6.693315e-01
    2.102227e+00    4.940832e+00    1.007640e+01    2.631853e+08    1.280983e-08    9.960875e-10    1.168564e-08    1.250574e-09   -1.750000e+00    9.892784e-01    6.612025e-01
    2.147881e+00    5.302828e+00    9.864535e+00    2.641992e+08    1.276367e-08    9.358410e-10    1.168626e-08    1.242046e-09   -1.740000e+00    9.892784e-01    6.530757e-01
    2.194649e+00    5.706205e+00    9.652665e+00    2.650853e+08    1.271882e-08    8.781420e-10    1.168582e-08    1.233763e-09   -1.730000e+00    9.892784e-01    6.449511e-01
    2.242501e+00    6.156281e+00    9.440880e+00    2.658314e+08    1.267532e-08    8.230300e-10    1.168432e-08    1.225732e-09   -1.720000e+00    9.892784e-01    6.368284e-01
    2.291398e+00    6.658932e+00    9.229275e+00    2.664250e+08    1.263320e-08    7.705250e-10    1.168177e-08    1.217961e-09   -1.710000e+00    9.892784e-01    6.287077e-01
    2.341300e+00    7.220598e+00    9.017955e+00    2.668545e+08    1.259247e-08    7.206290e-10    1.167819e-08    1.210453e-09   -1.700000e+00    9.892784e-01    6.205888e-01
    2.392161e+00    7.848270e+00    8.807040e+00    2.671093e+08    1.255312e-08    6.733245e-10    1.167359e-08    1.203212e-09   -1.690000e+00    9.892784e-01    6.124716e-01
    2.443939e+00    8.549448e+00    8.596640e+00    2.671796e+08    1.251514e-08    6.285795e-10    1.166799e-08    1.196236e-09   -1.680000e+00    9.892784e-01    6.043560e-01
    2.496591e+00    9.332088e+00    8.386890e+00    2.670578e+08    1.247852e-08    5.863470e-10    1.166142e-08    1.189524e-09   -1.670000e+00    9.892784e-01    5.962419e-01
    2.550084e+00    1.020453e+01    8.177915e+00    2.667377e+08    1.244322e-08    5.465660e-10    1.165390e-08    1.183074e-09   -1.660000e+00    9.892784e-01    5.881292e-01
    2.604395e+00    1.117538e+01    7.969845e+00    2.662156e+08    1.240919e-08    5.091655e-10    1.164546e-08    1.176881e-09   -1.650000e+00    9.892784e-01    5.800179e-01
    2.659511e+00    1.225345e+01    7.762825e+00    2.654897e+08    1.237639e-08    4.740646e-10    1.163611e-08    1.170938e-09   -1.640000e+00    9.892784e-01    5.719078e-01
    2.715433e+00    1.344759e+01    7.556985e+00    2.645607e+08    1.234476e-08    4.411756e-10    1.162588e-08    1.165238e-09   -1.630000e+00    9.892784e-01    5.637987e-01
    2.772184e+00    1.476663e+01    7.352460e+00    2.634315e+08    1.231423e-08    4.104048e-10    1.161481e-08    1.159773e-09   -1.620000e+00    9.892784e-01    5.556908e-01
    2.829798e+00    1.621924e+01    7.149380e+00    2.621067e+08    1.228474e-08    3.816550e-10    1.160289e-08    1.154533e-09   -1.610000e+00    9.892784e-01    5.475837e-01
