# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: -40 C
# W = 2.0 um
# L = 1 um (1000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.052089e+00    6.526098e-01    9.793458e-05   -4.561139e-05    1.818152e-05    1.298629e-14   -1.223270e-14   -6.303509e-16   -1.108352e-15
   -1.790000e+00    1.052089e+00    6.441690e-01    9.801320e-05   -4.463205e-05    1.687772e-05    1.295538e-14   -1.223175e-14   -5.906994e-16   -1.102842e-15
   -1.780000e+00    1.052089e+00    6.357345e-01    9.803926e-05   -4.365130e-05    1.562424e-05    1.292560e-14   -1.222994e-14   -5.531881e-16   -1.097539e-15
   -1.770000e+00    1.052089e+00    6.273062e-01    9.800884e-05   -4.267101e-05    1.442535e-05    1.289692e-14   -1.222728e-14   -5.177602e-16   -1.092440e-15
   -1.760000e+00    1.052089e+00    6.188840e-01    9.791830e-05   -4.169133e-05    1.328494e-05    1.286932e-14   -1.222382e-14   -4.843521e-16   -1.087540e-15
   -1.750000e+00    1.052089e+00    6.104678e-01    9.776444e-05   -4.071286e-05    1.220630e-05    1.284276e-14   -1.221956e-14   -4.528941e-16   -1.082836e-15
   -1.740000e+00    1.052089e+00    6.020575e-01    9.754462e-05   -3.973626e-05    1.119202e-05    1.281720e-14   -1.221456e-14   -4.233118e-16   -1.078322e-15
   -1.730000e+00    1.052089e+00    5.936530e-01    9.725689e-05   -3.876219e-05    1.024382e-05    1.279259e-14   -1.220883e-14   -3.955275e-16   -1.073993e-15
   -1.720000e+00    1.052089e+00    5.852542e-01    9.690011e-05   -3.779135e-05    9.362470e-06    1.276889e-14   -1.220241e-14   -3.694611e-16   -1.069843e-15
   -1.710000e+00    1.052089e+00    5.768611e-01    9.647395e-05   -3.682442e-05    8.547760e-06    1.274605e-14   -1.219531e-14   -3.450311e-16   -1.065864e-15
   -1.700000e+00    1.052089e+00    5.684734e-01    9.597892e-05   -3.586210e-05    7.798526e-06    1.272401e-14   -1.218757e-14   -3.221556e-16   -1.062050e-15
