# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: -40 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.086286e+00    6.100045e-01    2.995868e-05   -1.263910e-05    3.245383e-06    4.569978e-14   -4.269754e-14   -2.833805e-15   -4.011746e-15
   -1.790000e+00    1.086286e+00    6.017395e-01    2.987876e-05   -1.233951e-05    2.939955e-06    4.555237e-14   -4.269280e-14   -2.648797e-15   -3.987351e-15
   -1.780000e+00    1.086286e+00    5.934805e-01    2.977879e-05   -1.204159e-05    2.655344e-06    4.541035e-14   -4.268452e-14   -2.473356e-15   -3.963831e-15
   -1.770000e+00    1.086286e+00    5.852274e-01    2.965843e-05   -1.174439e-05    2.391805e-06    4.527370e-14   -4.267277e-14   -2.307383e-15   -3.941190e-15
   -1.760000e+00    1.086286e+00    5.769802e-01    2.951756e-05   -1.144849e-05    2.149291e-06    4.514235e-14   -4.265766e-14   -2.150723e-15   -3.919428e-15
   -1.750000e+00    1.086286e+00    5.687388e-01    2.935634e-05   -1.115411e-05    1.927454e-06    4.501622e-14   -4.263930e-14   -2.003167e-15   -3.898537e-15
   -1.740000e+00    1.086286e+00    5.605032e-01    2.917516e-05   -1.086143e-05    1.725674e-06    4.489517e-14   -4.261779e-14   -1.864464e-15   -3.878507e-15
   -1.730000e+00    1.086286e+00    5.522733e-01    2.897463e-05   -1.057067e-05    1.543088e-06    4.477904e-14   -4.259326e-14   -1.734324e-15   -3.859320e-15
   -1.720000e+00    1.086286e+00    5.440491e-01    2.875553e-05   -1.028200e-05    1.378642e-06    4.466764e-14   -4.256582e-14   -1.612427e-15   -3.840955e-15
   -1.710000e+00    1.086286e+00    5.358304e-01    2.851877e-05   -9.995616e-06    1.231142e-06    4.456077e-14   -4.253556e-14   -1.498432e-15   -3.823388e-15
   -1.700000e+00    1.086286e+00    5.276173e-01    2.826536e-05   -9.711681e-06    1.099302e-06    4.445819e-14   -4.250261e-14   -1.391978e-15   -3.806591e-15
   -1.690000e+00    1.086286e+00    5.194096e-01    2.799636e-05   -9.430360e-06    9.817979e-07    4.435966e-14   -4.246705e-14   -1.292696e-15   -3.790534e-15
   -1.680000e+00    1.086286e+00    5.112074e-01    2.771285e-05   -9.151803e-06    8.773057e-07    4.426492e-14   -4.242898e-14   -1.200209e-15   -3.775185e-15
   -1.670000e+00    1.086286e+00    5.030106e-01    2.741590e-05   -8.876148e-06    7.845381e-07    4.417372e-14   -4.238848e-14   -1.114142e-15   -3.760508e-15
   -1.660000e+00    1.086286e+00    4.948191e-01    2.710654e-05   -8.603526e-06    7.022694e-07    4.408578e-14   -4.234562e-14   -1.034121e-15   -3.746469e-15
   -1.650000e+00    1.086286e+00    4.866329e-01    2.678572e-05   -8.334056e-06    6.293530e-07    4.400084e-14   -4.230045e-14   -9.597805e-16   -3.733033e-15
   -1.640000e+00    1.086286e+00    4.784519e-01    2.645436e-05   -8.067847e-06    5.647328e-07    4.391862e-14   -4.225303e-14   -8.907636e-16   -3.720161e-15
   -1.630000e+00    1.086286e+00    4.702760e-01    2.611328e-05   -7.805001e-06    5.074472e-07    4.383884e-14   -4.220339e-14   -8.267254e-16   -3.707818e-15
   -1.620000e+00    1.086286e+00    4.621053e-01    2.576324e-05   -7.545611e-06    4.566301e-07    4.376125e-14   -4.215155e-14   -7.673347e-16   -3.695967e-15
   -1.610000e+00    1.086286e+00    4.539397e-01    2.540494e-05   -7.289763e-06    4.115071e-07    4.368556e-14   -4.209752e-14   -7.122747e-16   -3.684572e-15
