# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: -40C
# W = 2.0 um
# L = 1.5 um (1500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.255169e+00    6.547368e+00    1.545219e+01    5.678413e+08    9.767020e-09    5.429660e-10    9.087915e-09    8.677775e-10   -1.800000e+00    1.071700e+00    6.299414e-01
    2.305099e+00    7.100068e+00    1.510372e+01    5.689146e+08    9.739720e-09    5.080995e-10    9.087095e-09    8.629820e-10   -1.790000e+00    1.071700e+00    6.216610e-01
    2.355897e+00    7.715920e+00    1.475595e+01    5.696009e+08    9.713435e-09    4.750786e-10    9.085565e-09    8.583625e-10   -1.780000e+00    1.071700e+00    6.133851e-01
    2.407581e+00    8.401485e+00    1.440866e+01    5.698802e+08    9.688150e-09    4.438690e-10    9.083345e-09    8.539190e-10   -1.770000e+00    1.071700e+00    6.051135e-01
    2.460084e+00    9.163531e+00    1.406222e+01    5.697363e+08    9.663845e-09    4.144282e-10    9.080460e-09    8.496490e-10   -1.760000e+00    1.071700e+00    5.968461e-01
    2.513373e+00    1.000891e+01    1.371685e+01    5.691568e+08    9.640500e-09    3.867059e-10    9.076935e-09    8.455510e-10   -1.750000e+00    1.071700e+00    5.885829e-01
    2.567426e+00    1.094442e+01    1.337279e+01    5.681353e+08    9.618075e-09    3.606454e-10    9.072785e-09    8.416215e-10   -1.740000e+00    1.071700e+00    5.803236e-01
    2.622233e+00    1.197670e+01    1.303026e+01    5.666689e+08    9.596545e-09    3.361848e-10    9.068040e-09    8.378555e-10   -1.730000e+00    1.071700e+00    5.720683e-01
    2.677799e+00    1.311206e+01    1.268950e+01    5.647607e+08    9.575865e-09    3.132588e-10    9.062725e-09    8.342485e-10   -1.720000e+00    1.071700e+00    5.638168e-01
    2.734151e+00    1.435641e+01    1.235073e+01    5.624182e+08    9.555995e-09    2.917989e-10    9.056855e-09    8.307955e-10   -1.710000e+00    1.071700e+00    5.555691e-01
    2.791328e+00    1.571513e+01    1.201419e+01    5.596529e+08    9.536890e-09    2.717349e-10    9.050455e-09    8.274905e-10   -1.700000e+00    1.071700e+00    5.473249e-01
    2.849389e+00    1.719307e+01    1.168009e+01    5.564793e+08    9.518510e-09    2.529960e-10    9.043540e-09    8.243275e-10   -1.690000e+00    1.071700e+00    5.390844e-01
    2.908407e+00    1.879448e+01    1.134864e+01    5.529154e+08    9.500800e-09    2.355111e-10    9.036135e-09    8.213000e-10   -1.680000e+00    1.071700e+00    5.308473e-01
    2.968471e+00    2.052309e+01    1.102003e+01    5.489806e+08    9.483715e-09    2.192098e-10    9.028255e-09    8.184005e-10   -1.670000e+00    1.071700e+00    5.226135e-01
