# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: 25 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    9.885186e-01    6.981035e-01    2.428565e-05   -1.273636e-05    6.056382e-06    4.677074e-14   -4.249106e-14   -4.801475e-15   -4.425034e-15
   -1.790000e+00    9.885186e-01    6.898201e-01    2.433011e-05   -1.249351e-05    5.686386e-06    4.658209e-14   -4.251211e-14   -4.542692e-15   -4.392473e-15
   -1.780000e+00    9.885186e-01    6.815426e-01    2.436760e-05   -1.224979e-05    5.323147e-06    4.639679e-14   -4.252945e-14   -4.291324e-15   -4.360511e-15
   -1.770000e+00    9.885186e-01    6.732711e-01    2.439731e-05   -1.200595e-05    4.967632e-06    4.621519e-14   -4.254298e-14   -4.047861e-15   -4.329204e-15
   -1.760000e+00    9.885186e-01    6.650055e-01    2.441835e-05   -1.176187e-05    4.620871e-06    4.603762e-14   -4.255264e-14   -3.812730e-15   -4.298602e-15
   -1.750000e+00    9.885186e-01    6.567458e-01    2.442982e-05   -1.151762e-05    4.283943e-06    4.586434e-14   -4.255839e-14   -3.586294e-15   -4.268751e-15
   -1.740000e+00    9.885186e-01    6.484918e-01    2.443076e-05   -1.127331e-05    3.957956e-06    4.569559e-14   -4.256021e-14   -3.368842e-15   -4.239690e-15
   -1.730000e+00    9.885186e-01    6.402435e-01    2.442021e-05   -1.102904e-05    3.644023e-06    4.553156e-14   -4.255811e-14   -3.160595e-15   -4.211455e-15
   -1.720000e+00    9.885186e-01    6.320010e-01    2.439720e-05   -1.078494e-05    3.343222e-06    4.537238e-14   -4.255209e-14   -2.961698e-15   -4.184074e-15
   -1.710000e+00    9.885186e-01    6.237640e-01    2.436084e-05   -1.054114e-05    3.056565e-06    4.521814e-14   -4.254220e-14   -2.772228e-15   -4.157566e-15
