# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: fs
# Temperature: 25 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    9.899958e-01    6.952856e-01    2.130985e-05   -1.109272e-05    5.133952e-06    5.345961e-14   -4.865036e-14   -5.518175e-15   -5.035713e-15
   -1.790000e+00    9.899958e-01    6.870117e-01    2.134531e-05   -1.087963e-05    4.812093e-06    5.324195e-14   -4.867412e-14   -5.220536e-15   -4.998401e-15
   -1.780000e+00    9.899958e-01    6.787438e-01    2.137437e-05   -1.066584e-05    4.496568e-06    5.302811e-14   -4.869362e-14   -4.931384e-15   -4.961772e-15
   -1.770000e+00    9.899958e-01    6.704819e-01    2.139629e-05   -1.045198e-05    4.188251e-06    5.281852e-14   -4.870875e-14   -4.651288e-15   -4.925889e-15
   -1.760000e+00    9.899958e-01    6.622259e-01    2.141031e-05   -1.023794e-05    3.888065e-06    5.261354e-14   -4.871946e-14   -4.380749e-15   -4.890811e-15
   -1.750000e+00    9.899958e-01    6.539758e-01    2.141559e-05   -1.002380e-05    3.596972e-06    5.241349e-14   -4.872568e-14   -4.120190e-15   -4.856591e-15
   -1.740000e+00    9.899958e-01    6.457316e-01    2.141129e-05   -9.809660e-06    3.315946e-06    5.221865e-14   -4.872739e-14   -3.869953e-15   -4.823276e-15
   -1.730000e+00    9.899958e-01    6.374931e-01    2.139659e-05   -9.595612e-06    3.045955e-06    5.202924e-14   -4.872459e-14   -3.630296e-15   -4.790906e-15
   -1.720000e+00    9.899958e-01    6.292604e-01    2.137065e-05   -9.381766e-06    2.787923e-06    5.184542e-14   -4.871729e-14   -3.401395e-15   -4.759513e-15
   -1.710000e+00    9.899958e-01    6.210334e-01    2.133271e-05   -9.168239e-06    2.542702e-06    5.166730e-14   -4.870555e-14   -3.183341e-15   -4.729123e-15
   -1.700000e+00    9.899958e-01    6.128120e-01    2.128209e-05   -8.955154e-06    2.311030e-06    5.149493e-14   -4.868942e-14   -2.976148e-15   -4.699753e-15
   -1.690000e+00    9.899958e-01    6.045963e-01    2.121820e-05   -8.742641e-06    2.093502e-06    5.132831e-14   -4.866896e-14   -2.779752e-15   -4.671412e-15
   -1.680000e+00    9.899958e-01    5.963861e-01    2.114061e-05   -8.530836e-06    1.890537e-06    5.116739e-14   -4.864426e-14   -2.594023e-15   -4.644102e-15
   -1.670000e+00    9.899958e-01    5.881815e-01    2.104904e-05   -8.319876e-06    1.702355e-06    5.101207e-14   -4.861540e-14   -2.418765e-15   -4.617818e-15
   -1.660000e+00    9.899958e-01    5.799824e-01    2.094339e-05   -8.109902e-06    1.528971e-06    5.086221e-14   -4.858249e-14   -2.253729e-15   -4.592547e-15
   -1.650000e+00    9.899958e-01    5.717887e-01    2.082371e-05   -7.901055e-06    1.370189e-06    5.071763e-14   -4.854561e-14   -2.098619e-15   -4.568271e-15
   -1.640000e+00    9.899958e-01    5.636004e-01    2.069025e-05   -7.693474e-06    1.225618e-06    5.057811e-14   -4.850487e-14   -1.953097e-15   -4.544967e-15
   -1.630000e+00    9.899958e-01    5.554175e-01    2.054338e-05   -7.487295e-06    1.094694e-06    5.044341e-14   -4.846036e-14   -1.816798e-15   -4.522604e-15
   -1.620000e+00    9.899958e-01    5.472400e-01    2.038362e-05   -7.282649e-06    9.767083e-07    5.031326e-14   -4.841217e-14   -1.689330e-15   -4.501150e-15
   -1.610000e+00    9.899958e-01    5.390677e-01    2.021158e-05   -7.079663e-06    8.708457e-07    5.018737e-14   -4.836036e-14   -1.570284e-15   -4.480569e-15
   -1.600000e+00    9.899958e-01    5.309008e-01    2.002796e-05   -6.878456e-06    7.762177e-07    5.006543e-14   -4.830502e-14   -1.459241e-15   -4.460819e-15
   -1.590000e+00    9.899958e-01    5.227391e-01    1.983347e-05   -6.679140e-06    6.918985e-07    4.994712e-14   -4.824621e-14   -1.355780e-15   -4.441859e-15
   -1.580000e+00    9.899958e-01    5.145826e-01    1.962888e-05   -6.481820e-06    6.169557e-07    4.983211e-14   -4.818396e-14   -1.259477e-15   -4.423645e-15
   -1.570000e+00    9.899958e-01    5.064313e-01    1.941491e-05   -6.286594e-06    5.504758e-07    4.972007e-14   -4.811831e-14   -1.169913e-15   -4.406131e-15
   -1.560000e+00    9.899958e-01    4.982851e-01    1.919229e-05   -6.093551e-06    4.915837e-07    4.961065e-14   -4.804928e-14   -1.086681e-15   -4.389269e-15
   -1.550000e+00    9.899958e-01    4.901442e-01    1.896170e-05   -5.902775e-06    4.394569e-07    4.950352e-14   -4.797687e-14   -1.009381e-15   -4.373014e-15
   -1.540000e+00    9.899958e-01    4.820084e-01    1.872378e-05   -5.714341e-06    3.933345e-07    4.939833e-14   -4.790107e-14   -9.376290e-16   -4.357318e-15
   -1.530000e+00    9.899958e-01    4.738777e-01    1.847911e-05   -5.528322e-06    3.525214e-07    4.929473e-14   -4.782184e-14   -8.710561e-16   -4.342132e-15
   -1.520000e+00    9.899958e-01    4.657522e-01    1.822822e-05   -5.344780e-06    3.163898e-07    4.919238e-14   -4.773914e-14   -8.093099e-16   -4.327410e-15
   -1.510000e+00    9.899958e-01    4.576318e-01    1.797160e-05   -5.163776e-06    2.843773e-07    4.909094e-14   -4.765290e-14   -7.520555e-16   -4.313105e-15
   -1.500000e+00    9.899958e-01    4.495166e-01    1.770968e-05   -4.985365e-06    2.559839e-07    4.899007e-14   -4.756304e-14   -6.989763e-16   -4.299169e-15
   -1.490000e+00    9.899958e-01    4.414066e-01    1.744283e-05   -4.809599e-06    2.307677e-07    4.888942e-14   -4.746945e-14   -6.497735e-16   -4.285556e-15
   -1.480000e+00    9.899958e-01    4.333018e-01    1.717139e-05   -4.636524e-06    2.083399e-07    4.878866e-14   -4.737202e-14   -6.041663e-16   -4.272220e-15
   -1.470000e+00    9.899958e-01    4.252023e-01    1.689565e-05   -4.466185e-06    1.883595e-07    4.868745e-14   -4.727060e-14   -5.618918e-16   -4.259116e-15
   -1.460000e+00    9.899958e-01    4.171082e-01    1.661587e-05   -4.298625e-06    1.705283e-07    4.858543e-14   -4.716503e-14   -5.227040e-16   -4.246198e-15
   -1.450000e+00    9.899958e-01    4.090195e-01    1.633226e-05   -4.133881e-06    1.545860e-07    4.848228e-14   -4.705514e-14   -4.863736e-16   -4.233422e-15
   -1.440000e+00    9.899958e-01    4.009365e-01    1.604502e-05   -3.971991e-06    1.403058e-07    4.837763e-14   -4.694073e-14   -4.526873e-16   -4.220742e-15
   -1.430000e+00    9.899958e-01    3.928591e-01    1.575430e-05   -3.812992e-06    1.274900e-07    4.827116e-14   -4.682156e-14   -4.214467e-16   -4.208113e-15
   -1.420000e+00    9.899958e-01    3.847875e-01    1.546024e-05   -3.656916e-06    1.159664e-07    4.816248e-14   -4.669741e-14   -3.924677e-16   -4.195491e-15
   -1.410000e+00    9.899958e-01    3.767221e-01    1.516296e-05   -3.503798e-06    1.055850e-07    4.805125e-14   -4.656799e-14   -3.655799e-16   -4.182831e-15
   -1.400000e+00    9.899958e-01    3.686629e-01    1.486254e-05   -3.353668e-06    9.621497e-08    4.793710e-14   -4.643304e-14   -3.406255e-16   -4.170087e-15
   -1.390000e+00    9.899958e-01    3.606104e-01    1.455906e-05   -3.206557e-06    8.774236e-08    4.781965e-14   -4.629222e-14   -3.174584e-16   -4.157213e-15
   -1.380000e+00    9.899958e-01    3.525648e-01    1.425257e-05   -3.062497e-06    8.006753e-08    4.769850e-14   -4.614521e-14   -2.959438e-16   -4.144162e-15
   -1.370000e+00    9.899958e-01    3.445265e-01    1.394312e-05   -2.921516e-06    7.310339e-08    4.757327e-14   -4.599164e-14   -2.759572e-16   -4.130888e-15
   -1.360000e+00    9.899958e-01    3.364961e-01    1.363073e-05   -2.783644e-06    6.677372e-08    4.744353e-14   -4.583113e-14   -2.573835e-16   -4.117340e-15
   -1.350000e+00    9.899958e-01    3.284740e-01    1.331542e-05   -2.648911e-06    6.101167e-08    4.730888e-14   -4.566327e-14   -2.401169e-16   -4.103470e-15
   -1.340000e+00    9.899958e-01    3.204610e-01    1.299719e-05   -2.517345e-06    5.575854e-08    4.716885e-14   -4.548760e-14   -2.240593e-16   -4.089225e-15
   -1.330000e+00    9.899958e-01    3.124578e-01    1.267603e-05   -2.388977e-06    5.096269e-08    4.702302e-14   -4.530367e-14   -2.091208e-16   -4.074555e-15
   -1.320000e+00    9.899958e-01    3.044654e-01    1.235192e-05   -2.263834e-06    4.657861e-08    4.687089e-14   -4.511097e-14   -1.952181e-16   -4.059403e-15
   -1.310000e+00    9.899958e-01    2.964847e-01    1.202484e-05   -2.141948e-06    4.256616e-08    4.671199e-14   -4.490898e-14   -1.822745e-16   -4.043714e-15
   -1.300000e+00    9.899958e-01    2.885170e-01    1.169475e-05   -2.023348e-06    3.888979e-08    4.654582e-14   -4.469715e-14   -1.702195e-16   -4.027430e-15
   -1.290000e+00    9.899958e-01    2.805637e-01    1.136161e-05   -1.908063e-06    3.551806e-08    4.637185e-14   -4.447489e-14   -1.589879e-16   -4.010491e-15
   -1.280000e+00    9.899958e-01    2.726266e-01    1.102539e-05   -1.796126e-06    3.242302e-08    4.618954e-14   -4.424160e-14   -1.485197e-16   -3.992833e-15
   -1.270000e+00    9.899958e-01    2.647075e-01    1.068605e-05   -1.687566e-06    2.957985e-08    4.599833e-14   -4.399662e-14   -1.387595e-16   -3.974394e-15
   -1.260000e+00    9.899958e-01    2.568087e-01    1.034354e-05   -1.582415e-06    2.696642e-08    4.579766e-14   -4.373931e-14   -1.296562e-16   -3.955105e-15
   -1.250000e+00    9.899958e-01    2.489328e-01    9.997835e-06   -1.480706e-06    2.456299e-08    4.558694e-14   -4.346895e-14   -1.211627e-16   -3.934897e-15
   -1.240000e+00    9.899958e-01    2.410828e-01    9.648926e-06   -1.382469e-06    2.235190e-08    4.536556e-14   -4.318484e-14   -1.132355e-16   -3.913700e-15
   -1.230000e+00    9.899958e-01    2.332621e-01    9.296812e-06   -1.287738e-06    2.031732e-08    4.513290e-14   -4.288624e-14   -1.058345e-16   -3.891439e-15
   -1.220000e+00    9.899958e-01    2.254748e-01    8.941526e-06   -1.196544e-06    1.844507e-08    4.488833e-14   -4.257238e-14   -9.892276e-17   -3.868039e-15
   -1.210000e+00    9.899958e-01    2.177253e-01    8.583134e-06   -1.108918e-06    1.672236e-08    4.463122e-14   -4.224250e-14   -9.246591e-17   -3.843422e-15
   -1.200000e+00    9.899958e-01    2.100189e-01    8.221753e-06   -1.024891e-06    1.513768e-08    4.436093e-14   -4.189580e-14   -8.643238e-17   -3.817509e-15
   -1.190000e+00    9.899958e-01    2.023616e-01    7.857559e-06   -9.444920e-07    1.368063e-08    4.407682e-14   -4.153149e-14   -8.079294e-17   -3.790219e-15
   -1.180000e+00    9.899958e-01    1.947602e-01    7.490805e-06   -8.677482e-07    1.234178e-08    4.377824e-14   -4.114878e-14   -7.552055e-17   -3.761470e-15
   -1.170000e+00    9.899958e-01    1.872222e-01    7.121835e-06   -7.946833e-07    1.111259e-08    4.346457e-14   -4.074688e-14   -7.059020e-17   -3.731181e-15
   -1.160000e+00    9.899958e-01    1.797564e-01    6.751103e-06   -7.253174e-07    9.985252e-09    4.313519e-14   -4.032501e-14   -6.597873e-17   -3.699268e-15
   -1.150000e+00    9.899958e-01    1.723724e-01    6.379193e-06   -6.596652e-07    8.952645e-09    4.278952e-14   -3.988243e-14   -6.166471e-17   -3.665651e-15
   -1.140000e+00    9.899958e-01    1.650810e-01    6.006835e-06   -5.977351e-07    8.008233e-09    4.242698e-14   -3.941840e-14   -5.762826e-17   -3.630249e-15
   -1.130000e+00    9.899958e-01    1.578942e-01    5.634925e-06   -5.395271e-07    7.145993e-09    4.204707e-14   -3.893225e-14   -5.385096e-17   -3.592984e-15
   -1.120000e+00    9.899958e-01    1.508251e-01    5.264538e-06   -4.850315e-07    6.360347e-09    4.164930e-14   -3.842335e-14   -5.031573e-17   -3.553782e-15
   -1.110000e+00    9.899958e-01    1.438877e-01    4.896936e-06   -4.342270e-07    5.646105e-09    4.123326e-14   -3.789115e-14   -4.700670e-17   -3.512571e-15
   -1.100000e+00    9.899958e-01    1.370975e-01    4.533570e-06   -3.870787e-07    4.998407e-09    4.079861e-14   -3.733517e-14   -4.390916e-17   -3.469288e-15
   -1.090000e+00    9.899958e-01    1.304705e-01    4.176074e-06   -3.435361e-07    4.412677e-09    4.034508e-14   -3.675503e-14   -4.100941e-17   -3.423873e-15
   -1.080000e+00    9.899958e-01    1.240238e-01    3.826236e-06   -3.035317e-07    3.884580e-09    3.987249e-14   -3.615045e-14   -3.829473e-17   -3.376277e-15
   -1.070000e+00    9.899958e-01    1.177746e-01    3.485968e-06   -2.669795e-07    3.409990e-09    3.938080e-14   -3.552129e-14   -3.575329e-17   -3.326458e-15
   -1.060000e+00    9.899958e-01    1.117406e-01    3.157247e-06   -2.337738e-07    2.984956e-09    3.887003e-14   -3.486754e-14   -3.337406e-17   -3.274386e-15
   -1.050000e+00    9.899958e-01    1.059388e-01    2.842052e-06   -2.037894e-07    2.605682e-09    3.834037e-14   -3.418935e-14   -3.114678e-17   -3.220043e-15
   -1.040000e+00    9.899958e-01    1.003858e-01    2.542278e-06   -1.768814e-07    2.268514e-09    3.779214e-14   -3.348702e-14   -2.906186e-17   -3.163425e-15
   -1.030000e+00    9.899958e-01    9.509665e-02    2.259656e-06   -1.528867e-07    1.969929e-09    3.722579e-14   -3.276106e-14   -2.711039e-17   -3.104543e-15
   -1.020000e+00    9.899958e-01    9.008459e-02    1.995659e-06   -1.316261e-07    1.706537e-09    3.664195e-14   -3.201215e-14   -2.528403e-17   -3.043422e-15
   -1.010000e+00    9.899958e-01    8.536058e-02    1.751427e-06   -1.129076e-07    1.475080e-09    3.604139e-14   -3.124117e-14   -2.357499e-17   -2.980107e-15
   -1.000000e+00    9.899958e-01    8.093275e-02    1.527708e-06   -9.652917e-08    1.272449e-09    3.542507e-14   -3.044922e-14   -2.197598e-17   -2.914660e-15
   -9.900000e-01    9.899958e-01    7.680609e-02    1.324817e-06   -8.228392e-08    1.095689e-09    3.479409e-14   -2.963761e-14   -2.048020e-17   -2.847163e-15
   -9.800000e-01    9.899958e-01    7.298218e-02    1.142633e-06   -6.996376e-08    9.420138e-10    3.414975e-14   -2.880782e-14   -1.908126e-17   -2.777715e-15
   -9.700000e-01    9.899958e-01    6.945915e-02    9.806157e-07   -5.936400e-08    8.088211e-10    3.349347e-14   -2.796159e-14   -1.777320e-17   -2.706436e-15
   -9.600000e-01    9.899958e-01    6.623175e-02    8.378605e-07   -5.028721e-08    6.937003e-10    3.282687e-14   -2.710082e-14   -1.655040e-17   -2.633465e-15
   -9.500000e-01    9.899958e-01    6.329158e-02    7.131632e-07   -4.254657e-08    5.944408e-10    3.215168e-14   -2.622760e-14   -1.540761e-17   -2.558959e-15
   -9.400000e-01    9.899958e-01    6.062745e-02    6.051025e-07   -3.596847e-08    5.090340e-10    3.146978e-14   -2.534418e-14   -1.433989e-17   -2.483093e-15
   -9.300000e-01    9.899958e-01    5.822583e-02    5.121236e-07   -3.039424e-08    4.356724e-10    3.078313e-14   -2.445298e-14   -1.334262e-17   -2.406058e-15
   -9.200000e-01    9.899958e-01    5.607137e-02    4.326172e-07   -2.568109e-08    3.727432e-10    3.009383e-14   -2.355649e-14   -1.241142e-17   -2.328057e-15
   -9.100000e-01    9.899958e-01    5.414746e-02    3.649880e-07   -2.170231e-08    3.188194e-10    2.940399e-14   -2.265735e-14   -1.154221e-17   -2.249309e-15
   -9.000000e-01    9.899958e-01    5.243669e-02    3.077083e-07   -1.834685e-08    2.726475e-10    2.871581e-14   -2.175821e-14   -1.073113e-17   -2.170039e-15
   -8.900000e-01    9.899958e-01    5.092139e-02    2.593566e-07   -1.551840e-08    2.331333e-10    2.803147e-14   -2.086177e-14   -9.974543e-18   -2.090483e-15
   -8.800000e-01    9.899958e-01    4.958402e-02    2.186415e-07   -1.313427e-08    1.993269e-10    2.735317e-14   -1.997073e-14   -9.269040e-18   -2.010876e-15
   -8.700000e-01    9.899958e-01    4.840751e-02    1.844127e-07   -1.112397e-08    1.704079e-10    2.668304e-14   -1.908773e-14   -8.611403e-18   -1.931459e-15
   -8.600000e-01    9.899958e-01    4.737556e-02    1.556627e-07   -9.427774e-09    1.456697e-10    2.602315e-14   -1.821536e-14   -7.998601e-18   -1.852469e-15
   -8.500000e-01    9.899958e-01    4.647277e-02    1.315210e-07   -7.995367e-09    1.245059e-10    2.537550e-14   -1.735607e-14   -7.427782e-18   -1.774137e-15
   -8.400000e-01    9.899958e-01    4.568484e-02    1.112436e-07   -6.784485e-09    1.063973e-10    2.474194e-14   -1.651220e-14   -6.896256e-18   -1.696689e-15
   -8.300000e-01    9.899958e-01    4.499861e-02    9.420025e-08   -5.759726e-09    9.089957e-11    2.412422e-14   -1.568593e-14   -6.401494e-18   -1.620338e-15
   -8.200000e-01    9.899958e-01    4.440206e-02    7.986053e-08   -4.891478e-09    7.763354e-11    2.352391e-14   -1.487923e-14   -5.941111e-18   -1.545288e-15
   -8.100000e-01    9.899958e-01    4.388434e-02    6.778043e-08   -4.154991e-09    6.627537e-11    2.294243e-14   -1.409391e-14   -5.512864e-18   -1.471724e-15
   -8.000000e-01    9.899958e-01    4.343570e-02    5.758944e-08   -3.529579e-09    5.654876e-11    2.238101e-14   -1.333153e-14   -5.114641e-18   -1.399819e-15
   -7.900000e-01    9.899958e-01    4.304744e-02    4.897910e-08   -2.997939e-09    4.821797e-11    2.184072e-14   -1.259344e-14   -4.744458e-18   -1.329724e-15
   -7.800000e-01    9.899958e-01    4.271185e-02    4.169286e-08   -2.545588e-09    4.108181e-11    2.132242e-14   -1.188075e-14   -4.400446e-18   -1.261574e-15
   -7.700000e-01    9.899958e-01    4.242210e-02    3.551739e-08   -2.160383e-09    3.496860e-11    2.082680e-14   -1.119437e-14   -4.080851e-18   -1.195485e-15
   -7.600000e-01    9.899958e-01    4.217219e-02    3.027517e-08   -1.832133e-09    2.973173e-11    2.035437e-14   -1.053496e-14   -3.784025e-18   -1.131552e-15
   -7.500000e-01    9.899958e-01    4.195686e-02    2.581838e-08   -1.552265e-09    2.524603e-11    1.990547e-14   -9.902967e-15   -3.508422e-18   -1.069853e-15
   -7.400000e-01    9.899958e-01    4.177151e-02    2.202372e-08   -1.313560e-09    2.140454e-11    1.948026e-14   -9.298652e-15   -3.252590e-18   -1.010447e-15
   -7.300000e-01    9.899958e-01    4.161214e-02    1.878817e-08   -1.109928e-09    1.811584e-11    1.907877e-14   -8.722068e-15   -3.015169e-18   -9.533722e-16
   -7.200000e-01    9.899958e-01    4.147524e-02    1.602553e-08   -9.362219e-10    1.530176e-11    1.870088e-14   -8.173099e-15   -2.794886e-18   -8.986538e-16
   -7.100000e-01    9.899958e-01    4.135781e-02    1.366354e-08   -7.880836e-10    1.289546e-11    1.834634e-14   -7.651466e-15   -2.590547e-18   -8.462992e-16
   -7.000000e-01    9.899958e-01    4.125719e-02    1.164154e-08   -6.618189e-10    1.083970e-11    1.801481e-14   -7.156751e-15   -2.401036e-18   -7.963020e-16
   -6.900000e-01    9.899958e-01    4.117113e-02    9.908582e-09   -5.542901e-10    9.085480e-12    1.770582e-14   -6.688413e-15   -2.225311e-18   -7.486425e-16
   -6.800000e-01    9.899958e-01    4.109765e-02    8.421790e-09   -4.628274e-10    7.590787e-12    1.741886e-14   -6.245803e-15   -2.062397e-18   -7.032895e-16
   -6.700000e-01    9.899958e-01    4.103505e-02    7.145106e-09   -3.851546e-10    6.319571e-12    1.715331e-14   -5.828183e-15   -1.911384e-18   -6.602016e-16
   -6.600000e-01    9.899958e-01    4.098184e-02    6.048188e-09   -3.193266e-10    5.240847e-12    1.690853e-14   -5.434744e-15   -1.771421e-18   -6.193287e-16
   -6.500000e-01    9.899958e-01    4.093676e-02    5.105503e-09   -2.636772e-10    4.327935e-12    1.668382e-14   -5.064617e-15   -1.641719e-18   -5.806130e-16
   -6.400000e-01    9.899958e-01    4.089868e-02    4.295560e-09   -2.167745e-10    3.557806e-12    1.647846e-14   -4.716893e-15   -1.521538e-18   -5.439910e-16
   -6.300000e-01    9.899958e-01    4.086665e-02    3.600250e-09   -1.773842e-10    2.910527e-12    1.629170e-14   -4.390631e-15   -1.410191e-18   -5.093938e-16
   -6.200000e-01    9.899958e-01    4.083983e-02    3.004277e-09   -1.444386e-10    2.368798e-12    1.612277e-14   -4.084872e-15   -1.307038e-18   -4.767492e-16
   -6.100000e-01    9.899958e-01    4.081747e-02    2.494661e-09   -1.170110e-10    1.917555e-12    1.597093e-14   -3.798645e-15   -1.211483e-18   -4.459817e-16
   -6.000000e-01    9.899958e-01    4.079893e-02    2.060316e-09   -9.429467e-11    1.543653e-12    1.583541e-14   -3.530986e-15   -1.122972e-18   -4.170146e-16
   -5.900000e-01    9.899958e-01    4.078365e-02    1.691677e-09   -7.558582e-11    1.235596e-12    1.571547e-14   -3.280939e-15   -1.040991e-18   -3.897695e-16
   -5.800000e-01    9.899958e-01    4.077113e-02    1.380403e-09   -6.027003e-11    9.833303e-13    1.561039e-14   -3.047561e-15   -9.650602e-19   -3.641681e-16
   -5.700000e-01    9.899958e-01    4.076095e-02    1.119132e-09   -4.781117e-11    7.780693e-13    1.551945e-14   -2.829930e-15   -8.947353e-19   -3.401323e-16
   -5.600000e-01    9.899958e-01    4.075271e-02    9.013007e-10   -3.774266e-11    6.121552e-13    1.544198e-14   -2.627147e-15   -8.296033e-19   -3.175849e-16
   -5.500000e-01    9.899958e-01    4.074609e-02    7.210094e-10   -2.966009e-11    4.789445e-13    1.537731e-14   -2.438344e-15   -7.692809e-19   -2.964498e-16
   -5.400000e-01    9.899958e-01    4.074082e-02    5.729408e-10   -2.321512e-11    3.727092e-13    1.532482e-14   -2.262680e-15   -7.134122e-19   -2.766527e-16
   -5.300000e-01    9.899958e-01    4.073664e-02    4.523056e-10   -1.810988e-11    2.885485e-13    1.528390e-14   -2.099351e-15   -6.616674e-19   -2.581213e-16
   -5.200000e-01    9.899958e-01    4.073335e-02    3.548133e-10   -1.409191e-11    2.223061e-13    1.525398e-14   -1.947583e-15   -6.137403e-19   -2.407854e-16
   -5.100000e-01    9.899958e-01    4.073077e-02    2.766535e-10   -1.094923e-11    1.704906e-13    1.523454e-14   -1.806639e-15   -5.693471e-19   -2.245771e-16
   -5.000000e-01    9.899958e-01    4.072877e-02    2.144802e-10   -8.505606e-12    1.301990e-13    1.522506e-14   -1.675818e-15   -5.282248e-19   -2.094312e-16
   -4.900000e-01    9.899958e-01    4.072722e-02    1.653927e-10   -6.616051e-12    9.904181e-14    1.522506e-14   -1.554452e-15   -4.901296e-19   -1.952851e-16
   -4.800000e-01    9.899958e-01    4.072603e-02    1.269104e-10   -5.162445e-12    7.507236e-14    1.523412e-14   -1.441909e-15   -4.548357e-19   -1.820786e-16
   -4.700000e-01    9.899958e-01    4.072512e-02    9.694105e-11   -4.049506e-12    5.671995e-14    1.525181e-14   -1.337591e-15   -4.221339e-19   -1.697544e-16
   -4.600000e-01    9.899958e-01    4.072443e-02    7.374386e-11   -3.201085e-12    4.272920e-14    1.527777e-14   -1.240934e-15   -3.918305e-19   -1.582580e-16
   -4.500000e-01    9.899958e-01    4.072390e-02    5.588882e-11   -2.556851e-12    3.210544e-14    1.531163e-14   -1.151406e-15   -3.637463e-19   -1.475374e-16
   -4.400000e-01    9.899958e-01    4.072350e-02    4.221537e-11   -2.069395e-12    2.406692e-14    1.535309e-14   -1.068505e-15   -3.377152e-19   -1.375431e-16
   -4.300000e-01    9.899958e-01    4.072320e-02    3.179209e-11   -1.701731e-12    1.800383e-14    1.540185e-14   -9.917605e-16   -3.135838e-19   -1.282284e-16
