# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: fs
# Temperature: 85C
# W = 2.0 um
# L = 0.18 um (180 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    9.082470e-01    9.647267e-01    1.370217e+02    1.779414e+10    1.113106e-09    5.728615e-11    8.479380e-10    8.327375e-11   -1.800000e+00    6.153325e-01    7.116740e-01
    9.247068e-01    9.891621e-01    1.357772e+02    1.798429e+10    1.111111e-09    5.347725e-11    8.492955e-10    8.291595e-11   -1.790000e+00    6.153325e-01    7.073069e-01
    9.415474e-01    1.014381e+00    1.345106e+02    1.817324e+10    1.109141e-09    4.974534e-11    8.506015e-10    8.256285e-11   -1.780000e+00    6.153325e-01    7.029442e-01
    9.586629e-01    1.040417e+00    1.332387e+02    1.836081e+10    1.107196e-09    4.609390e-11    8.518540e-10    8.221475e-11   -1.770000e+00    6.153325e-01    6.985854e-01
    9.760985e-01    1.067305e+00    1.319561e+02    1.854689e+10    1.105279e-09    4.252622e-11    8.530510e-10    8.187185e-11   -1.760000e+00    6.153325e-01    6.942300e-01
    9.938628e-01    1.095082e+00    1.306627e+02    1.873134e+10    1.103391e-09    3.904522e-11    8.541925e-10    8.153435e-11   -1.750000e+00    6.153325e-01    6.898775e-01
    1.011963e+00    1.123787e+00    1.293589e+02    1.891399e+10    1.101533e-09    3.565353e-11    8.552770e-10    8.120255e-11   -1.740000e+00    6.153325e-01    6.855276e-01
    1.030407e+00    1.153459e+00    1.280446e+02    1.909470e+10    1.099708e-09    3.235341e-11    8.563035e-10    8.087660e-11   -1.730000e+00    6.153325e-01    6.811797e-01
    1.049203e+00    1.184140e+00    1.267202e+02    1.927332e+10    1.097915e-09    2.914675e-11    8.572710e-10    8.055670e-11   -1.720000e+00    6.153325e-01    6.768333e-01
    1.068360e+00    1.215873e+00    1.253856e+02    1.944970e+10    1.096156e-09    2.603513e-11    8.581795e-10    8.024300e-11   -1.710000e+00    6.153325e-01    6.724880e-01
    1.087886e+00    1.248702e+00    1.240410e+02    1.962368e+10    1.094432e-09    2.301974e-11    8.590285e-10    7.993570e-11   -1.700000e+00    6.153325e-01    6.681432e-01
    1.107790e+00    1.282674e+00    1.226868e+02    1.979510e+10    1.092742e-09    2.010141e-11    8.598180e-10    7.963490e-11   -1.690000e+00    6.153325e-01    6.637985e-01
    1.128081e+00    1.317835e+00    1.213229e+02    1.996380e+10    1.091088e-09    1.728065e-11    8.605480e-10    7.934065e-11   -1.680000e+00    6.153325e-01    6.594533e-01
    1.148767e+00    1.354234e+00    1.199496e+02    2.012962e+10    1.089470e-09    1.455759e-11    8.612185e-10    7.905320e-11   -1.670000e+00    6.153325e-01    6.551070e-01
    1.169857e+00    1.391921e+00    1.185671e+02    2.029238e+10    1.087888e-09    1.193207e-11    8.618300e-10    7.877245e-11   -1.660000e+00    6.153325e-01    6.507592e-01
    1.191360e+00    1.430946e+00    1.171756e+02    2.045191e+10    1.086341e-09    9.403585e-12    8.623825e-10    7.849860e-11   -1.650000e+00    6.153325e-01    6.464093e-01
    1.213286e+00    1.471362e+00    1.157752e+02    2.060807e+10    1.084830e-09    6.971370e-12    8.628770e-10    7.823155e-11   -1.640000e+00    6.153325e-01    6.420567e-01
    1.235644e+00    1.513220e+00    1.143663e+02    2.076065e+10    1.083354e-09    4.634365e-12    8.633140e-10    7.797145e-11   -1.630000e+00    6.153325e-01    6.377009e-01
    1.258442e+00    1.556572e+00    1.129490e+02    2.090949e+10    1.081913e-09    2.391263e-12    8.636945e-10    7.771815e-11   -1.620000e+00    6.153325e-01    6.333413e-01
    1.281692e+00    1.601473e+00    1.115236e+02    2.105442e+10    1.080506e-09    2.405296e-13    8.640190e-10    7.747170e-11   -1.610000e+00    6.153325e-01    6.289774e-01
    1.305401e+00    1.647973e+00    1.100903e+02    2.119526e+10    1.079131e-09    1.819578e-12    8.642885e-10    7.723205e-11   -1.600000e+00    6.153325e-01    6.246084e-01
    1.329579e+00    1.696128e+00    1.086494e+02    2.133182e+10    1.077789e-09    3.790984e-12    8.645045e-10    7.699910e-11   -1.590000e+00    6.153325e-01    6.202339e-01
    1.354238e+00    1.745987e+00    1.072012e+02    2.146394e+10    1.076478e-09    5.675770e-12    8.646675e-10    7.677285e-11   -1.580000e+00    6.153325e-01    6.158533e-01
    1.379386e+00    1.797602e+00    1.057460e+02    2.159143e+10    1.075198e-09    7.476160e-12    8.647790e-10    7.655310e-11   -1.570000e+00    6.153325e-01    6.114658e-01
    1.405032e+00    1.851024e+00    1.042840e+02    2.171410e+10    1.073946e-09    9.194475e-12    8.648395e-10    7.633985e-11   -1.560000e+00    6.153325e-01    6.070709e-01
    1.431189e+00    1.906300e+00    1.028157e+02    2.183180e+10    1.072721e-09    1.083314e-11    8.648500e-10    7.613285e-11   -1.550000e+00    6.153325e-01    6.026680e-01
    1.457866e+00    1.963476e+00    1.013411e+02    2.194432e+10    1.071523e-09    1.239467e-11    8.648125e-10    7.593210e-11   -1.540000e+00    6.153325e-01    5.982564e-01
    1.485075e+00    2.022600e+00    9.986090e+01    2.205151e+10    1.070350e-09    1.388158e-11    8.647270e-10    7.573735e-11   -1.530000e+00    6.153325e-01    5.938355e-01
    1.512827e+00    2.083711e+00    9.837525e+01    2.215319e+10    1.069200e-09    1.529646e-11    8.645950e-10    7.554855e-11   -1.520000e+00    6.153325e-01    5.894045e-01
    1.541133e+00    2.146852e+00    9.688455e+01    2.224918e+10    1.068072e-09    1.664190e-11    8.644175e-10    7.536540e-11   -1.510000e+00    6.153325e-01    5.849629e-01
    1.570005e+00    2.212055e+00    9.538915e+01    2.233932e+10    1.066965e-09    1.792050e-11    8.641955e-10    7.518785e-11   -1.500000e+00    6.153325e-01    5.805100e-01
    1.599458e+00    2.279360e+00    9.388945e+01    2.242347e+10    1.065876e-09    1.913484e-11    8.639295e-10    7.501570e-11   -1.490000e+00    6.153325e-01    5.760450e-01
