# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: -40 C
# W = 2.0 um
# L = 1 um (1000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.124551e+00    5.709150e-01    8.609822e-05   -3.160790e-05    7.073963e-06    1.166396e-14   -1.114122e-14   -3.114178e-16   -1.080093e-15
   -1.790000e+00    1.124551e+00    5.628415e-01    8.540249e-05   -3.074692e-05    6.462963e-06    1.164523e-14   -1.113425e-14   -2.913090e-16   -1.076431e-15
   -1.780000e+00    1.124551e+00    5.547715e-01    8.465688e-05   -2.990002e-05    5.903859e-06    1.162714e-14   -1.112673e-14   -2.724619e-16   -1.072915e-15
   -1.770000e+00    1.124551e+00    5.467047e-01    8.386344e-05   -2.905738e-05    5.393993e-06    1.160964e-14   -1.111870e-14   -2.548093e-16   -1.069539e-15
   -1.760000e+00    1.124551e+00    5.386412e-01    8.302456e-05   -2.822290e-05    4.930346e-06    1.159269e-14   -1.111016e-14   -2.382853e-16   -1.066297e-15
   -1.750000e+00    1.124551e+00    5.305809e-01    8.214285e-05   -2.739703e-05    4.509668e-06    1.157626e-14   -1.110114e-14   -2.228258e-16   -1.063181e-15
   -1.740000e+00    1.124551e+00    5.225237e-01    8.122109e-05   -2.658018e-05    4.128590e-06    1.156029e-14   -1.109165e-14   -2.083685e-16   -1.060185e-15
   -1.730000e+00    1.124551e+00    5.144696e-01    8.026212e-05   -2.577273e-05    3.783735e-06    1.154475e-14   -1.108169e-14   -1.948533e-16   -1.057301e-15
   -1.720000e+00    1.124551e+00    5.064187e-01    7.926873e-05   -2.497505e-05    3.471797e-06    1.152960e-14   -1.107129e-14   -1.822228e-16   -1.054523e-15
   -1.710000e+00    1.124551e+00    4.983707e-01    7.824365e-05   -2.418746e-05    3.189614e-06    1.151479e-14   -1.106044e-14   -1.704218e-16   -1.051844e-15
   -1.700000e+00    1.124551e+00    4.903258e-01    7.718950e-05   -2.341028e-05    2.934210e-06    1.150028e-14   -1.104916e-14   -1.593979e-16   -1.049258e-15
   -1.690000e+00    1.124551e+00    4.822838e-01    7.610872e-05   -2.264376e-05    2.702825e-06    1.148604e-14   -1.103745e-14   -1.491012e-16   -1.046757e-15
   -1.680000e+00    1.124551e+00    4.742448e-01    7.500361e-05   -2.188818e-05    2.492934e-06    1.147203e-14   -1.102530e-14   -1.394845e-16   -1.044336e-15
   -1.670000e+00    1.124551e+00    4.662086e-01    7.387628e-05   -2.114376e-05    2.302244e-06    1.145819e-14   -1.101272e-14   -1.305031e-16   -1.041988e-15
   -1.660000e+00    1.124551e+00    4.581753e-01    7.272864e-05   -2.041072e-05    2.128695e-06    1.144451e-14   -1.099970e-14   -1.221150e-16   -1.039706e-15
   -1.650000e+00    1.124551e+00    4.501449e-01    7.156246e-05   -1.968925e-05    1.970442e-06    1.143093e-14   -1.098624e-14   -1.142807e-16   -1.037485e-15
   -1.640000e+00    1.124551e+00    4.421172e-01    7.037933e-05   -1.897953e-05    1.825846e-06    1.141742e-14   -1.097232e-14   -1.069629e-16   -1.035319e-15
   -1.630000e+00    1.124551e+00    4.340924e-01    6.918069e-05   -1.828172e-05    1.693454e-06    1.140394e-14   -1.095794e-14   -1.001268e-16   -1.033201e-15
   -1.620000e+00    1.124551e+00    4.260703e-01    6.796785e-05   -1.759596e-05    1.571983e-06    1.139045e-14   -1.094307e-14   -9.373985e-17   -1.031125e-15
   -1.610000e+00    1.124551e+00    4.180509e-01    6.674198e-05   -1.692241e-05    1.460299e-06    1.137690e-14   -1.092771e-14   -8.777145e-17   -1.029085e-15
   -1.600000e+00    1.124551e+00    4.100343e-01    6.550413e-05   -1.626117e-05    1.357404e-06    1.136326e-14   -1.091183e-14   -8.219314e-17   -1.027076e-15
   -1.590000e+00    1.124551e+00    4.020205e-01    6.425527e-05   -1.561236e-05    1.262420e-06    1.134949e-14   -1.089540e-14   -7.697830e-17   -1.025091e-15
   -1.580000e+00    1.124551e+00    3.940094e-01    6.299625e-05   -1.497609e-05    1.174572e-06    1.133553e-14   -1.087840e-14   -7.210214e-17   -1.023125e-15
   -1.570000e+00    1.124551e+00    3.860010e-01    6.172787e-05   -1.435247e-05    1.093178e-06    1.132135e-14   -1.086079e-14   -6.754156e-17   -1.021170e-15
   -1.560000e+00    1.124551e+00    3.779954e-01    6.045081e-05   -1.374157e-05    1.017634e-06    1.130689e-14   -1.084254e-14   -6.327502e-17   -1.019221e-15
   -1.550000e+00    1.124551e+00    3.699925e-01    5.916573e-05   -1.314348e-05    9.474095e-07    1.129211e-14   -1.082360e-14   -5.928251e-17   -1.017270e-15
