# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: -40 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.150436e+00    5.447477e-01    2.680277e-05   -9.365890e-06    1.276899e-06    3.889717e-14   -3.679067e-14   -1.425722e-15   -3.647980e-15
   -1.790000e+00    1.150436e+00    5.367201e-01    2.653073e-05   -9.097863e-06    1.142104e-06    3.880795e-14   -3.676594e-14   -1.327052e-15   -3.631622e-15
   -1.780000e+00    1.150436e+00    5.286968e-01    2.624535e-05   -8.835320e-06    1.021378e-06    3.872231e-14   -3.673892e-14   -1.234738e-15   -3.615968e-15
   -1.770000e+00    1.150436e+00    5.206779e-01    2.594756e-05   -8.574346e-06    9.135532e-07    3.864005e-14   -3.670969e-14   -1.148483e-15   -3.600992e-15
   -1.760000e+00    1.150436e+00    5.126632e-01    2.563832e-05   -8.316407e-06    8.174643e-07    3.856098e-14   -3.667833e-14   -1.067983e-15   -3.586667e-15
   -1.750000e+00    1.150436e+00    5.046528e-01    2.531858e-05   -8.061614e-06    7.319763e-07    3.848488e-14   -3.664492e-14   -9.929317e-16   -3.572962e-15
   -1.740000e+00    1.150436e+00    4.966466e-01    2.498924e-05   -7.810067e-06    6.560062e-07    3.841156e-14   -3.660953e-14   -9.230251e-16   -3.559847e-15
   -1.730000e+00    1.150436e+00    4.886446e-01    2.465118e-05   -7.561858e-06    5.885379e-07    3.834080e-14   -3.657220e-14   -8.579626e-16   -3.547292e-15
   -1.720000e+00    1.150436e+00    4.806468e-01    2.430520e-05   -7.317070e-06    5.286325e-07    3.827238e-14   -3.653299e-14   -7.974509e-16   -3.535264e-15
   -1.710000e+00    1.150436e+00    4.726531e-01    2.395205e-05   -7.075778e-06    4.754322e-07    3.820610e-14   -3.649193e-14   -7.412049e-16   -3.523731e-15
   -1.700000e+00    1.150436e+00    4.646636e-01    2.359242e-05   -6.838051e-06    4.281613e-07    3.814172e-14   -3.644906e-14   -6.889500e-16   -3.512661e-15
