# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.836893e+00    1.830452e+01    6.562115e+00    2.116735e+08    1.399718e-08    4.889337e-10    1.315188e-08    1.330177e-09   -1.800000e+00    1.150490e+00    5.450243e-01
    2.891517e+00    2.012661e+01    6.375955e+00    2.100851e+08    1.396677e-08    4.553111e-10    1.314287e-08    1.324490e-09   -1.790000e+00    1.150490e+00    5.370733e-01
    2.946175e+00    2.212031e+01    6.193420e+00    2.083637e+08    1.393757e-08    4.238590e-10    1.313306e-08    1.319046e-09   -1.780000e+00    1.150490e+00    5.291244e-01
    3.002154e+00    2.429448e+01    6.011935e+00    2.065168e+08    1.390952e-08    3.944723e-10    1.312248e-08    1.313834e-09   -1.770000e+00    1.150490e+00    5.211776e-01
    3.059143e+00    2.665757e+01    5.832475e+00    2.045522e+08    1.388253e-08    3.670443e-10    1.311117e-08    1.308847e-09   -1.760000e+00    1.150490e+00    5.132328e-01
    3.117243e+00    2.921755e+01    5.655115e+00    2.024776e+08    1.385655e-08    3.414691e-10    1.309914e-08    1.304073e-09   -1.750000e+00    1.150490e+00    5.052900e-01
    3.176562e+00    3.198211e+01    5.479930e+00    2.003011e+08    1.383150e-08    3.176410e-10    1.308642e-08    1.299502e-09   -1.740000e+00    1.150490e+00    4.973491e-01
    3.237214e+00    3.495859e+01    5.306990e+00    1.980300e+08    1.380730e-08    2.954571e-10    1.307303e-08    1.295122e-09   -1.730000e+00    1.150490e+00    4.894102e-01
    3.299325e+00    3.815407e+01    5.136350e+00    1.956718e+08    1.378389e-08    2.748167e-10    1.305899e-08    1.290924e-09   -1.720000e+00    1.150490e+00    4.814732e-01
    3.363019e+00    4.157547e+01    4.968077e+00    1.932333e+08    1.376118e-08    2.556224e-10    1.304431e-08    1.286894e-09   -1.710000e+00    1.150490e+00    4.735380e-01
