# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 5 um (5000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.895774e+00    2.460701e+01    3.278108e+00    5.472408e+07    2.760766e-08    1.080560e-09    2.621455e-08    2.571806e-09   -1.800000e+00    1.150009e+00    5.441458e-01
    2.949767e+00    2.746307e+01    3.183182e+00    5.426337e+07    2.753991e-08    1.005266e-09    2.619754e-08    2.559495e-09   -1.790000e+00    1.150009e+00    5.361028e-01
    3.003605e+00    3.064370e+01    3.090330e+00    5.376895e+07    2.747490e-08    9.347945e-10    2.617884e-08    2.547719e-09   -1.780000e+00    1.150009e+00    5.280648e-01
    3.058798e+00    3.417376e+01    2.998064e+00    5.324304e+07    2.741251e-08    8.689320e-10    2.615850e-08    2.536460e-09   -1.770000e+00    1.150009e+00    5.200316e-01
    3.114977e+00    3.807815e+01    2.906933e+00    5.268798e+07    2.735259e-08    8.074575e-10    2.613660e-08    2.525699e-09   -1.760000e+00    1.150009e+00    5.120035e-01
    3.172247e+00    4.238146e+01    2.816975e+00    5.210595e+07    2.729498e-08    7.501450e-10    2.611318e-08    2.515413e-09   -1.750000e+00    1.150009e+00    5.039802e-01
    3.230730e+00    4.710815e+01    2.728221e+00    5.149923e+07    2.723953e-08    6.967695e-10    2.608831e-08    2.505581e-09   -1.740000e+00    1.150009e+00    4.959618e-01
    3.290545e+00    5.228216e+01    2.640701e+00    5.086985e+07    2.718609e-08    6.471060e-10    2.606201e-08    2.496179e-09   -1.730000e+00    1.150009e+00    4.879483e-01
    3.351819e+00    5.792713e+01    2.554443e+00    5.021983e+07    2.713449e-08    6.009335e-10    2.603433e-08    2.487184e-09   -1.720000e+00    1.150009e+00    4.799397e-01
    3.414689e+00    6.406628e+01    2.469468e+00    4.955104e+07    2.708457e-08    5.580360e-10    2.600529e-08    2.478570e-09   -1.710000e+00    1.150009e+00    4.719360e-01
    3.479291e+00    7.072243e+01    2.385800e+00    4.886520e+07    2.703617e-08    5.182050e-10    2.597492e-08    2.470316e-09   -1.700000e+00    1.150009e+00    4.639371e-01
    3.545766e+00    7.791813e+01    2.303456e+00    4.816386e+07    2.698913e-08    4.812386e-10    2.594323e-08    2.462394e-09   -1.690000e+00    1.150009e+00    4.559431e-01
    3.614265e+00    8.567577e+01    2.222454e+00    4.744852e+07    2.694328e-08    4.469449e-10    2.591023e-08    2.454783e-09   -1.680000e+00    1.150009e+00    4.479539e-01
    3.684939e+00    9.401744e+01    2.142810e+00    4.672041e+07    2.689846e-08    4.151402e-10    2.587592e-08    2.447457e-09   -1.670000e+00    1.150009e+00    4.399695e-01
    3.757952e+00    1.029656e+02    2.064537e+00    4.598079e+07    2.685453e-08    3.856506e-10    2.584028e-08    2.440393e-09   -1.660000e+00    1.150009e+00    4.319900e-01
