# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: 25 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.053317e+00    6.304064e-01    1.911601e-05   -8.191913e-06    2.458308e-06    4.503300e-14   -4.199379e-14   -3.001315e-15   -4.493129e-15
   -1.790000e+00    1.053317e+00    6.223350e-01    1.904613e-05   -8.000753e-06    2.244772e-06    4.488441e-14   -4.198608e-14   -2.813564e-15   -4.465025e-15
   -1.780000e+00    1.053317e+00    6.142686e-01    1.896608e-05   -7.811024e-06    2.042926e-06    4.474051e-14   -4.197467e-14   -2.634819e-15   -4.437832e-15
   -1.770000e+00    1.053317e+00    6.062072e-01    1.887543e-05   -7.621808e-06    1.853244e-06    4.460131e-14   -4.195961e-14   -2.465055e-15   -4.411559e-15
   -1.760000e+00    1.053317e+00    5.981507e-01    1.877385e-05   -7.433552e-06    1.676060e-06    4.446680e-14   -4.194097e-14   -2.304186e-15   -4.386211e-15
   -1.750000e+00    1.053317e+00    5.900991e-01    1.866114e-05   -7.246368e-06    1.511551e-06    4.433691e-14   -4.191882e-14   -2.152076e-15   -4.361787e-15
   -1.740000e+00    1.053317e+00    5.820524e-01    1.853723e-05   -7.060367e-06    1.359728e-06    4.421154e-14   -4.189325e-14   -2.008542e-15   -4.338280e-15
   -1.730000e+00    1.053317e+00    5.740106e-01    1.840217e-05   -6.875661e-06    1.220434e-06    4.409056e-14   -4.186433e-14   -1.873359e-15   -4.315674e-15
   -1.720000e+00    1.053317e+00    5.659736e-01    1.825619e-05   -6.692360e-06    1.093351e-06    4.397382e-14   -4.183214e-14   -1.746269e-15   -4.293952e-15
   -1.710000e+00    1.053317e+00    5.579415e-01    1.809959e-05   -6.510572e-06    9.780179e-07    4.386114e-14   -4.179677e-14   -1.626987e-15   -4.273092e-15
   -1.700000e+00    1.053317e+00    5.499142e-01    1.793280e-05   -6.330402e-06    8.738540e-07    4.375231e-14   -4.175830e-14   -1.515203e-15   -4.253065e-15
   -1.690000e+00    1.053317e+00    5.418917e-01    1.775635e-05   -6.151948e-06    7.801851e-07    4.364711e-14   -4.171680e-14   -1.410592e-15   -4.233841e-15
   -1.680000e+00    1.053317e+00    5.338740e-01    1.757080e-05   -5.975305e-06    6.962728e-07    4.354531e-14   -4.167233e-14   -1.312818e-15   -4.215388e-15
   -1.670000e+00    1.053317e+00    5.258610e-01    1.737677e-05   -5.800561e-06    6.213426e-07    4.344665e-14   -4.162496e-14   -1.221538e-15   -4.197668e-15
   -1.660000e+00    1.053317e+00    5.178528e-01    1.717488e-05   -5.627796e-06    5.546096e-07    4.335088e-14   -4.157472e-14   -1.136409e-15   -4.180644e-15
   -1.650000e+00    1.053317e+00    5.098493e-01    1.696578e-05   -5.457087e-06    4.952995e-07    4.325774e-14   -4.152167e-14   -1.057088e-15   -4.164277e-15
   -1.640000e+00    1.053317e+00    5.018506e-01    1.675006e-05   -5.288503e-06    4.426664e-07    4.316696e-14   -4.146582e-14   -9.832358e-16   -4.148527e-15
   -1.630000e+00    1.053317e+00    4.938566e-01    1.652833e-05   -5.122106e-06    3.960051e-07    4.307826e-14   -4.140719e-14   -9.145236e-16   -4.133352e-15
   -1.620000e+00    1.053317e+00    4.858673e-01    1.630112e-05   -4.957954e-06    3.546593e-07    4.299138e-14   -4.134578e-14   -8.506305e-16   -4.118711e-15
   -1.610000e+00    1.053317e+00    4.778828e-01    1.606895e-05   -4.796100e-06    3.180267e-07    4.290605e-14   -4.128158e-14   -7.912476e-16   -4.104562e-15
   -1.600000e+00    1.053317e+00    4.699030e-01    1.583228e-05   -4.636590e-06    2.855602e-07    4.282198e-14   -4.121457e-14   -7.360784e-16   -4.090864e-15
   -1.590000e+00    1.053317e+00    4.619279e-01    1.559155e-05   -4.479468e-06    2.567679e-07    4.273891e-14   -4.114470e-14   -6.848400e-16   -4.077573e-15
   -1.580000e+00    1.053317e+00    4.539577e-01    1.534712e-05   -4.324772e-06    2.312106e-07    4.265656e-14   -4.107193e-14   -6.372636e-16   -4.064650e-15
