# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: sf
# Temperature: 85 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    9.624026e-01    7.080358e-01    1.786376e-05   -9.366363e-06    4.717892e-06    4.034575e-14   -3.661147e-14   -4.180594e-15   -4.312171e-15
   -1.790000e+00    9.624026e-01    7.000223e-01    1.786402e-05   -9.187725e-06    4.450714e-06    4.018745e-14   -3.662492e-14   -3.962448e-15   -4.280909e-15
   -1.780000e+00    9.624026e-01    6.920128e-01    1.786038e-05   -9.009095e-06    4.187779e-06    4.003165e-14   -3.663514e-14   -3.750302e-15   -4.250185e-15
   -1.770000e+00    9.624026e-01    6.840074e-01    1.785240e-05   -8.830527e-06    3.929642e-06    3.987861e-14   -3.664205e-14   -3.544551e-15   -4.220047e-15
   -1.760000e+00    9.624026e-01    6.760059e-01    1.783958e-05   -8.652063e-06    3.676898e-06    3.972856e-14   -3.664558e-14   -3.345543e-15   -4.190540e-15
   -1.750000e+00    9.624026e-01    6.680084e-01    1.782141e-05   -8.473754e-06    3.430184e-06    3.958173e-14   -3.664567e-14   -3.153575e-15   -4.161706e-15
   -1.740000e+00    9.624026e-01    6.600149e-01    1.779735e-05   -8.295655e-06    3.190172e-06    3.943829e-14   -3.664231e-14   -2.968891e-15   -4.133580e-15
   -1.730000e+00    9.624026e-01    6.520253e-01    1.776682e-05   -8.117828e-06    2.957555e-06    3.929838e-14   -3.663547e-14   -2.791680e-15   -4.106195e-15
   -1.720000e+00    9.624026e-01    6.440396e-01    1.772923e-05   -7.940342e-06    2.733033e-06    3.916212e-14   -3.662514e-14   -2.622074e-15   -4.079575e-15
   -1.710000e+00    9.624026e-01    6.360577e-01    1.768401e-05   -7.763269e-06    2.517299e-06    3.902957e-14   -3.661135e-14   -2.460150e-15   -4.053740e-15
   -1.700000e+00    9.624026e-01    6.280796e-01    1.763059e-05   -7.586689e-06    2.311011e-06    3.890077e-14   -3.659411e-14   -2.305932e-15   -4.028705e-15
   -1.690000e+00    9.624026e-01    6.201054e-01    1.756844e-05   -7.410686e-06    2.114772e-06    3.877572e-14   -3.657346e-14   -2.159391e-15   -4.004477e-15
   -1.680000e+00    9.624026e-01    6.121349e-01    1.749709e-05   -7.235351e-06    1.929107e-06    3.865439e-14   -3.654944e-14   -2.020454e-15   -3.981058e-15
   -1.670000e+00    9.624026e-01    6.041682e-01    1.741615e-05   -7.060776e-06    1.754434e-06    3.853671e-14   -3.652209e-14   -1.889002e-15   -3.958445e-15
   -1.660000e+00    9.624026e-01    5.962053e-01    1.732532e-05   -6.887061e-06    1.591049e-06    3.842259e-14   -3.649148e-14   -1.764878e-15   -3.936629e-15
   -1.650000e+00    9.624026e-01    5.882460e-01    1.722442e-05   -6.714304e-06    1.439109e-06    3.831191e-14   -3.645764e-14   -1.647890e-15   -3.915596e-15
   -1.640000e+00    9.624026e-01    5.802904e-01    1.711337e-05   -6.542606e-06    1.298621e-06    3.820451e-14   -3.642064e-14   -1.537822e-15   -3.895329e-15
   -1.630000e+00    9.624026e-01    5.723385e-01    1.699223e-05   -6.372070e-06    1.169448e-06    3.810024e-14   -3.638053e-14   -1.434429e-15   -3.875804e-15
