# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: -40 C
# W = 2.0 um
# L = 4 um (4000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.144428e+00    5.481627e-01    2.228952e-05   -8.069821e-06    1.086611e-06    4.538445e-14   -4.302872e-14   -1.756592e-15   -4.178797e-15
   -1.790000e+00    1.144428e+00    5.401331e-01    2.209427e-05   -7.846925e-06    9.705362e-07    4.527602e-14   -4.300180e-14   -1.635202e-15   -4.159425e-15
   -1.780000e+00    1.144428e+00    5.321087e-01    2.188699e-05   -7.627975e-06    8.665919e-07    4.517195e-14   -4.297210e-14   -1.521536e-15   -4.140880e-15
   -1.770000e+00    1.144428e+00    5.240894e-01    2.166848e-05   -7.410189e-06    7.737991e-07    4.507202e-14   -4.293972e-14   -1.415250e-15   -4.123134e-15
   -1.760000e+00    1.144428e+00    5.160751e-01    2.143951e-05   -7.194641e-06    6.911700e-07    4.497602e-14   -4.290477e-14   -1.315991e-15   -4.106156e-15
   -1.750000e+00    1.144428e+00    5.080659e-01    2.120089e-05   -6.981431e-06    6.177344e-07    4.488371e-14   -4.286732e-14   -1.223400e-15   -4.089914e-15
   -1.740000e+00    1.144428e+00    5.000617e-01    2.095338e-05   -6.770652e-06    5.525603e-07    4.479483e-14   -4.282748e-14   -1.137117e-15   -4.074374e-15
   -1.730000e+00    1.144428e+00    4.920625e-01    2.069770e-05   -6.562390e-06    4.947691e-07    4.470914e-14   -4.278530e-14   -1.056784e-15   -4.059501e-15
   -1.720000e+00    1.144428e+00    4.840682e-01    2.043455e-05   -6.356723e-06    4.435454e-07    4.462639e-14   -4.274086e-14   -9.820496e-16   -4.045259e-15
   -1.710000e+00    1.144428e+00    4.760788e-01    2.016457e-05   -6.153722e-06    3.981420e-07    4.454632e-14   -4.269421e-14   -9.125700e-16   -4.031610e-15
   -1.700000e+00    1.144428e+00    4.680943e-01    1.988834e-05   -5.953453e-06    3.578817e-07    4.446868e-14   -4.264538e-14   -8.480128e-16   -4.018518e-15
   -1.690000e+00    1.144428e+00    4.601147e-01    1.960638e-05   -5.755975e-06    3.221564e-07    4.439321e-14   -4.259441e-14   -7.880578e-16   -4.005946e-15
   -1.680000e+00    1.144428e+00    4.521398e-01    1.931918e-05   -5.561343e-06    2.904235e-07    4.431966e-14   -4.254131e-14   -7.323982e-16   -3.993856e-15
   -1.670000e+00    1.144428e+00    4.441698e-01    1.902716e-05   -5.369607e-06    2.622023e-07    4.424778e-14   -4.248608e-14   -6.807420e-16   -3.982213e-15
   -1.660000e+00    1.144428e+00    4.362045e-01    1.873071e-05   -5.180814e-06    2.370683e-07    4.417732e-14   -4.242872e-14   -6.328118e-16   -3.970979e-15
   -1.650000e+00    1.144428e+00    4.282440e-01    1.843016e-05   -4.995007e-06    2.146486e-07    4.410804e-14   -4.236920e-14   -5.883457e-16   -3.960120e-15
   -1.640000e+00    1.144428e+00    4.202882e-01    1.812581e-05   -4.812224e-06    1.946163e-07    4.403969e-14   -4.230747e-14   -5.470968e-16   -3.949599e-15
   -1.630000e+00    1.144428e+00    4.123371e-01    1.781794e-05   -4.632502e-06    1.766853e-07    4.397202e-14   -4.224349e-14   -5.088335e-16   -3.939381e-15
   -1.620000e+00    1.144428e+00    4.043907e-01    1.750677e-05   -4.455876e-06    1.606057e-07    4.390480e-14   -4.217718e-14   -4.733385e-16   -3.929432e-15
   -1.610000e+00    1.144428e+00    3.964490e-01    1.719252e-05   -4.282377e-06    1.461592e-07    4.383777e-14   -4.210846e-14   -4.404092e-16   -3.919718e-15
   -1.600000e+00    1.144428e+00    3.885120e-01    1.687536e-05   -4.112035e-06    1.331555e-07    4.377069e-14   -4.203722e-14   -4.098563e-16   -3.910204e-15
   -1.590000e+00    1.144428e+00    3.805796e-01    1.655545e-05   -3.944879e-06    1.214284e-07    4.370331e-14   -4.196335e-14   -3.815037e-16   -3.900856e-15
   -1.580000e+00    1.144428e+00    3.726520e-01    1.623294e-05   -3.780935e-06    1.108329e-07    4.363538e-14   -4.188670e-14   -3.551879e-16   -3.891641e-15
   -1.570000e+00    1.144428e+00    3.647291e-01    1.590794e-05   -3.620228e-06    1.012422e-07    4.356663e-14   -4.180712e-14   -3.307569e-16   -3.882525e-15
   -1.560000e+00    1.144428e+00    3.568110e-01    1.558057e-05   -3.462784e-06    9.254534e-08    4.349681e-14   -4.172443e-14   -3.080701e-16   -3.873472e-15
   -1.550000e+00    1.144428e+00    3.488976e-01    1.525090e-05   -3.308625e-06    8.464544e-08    4.342563e-14   -4.163842e-14   -2.869971e-16   -3.864448e-15
   -1.540000e+00    1.144428e+00    3.409892e-01    1.491903e-05   -3.157773e-06    7.745738e-08    4.335281e-14   -4.154887e-14   -2.674172e-16   -3.855418e-15
   -1.530000e+00    1.144428e+00    3.330858e-01    1.458502e-05   -3.010251e-06    7.090649e-08    4.327804e-14   -4.145553e-14   -2.492190e-16   -3.846343e-15
   -1.520000e+00    1.144428e+00    3.251874e-01    1.424891e-05   -2.866080e-06    6.492713e-08    4.320103e-14   -4.135813e-14   -2.322994e-16   -3.837188e-15
   -1.510000e+00    1.144428e+00    3.172943e-01    1.391076e-05   -2.725280e-06    5.946148e-08    4.312143e-14   -4.125636e-14   -2.165633e-16   -3.827912e-15
   -1.500000e+00    1.144428e+00    3.094066e-01    1.357059e-05   -2.587871e-06    5.445856e-08    4.303891e-14   -4.114987e-14   -2.019229e-16   -3.818475e-15
   -1.490000e+00    1.144428e+00    3.015246e-01    1.322842e-05   -2.453875e-06    4.987331e-08    4.295308e-14   -4.103832e-14   -1.882969e-16   -3.808833e-15
   -1.480000e+00    1.144428e+00    2.936486e-01    1.288426e-05   -2.323310e-06    4.566586e-08    4.286357e-14   -4.092128e-14   -1.756108e-16   -3.798942e-15
   -1.470000e+00    1.144428e+00    2.857789e-01    1.253811e-05   -2.196196e-06    4.180086e-08    4.276995e-14   -4.079831e-14   -1.637954e-16   -3.788754e-15
   -1.460000e+00    1.144428e+00    2.779160e-01    1.218996e-05   -2.072554e-06    3.824689e-08    4.267178e-14   -4.066894e-14   -1.527870e-16   -3.778219e-15
   -1.450000e+00    1.144428e+00    2.700604e-01    1.183979e-05   -1.952404e-06    3.497601e-08    4.256858e-14   -4.053264e-14   -1.425270e-16   -3.767284e-15
   -1.440000e+00    1.144428e+00    2.622128e-01    1.148756e-05   -1.835765e-06    3.196331e-08    4.245986e-14   -4.038884e-14   -1.329611e-16   -3.755890e-15
   -1.430000e+00    1.144428e+00    2.543740e-01    1.113321e-05   -1.722660e-06    2.918655e-08    4.234506e-14   -4.023691e-14   -1.240394e-16   -3.743977e-15
   -1.420000e+00    1.144428e+00    2.465450e-01    1.077670e-05   -1.613108e-06    2.662584e-08    4.222362e-14   -4.007618e-14   -1.157157e-16   -3.731481e-15
   -1.410000e+00    1.144428e+00    2.387271e-01    1.041796e-05   -1.507133e-06    2.426334e-08    4.209490e-14   -3.990593e-14   -1.079475e-16   -3.718330e-15
   -1.400000e+00    1.144428e+00    2.309216e-01    1.005691e-05   -1.404757e-06    2.208308e-08    4.195824e-14   -3.972538e-14   -1.006954e-16   -3.704452e-15
   -1.390000e+00    1.144428e+00    2.231305e-01    9.693469e-06   -1.306003e-06    2.007066e-08    4.181295e-14   -3.953366e-14   -9.392313e-17   -3.689765e-15
   -1.380000e+00    1.144428e+00    2.153558e-01    9.327540e-06   -1.210896e-06    1.821314e-08    4.165826e-14   -3.932989e-14   -8.759726e-17   -3.674184e-15
   -1.370000e+00    1.144428e+00    2.076002e-01    8.959037e-06   -1.119460e-06    1.649885e-08    4.149337e-14   -3.911310e-14   -8.168677e-17   -3.657617e-15
   -1.360000e+00    1.144428e+00    1.998669e-01    8.587878e-06   -1.031724e-06    1.491725e-08    4.131745e-14   -3.888223e-14   -7.616307e-17   -3.639968e-15
   -1.350000e+00    1.144428e+00    1.921596e-01    8.213994e-06   -9.477120e-07    1.345882e-08    4.112958e-14   -3.863621e-14   -7.099970e-17   -3.621133e-15
   -1.340000e+00    1.144428e+00    1.844829e-01    7.837344e-06   -8.674530e-07    1.211490e-08    4.092883e-14   -3.837385e-14   -6.617220e-17   -3.601000e-15
   -1.330000e+00    1.144428e+00    1.768424e-01    7.457927e-06   -7.909744e-07    1.087766e-08    4.071420e-14   -3.809393e-14   -6.165794e-17   -3.579454e-15
   -1.320000e+00    1.144428e+00    1.692445e-01    7.075807e-06   -7.183035e-07    9.739968e-09    4.048466e-14   -3.779517e-14   -5.743598e-17   -3.556370e-15
   -1.310000e+00    1.144428e+00    1.616970e-01    6.691135e-06   -6.494667e-07    8.695331e-09    4.023912e-14   -3.747622e-14   -5.348692e-17   -3.531619e-15
   -1.300000e+00    1.144428e+00    1.542093e-01    6.304181e-06   -5.844884e-07    7.737804e-09    3.997649e-14   -3.713568e-14   -4.979281e-17   -3.505067e-15
   -1.290000e+00    1.144428e+00    1.467920e-01    5.915370e-06   -5.233893e-07    6.861936e-09    3.969562e-14   -3.677214e-14   -4.633699e-17   -3.476571e-15
   -1.280000e+00    1.144428e+00    1.394580e-01    5.525329e-06   -4.661851e-07    6.062702e-09    3.939537e-14   -3.638412e-14   -4.310403e-17   -3.445989e-15
   -1.270000e+00    1.144428e+00    1.322219e-01    5.134928e-06   -4.128840e-07    5.335447e-09    3.907457e-14   -3.597017e-14   -4.007960e-17   -3.413171e-15
   -1.260000e+00    1.144428e+00    1.251008e-01    4.745335e-06   -3.634839e-07    4.675824e-09    3.873210e-14   -3.552882e-14   -3.725042e-17   -3.377967e-15
   -1.250000e+00    1.144428e+00    1.181138e-01    4.358055e-06   -3.179696e-07    4.079741e-09    3.836683e-14   -3.505865e-14   -3.460412e-17   -3.340229e-15
   -1.240000e+00    1.144428e+00    1.112826e-01    3.974964e-06   -2.763089e-07    3.543312e-09    3.797771e-14   -3.455828e-14   -3.212924e-17   -3.299807e-15
   -1.230000e+00    1.144428e+00    1.046310e-01    3.598325e-06   -2.384489e-07    3.062798e-09    3.756375e-14   -3.402641e-14   -2.981509e-17   -3.256559e-15
   -1.220000e+00    1.144428e+00    9.818478e-02    3.230766e-06   -2.043121e-07    2.634569e-09    3.712407e-14   -3.346189e-14   -2.765174e-17   -3.210349e-15
   -1.210000e+00    1.144428e+00    9.197105e-02    2.875224e-06   -1.737935e-07    2.255063e-09    3.665793e-14   -3.286370e-14   -2.562992e-17   -3.161053e-15
   -1.200000e+00    1.144428e+00    8.601772e-02    2.534827e-06   -1.467572e-07    1.920750e-09    3.616473e-14   -3.223103e-14   -2.374100e-17   -3.108561e-15
   -1.190000e+00    1.144428e+00    8.035238e-02    2.212738e-06   -1.230359e-07    1.628116e-09    3.564410e-14   -3.156330e-14   -2.197692e-17   -3.052781e-15
   -1.180000e+00    1.144428e+00    7.500108e-02    1.911947e-06   -1.024314e-07    1.373657e-09    3.509590e-14   -3.086024e-14   -2.033014e-17   -2.993644e-15
   -1.170000e+00    1.144428e+00    6.998706e-02    1.635043e-06   -8.471729e-08    1.153881e-09    3.452023e-14   -3.012188e-14   -1.879361e-17   -2.931110e-15
   -1.160000e+00    1.144428e+00    6.532931e-02    1.383996e-06   -6.964426e-08    9.653380e-10    3.391753e-14   -2.934866e-14   -1.736073e-17   -2.865168e-15
   -1.150000e+00    1.144428e+00    6.104135e-02    1.159979e-06   -5.694717e-08    8.046474e-10    3.328857e-14   -2.854138e-14   -1.602530e-17   -2.795845e-15
   -1.140000e+00    1.144428e+00    5.713032e-02    9.632706e-07   -4.635356e-08    6.685467e-10    3.263445e-14   -2.770134e-14   -1.478150e-17   -2.723205e-15
   -1.130000e+00    1.144428e+00    5.359640e-02    7.932564e-07   -3.759269e-08    5.539349e-10    3.195667e-14   -2.683028e-14   -1.362386e-17   -2.647357e-15
   -1.120000e+00    1.144428e+00    5.043283e-02    6.485196e-07   -3.040410e-08    4.579158e-10    3.125711e-14   -2.593043e-14   -1.254721e-17   -2.568453e-15
   -1.110000e+00    1.144428e+00    4.762633e-02    5.270133e-07   -2.454482e-08    3.778329e-10    3.053804e-14   -2.500451e-14   -1.154670e-17   -2.486693e-15
   -1.100000e+00    1.144428e+00    4.515812e-02    4.262748e-07   -1.979459e-08    3.112925e-10    2.980211e-14   -2.405570e-14   -1.061772e-17   -2.402323e-15
   -1.090000e+00    1.144428e+00    4.300502e-02    3.436440e-07   -1.595896e-08    2.561731e-10    2.905230e-14   -2.308764e-14   -9.755918e-18   -2.315633e-15
   -1.080000e+00    1.144428e+00    4.114092e-02    2.764580e-07   -1.287025e-08    2.106237e-10    2.829192e-14   -2.210436e-14   -8.957180e-18   -2.226957e-15
   -1.070000e+00    1.144428e+00    3.953808e-02    2.221990e-07   -1.038674e-08    1.730505e-10    2.752452e-14   -2.111024e-14   -8.217594e-18   -2.136664e-15
   -1.060000e+00    1.144428e+00    3.816837e-02    1.785918e-07   -8.390793e-09    1.420971e-10    2.675388e-14   -2.010992e-14   -7.533452e-18   -2.045158e-15
   -1.050000e+00    1.144428e+00    3.700429e-02    1.436529e-07   -6.786047e-09    1.166198e-10    2.598389e-14   -1.910822e-14   -6.901229e-18   -1.952867e-15
   -1.040000e+00    1.144428e+00    3.601973e-02    1.157014e-07   -5.494476e-09    9.566203e-11    2.521850e-14   -1.811005e-14   -6.317579e-18   -1.860237e-15
   -1.030000e+00    1.144428e+00    3.519050e-02    9.334474e-08   -4.453398e-09    7.842788e-11    2.446163e-14   -1.712028e-14   -5.779320e-18   -1.767720e-15
   -1.020000e+00    1.144428e+00    3.449464e-02    7.544852e-08   -3.612737e-09    6.425836e-11    2.371710e-14   -1.614370e-14   -5.283430e-18   -1.675769e-15
   -1.010000e+00    1.144428e+00    3.391254e-02    6.110039e-08   -2.932621e-09    5.260947e-11    2.298854e-14   -1.518485e-14   -4.827038e-18   -1.584826e-15
   -1.000000e+00    1.144428e+00    3.342691e-02    4.957297e-08   -2.381344e-09    4.303313e-11    2.227933e-14   -1.424800e-14   -4.407420e-18   -1.495314e-15
   -9.900000e-01    1.144428e+00    3.302271e-02    4.028953e-08   -1.933695e-09    3.516081e-11    2.159254e-14   -1.333702e-14   -4.021994e-18   -1.407630e-15
   -9.800000e-01    1.144428e+00    3.268699e-02    3.279418e-08   -1.569603e-09    2.868968e-11    2.093086e-14   -1.245536e-14   -3.668315e-18   -1.322136e-15
   -9.700000e-01    1.144428e+00    3.240865e-02    2.672686e-08   -1.273059e-09    2.337104e-11    2.029660e-14   -1.160595e-14   -3.344069e-18   -1.239156e-15
   -9.600000e-01    1.144428e+00    3.217828e-02    2.180293e-08   -1.031261e-09    1.900069e-11    1.969166e-14   -1.079123e-14   -3.047076e-18   -1.158969e-15
   -9.500000e-01    1.144428e+00    3.198791e-02    1.779704e-08   -8.339458e-10    1.541098e-11    1.911749e-14   -1.001311e-14   -2.775278e-18   -1.081811e-15
   -9.400000e-01    1.144428e+00    3.183086e-02    1.453027e-08   -6.728609e-10    1.246427e-11    1.857515e-14   -9.272973e-15   -2.526742e-18   -1.007869e-15
