# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: -40 C
# W = 2.0 um
# L = 5.5 um (5500 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.144934e+00    5.470952e-01    1.639110e-05   -5.867512e-06    6.897996e-07    6.209659e-14   -5.899773e-14   -2.559957e-15   -5.691237e-15
   -1.790000e+00    1.144934e+00    5.390752e-01    1.623730e-05   -5.703601e-06    6.107891e-07    6.193811e-14   -5.896211e-14   -2.381838e-15   -5.663059e-15
   -1.780000e+00    1.144934e+00    5.310600e-01    1.607502e-05   -5.542794e-06    5.404996e-07    6.178607e-14   -5.892256e-14   -2.214980e-15   -5.636095e-15
   -1.770000e+00    1.144934e+00    5.230495e-01    1.590485e-05   -5.382888e-06    4.781799e-07    6.164018e-14   -5.887921e-14   -2.058915e-15   -5.610310e-15
   -1.760000e+00    1.144934e+00    5.150438e-01    1.572740e-05   -5.224721e-06    4.230809e-07    6.150013e-14   -5.883222e-14   -1.913150e-15   -5.585662e-15
   -1.750000e+00    1.144934e+00    5.070428e-01    1.554326e-05   -5.068363e-06    3.744738e-07    6.136558e-14   -5.878171e-14   -1.777178e-15   -5.562105e-15
   -1.740000e+00    1.144934e+00    4.990466e-01    1.535301e-05   -4.913877e-06    3.316654e-07    6.123619e-14   -5.872780e-14   -1.650487e-15   -5.539590e-15
   -1.730000e+00    1.144934e+00    4.910551e-01    1.515718e-05   -4.761321e-06    2.940071e-07    6.111160e-14   -5.867060e-14   -1.532563e-15   -5.518068e-15
   -1.720000e+00    1.144934e+00    4.830682e-01    1.495629e-05   -4.610750e-06    2.609017e-07    6.099145e-14   -5.861021e-14   -1.422897e-15   -5.497486e-15
   -1.710000e+00    1.144934e+00    4.750861e-01    1.475079e-05   -4.462211e-06    2.318057e-07    6.087535e-14   -5.854669e-14   -1.320990e-15   -5.477790e-15
   -1.700000e+00    1.144934e+00    4.671086e-01    1.454111e-05   -4.315748e-06    2.062298e-07    6.076296e-14   -5.848011e-14   -1.226356e-15   -5.458927e-15
   -1.690000e+00    1.144934e+00    4.591358e-01    1.432763e-05   -4.171401e-06    1.837374e-07    6.065389e-14   -5.841051e-14   -1.138525e-15   -5.440842e-15
   -1.680000e+00    1.144934e+00    4.511676e-01    1.411069e-05   -4.029207e-06    1.639415e-07    6.054777e-14   -5.833792e-14   -1.057045e-15   -5.423480e-15
   -1.670000e+00    1.144934e+00    4.432040e-01    1.389059e-05   -3.889198e-06    1.465010e-07    6.044425e-14   -5.826235e-14   -9.814849e-16   -5.406789e-15
   -1.660000e+00    1.144934e+00    4.352451e-01    1.366760e-05   -3.751405e-06    1.311169e-07    6.034295e-14   -5.818378e-14   -9.114345e-16   -5.390715e-15
   -1.650000e+00    1.144934e+00    4.272908e-01    1.344196e-05   -3.615855e-06    1.175276e-07    6.024351e-14   -5.810218e-14   -8.465054e-16   -5.375204e-15
   -1.640000e+00    1.144934e+00    4.193411e-01    1.321387e-05   -3.482574e-06    1.055054e-07    6.014559e-14   -5.801750e-14   -7.863309e-16   -5.360205e-15
   -1.630000e+00    1.144934e+00    4.113960e-01    1.298353e-05   -3.351585e-06    9.485210e-08    6.004881e-14   -5.792967e-14   -7.305667e-16   -5.345666e-15
   -1.620000e+00    1.144934e+00    4.034555e-01    1.275110e-05   -3.222910e-06    8.539556e-08    5.995283e-14   -5.783859e-14   -6.788899e-16   -5.331537e-15
   -1.610000e+00    1.144934e+00    3.955197e-01    1.251671e-05   -3.096569e-06    7.698641e-08    5.985728e-14   -5.774414e-14   -6.309984e-16   -5.317767e-15
   -1.600000e+00    1.144934e+00    3.875885e-01    1.228050e-05   -2.972582e-06    6.949505e-08    5.976182e-14   -5.764618e-14   -5.866106e-16   -5.304308e-15
   -1.590000e+00    1.144934e+00    3.796620e-01    1.204256e-05   -2.850965e-06    6.280905e-08    5.966608e-14   -5.754455e-14   -5.454645e-16   -5.291108e-15
   -1.580000e+00    1.144934e+00    3.717402e-01    1.180300e-05   -2.731736e-06    5.683084e-08    5.956969e-14   -5.743905e-14   -5.073163e-16   -5.278120e-15
   -1.570000e+00    1.144934e+00    3.638231e-01    1.156189e-05   -2.614910e-06    5.147571e-08    5.947228e-14   -5.732947e-14   -4.719400e-16   -5.265293e-15
   -1.560000e+00    1.144934e+00    3.559108e-01    1.131930e-05   -2.500503e-06    4.667004e-08    5.937347e-14   -5.721555e-14   -4.391262e-16   -5.252579e-15
