# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: -40C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.714435e+00    1.558785e+01    8.200085e+00    3.079220e+08    1.150475e-08    4.032827e-10    1.075436e-08    1.089361e-09   -1.800000e+00    1.143894e+00    5.469838e-01
    2.768124e+00    1.705721e+01    7.977500e+00    3.061416e+08    1.148022e-08    3.757867e-10    1.074734e-08    1.084793e-09   -1.790000e+00    1.143894e+00    5.391645e-01
    2.822051e+00    1.865893e+01    7.758470e+00    3.041606e+08    1.145667e-08    3.500479e-10    1.073965e-08    1.080416e-09   -1.780000e+00    1.143894e+00    5.313457e-01
    2.877189e+00    2.039957e+01    7.540510e+00    3.019881e+08    1.143403e-08    3.259825e-10    1.073134e-08    1.076225e-09   -1.770000e+00    1.143894e+00    5.235272e-01
    2.933319e+00    2.228538e+01    7.324595e+00    2.996340e+08    1.141227e-08    3.035055e-10    1.072242e-08    1.072212e-09   -1.760000e+00    1.143894e+00    5.157092e-01
    2.990529e+00    2.432235e+01    7.110835e+00    2.971083e+08    1.139132e-08    2.825319e-10    1.071292e-08    1.068368e-09   -1.750000e+00    1.143894e+00    5.078914e-01
    3.048919e+00    2.651626e+01    6.899325e+00    2.944215e+08    1.137111e-08    2.629775e-10    1.070285e-08    1.064684e-09   -1.740000e+00    1.143894e+00    5.000738e-01
    3.108596e+00    2.887266e+01    6.690155e+00    2.915836e+08    1.135161e-08    2.447595e-10    1.069223e-08    1.061154e-09   -1.730000e+00    1.143894e+00    4.922563e-01
    3.169674e+00    3.139705e+01    6.483415e+00    2.886047e+08    1.133275e-08    2.277972e-10    1.068108e-08    1.057767e-09   -1.720000e+00    1.143894e+00    4.844388e-01
    3.232277e+00    3.409482e+01    6.279175e+00    2.854943e+08    1.131446e-08    2.120127e-10    1.066941e-08    1.054516e-09   -1.710000e+00    1.143894e+00    4.766213e-01
    3.296527e+00    3.697140e+01    6.077515e+00    2.822612e+08    1.129670e-08    1.973305e-10    1.065722e-08    1.051392e-09   -1.700000e+00    1.143894e+00    4.688037e-01
    3.362558e+00    4.003235e+01    5.878505e+00    2.789142e+08    1.127941e-08    1.836787e-10    1.064453e-08    1.048386e-09   -1.690000e+00    1.143894e+00    4.609860e-01
    3.430514e+00    4.328341e+01    5.682200e+00    2.754612e+08    1.126252e-08    1.709884e-10    1.063133e-08    1.045489e-09   -1.680000e+00    1.143894e+00    4.531680e-01
    3.500537e+00    4.673059e+01    5.488665e+00    2.719094e+08    1.124598e-08    1.591944e-10    1.061763e-08    1.042693e-09   -1.670000e+00    1.143894e+00    4.453497e-01
    3.572784e+00    5.038027e+01    5.297950e+00    2.682656e+08    1.122974e-08    1.482352e-10    1.060342e-08    1.039991e-09   -1.660000e+00    1.143894e+00    4.375310e-01
    3.647412e+00    5.423932e+01    5.110115e+00    2.645362e+08    1.121374e-08    1.380522e-10    1.058870e-08    1.037372e-09   -1.650000e+00    1.143894e+00    4.297120e-01
    3.724600e+00    5.831507e+01    4.925193e+00    2.607266e+08    1.119793e-08    1.285909e-10    1.057345e-08    1.034829e-09   -1.640000e+00    1.143894e+00    4.218924e-01
    3.804523e+00    6.261554e+01    4.743240e+00    2.568422e+08    1.118225e-08    1.197998e-10    1.055767e-08    1.032354e-09   -1.630000e+00    1.143894e+00    4.140723e-01
    3.887376e+00    6.714942e+01    4.564292e+00    2.528876e+08    1.116664e-08    1.116310e-10    1.054133e-08    1.029939e-09   -1.620000e+00    1.143894e+00    4.062516e-01
    3.973364e+00    7.192625e+01    4.388389e+00    2.488672e+08    1.115105e-08    1.040394e-10    1.052441e-08    1.027576e-09   -1.610000e+00    1.143894e+00    3.984302e-01
    4.062705e+00    7.695640e+01    4.215571e+00    2.447850e+08    1.113543e-08    9.698325e-11    1.050690e-08    1.025256e-09   -1.600000e+00    1.143894e+00    3.906082e-01
    4.155636e+00    8.225131e+01    4.045869e+00    2.406445e+08    1.111971e-08    9.042360e-11    1.048875e-08    1.022972e-09   -1.590000e+00    1.143894e+00    3.827855e-01
    4.252406e+00    8.782347e+01    3.879318e+00    2.364487e+08    1.110384e-08    8.432415e-11    1.046994e-08    1.020715e-09   -1.580000e+00    1.143894e+00    3.749620e-01
