# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: 25 C
# W = 2.0 um
# L = 0.18 um (180 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    8.499314e-01    6.899249e-01    2.336646e-04   -1.718988e-04    1.325991e-04    2.599582e-15   -2.050486e-15   -6.604285e-17   -2.465515e-16
   -1.790000e+00    8.499314e-01    6.840207e-01    2.351000e-04   -1.695621e-04    1.289174e-04    2.595898e-15   -2.051363e-15   -6.006974e-17   -2.456495e-16
   -1.780000e+00    8.499314e-01    6.781117e-01    2.364938e-04   -1.671969e-04    1.252522e-04    2.592323e-15   -2.052106e-15   -5.435229e-17   -2.447738e-16
   -1.770000e+00    8.499314e-01    6.721975e-01    2.378432e-04   -1.648252e-04    1.216071e-04    2.588855e-15   -2.052718e-15   -4.888566e-17   -2.439244e-16
   -1.760000e+00    8.499314e-01    6.662777e-01    2.391450e-04   -1.624402e-04    1.179860e-04    2.585492e-15   -2.053202e-15   -4.366435e-17   -2.431009e-16
   -1.750000e+00    8.499314e-01    6.603516e-01    2.403962e-04   -1.600425e-04    1.143930e-04    2.582232e-15   -2.053562e-15   -3.868236e-17   -2.423031e-16
   -1.740000e+00    8.499314e-01    6.544189e-01    2.415933e-04   -1.576325e-04    1.108322e-04    2.579071e-15   -2.053801e-15   -3.393327e-17   -2.415306e-16
   -1.730000e+00    8.499314e-01    6.484792e-01    2.427328e-04   -1.552108e-04    1.073083e-04    2.576008e-15   -2.053922e-15   -2.941024e-17   -2.407828e-16
   -1.720000e+00    8.499314e-01    6.425319e-01    2.438111e-04   -1.527780e-04    1.038257e-04    2.573038e-15   -2.053930e-15   -2.510617e-17   -2.400593e-16
   -1.710000e+00    8.499314e-01    6.365765e-01    2.448243e-04   -1.503348e-04    1.003891e-04    2.570158e-15   -2.053827e-15   -2.101371e-17   -2.393596e-16
   -1.700000e+00    8.499314e-01    6.306126e-01    2.457686e-04   -1.478818e-04    9.700330e-05    2.567365e-15   -2.053617e-15   -1.712536e-17   -2.386830e-16
   -1.690000e+00    8.499314e-01    6.246398e-01    2.466400e-04   -1.454197e-04    9.367298e-05    2.564654e-15   -2.053303e-15   -1.343351e-17   -2.380288e-16
   -1.680000e+00    8.499314e-01    6.186574e-01    2.474347e-04   -1.429492e-04    9.040279e-05    2.562022e-15   -2.052890e-15   -9.930495e-18   -2.373965e-16
   -1.670000e+00    8.499314e-01    6.126651e-01    2.481488e-04   -1.404712e-04    8.719720e-05    2.559465e-15   -2.052379e-15   -6.608654e-18   -2.367853e-16
   -1.660000e+00    8.499314e-01    6.066623e-01    2.487783e-04   -1.379865e-04    8.406046e-05    2.556979e-15   -2.051774e-15   -3.460372e-18   -2.361945e-16
   -1.650000e+00    8.499314e-01    6.006486e-01    2.493198e-04   -1.354960e-04    8.099654e-05    2.554559e-15   -2.051078e-15   -4.781149e-19   -2.356234e-16
   -1.640000e+00    8.499314e-01    5.946234e-01    2.497695e-04   -1.330004e-04    7.800902e-05    2.552202e-15   -2.050294e-15    2.345532e-18   -2.350711e-16
   -1.630000e+00    8.499314e-01    5.885862e-01    2.501244e-04   -1.305009e-04    7.510103e-05    2.549903e-15   -2.049424e-15    5.017837e-18   -2.345370e-16
   -1.620000e+00    8.499314e-01    5.825366e-01    2.503814e-04   -1.279983e-04    7.227523e-05    2.547658e-15   -2.048470e-15    7.545896e-18   -2.340202e-16
   -1.610000e+00    8.499314e-01    5.764741e-01    2.505379e-04   -1.254936e-04    6.953374e-05    2.545463e-15   -2.047435e-15    9.936613e-18   -2.335201e-16
   -1.600000e+00    8.499314e-01    5.703981e-01    2.505914e-04   -1.229879e-04    6.687811e-05    2.543314e-15   -2.046321e-15    1.219668e-17   -2.330357e-16
   -1.590000e+00    8.499314e-01    5.643082e-01    2.505401e-04   -1.204821e-04    6.430935e-05    2.541207e-15   -2.045129e-15    1.433257e-17   -2.325664e-16
   -1.580000e+00    8.499314e-01    5.582038e-01    2.503824e-04   -1.179774e-04    6.182786e-05    2.539137e-15   -2.043860e-15    1.635053e-17   -2.321114e-16
   -1.570000e+00    8.499314e-01    5.520845e-01    2.501170e-04   -1.154748e-04    5.943354e-05    2.537100e-15   -2.042516e-15    1.825655e-17   -2.316698e-16
   -1.560000e+00    8.499314e-01    5.459496e-01    2.497431e-04   -1.129754e-04    5.712576e-05    2.535093e-15   -2.041098e-15    2.005639e-17   -2.312410e-16
   -1.550000e+00    8.499314e-01    5.397989e-01    2.492602e-04   -1.104803e-04    5.490343e-05    2.533111e-15   -2.039607e-15    2.175557e-17   -2.308241e-16
   -1.540000e+00    8.499314e-01    5.336316e-01    2.486680e-04   -1.079906e-04    5.276504e-05    2.531149e-15   -2.038043e-15    2.335935e-17   -2.304185e-16
   -1.530000e+00    8.499314e-01    5.274473e-01    2.479666e-04   -1.055073e-04    5.070873e-05    2.529204e-15   -2.036405e-15    2.487276e-17   -2.300233e-16
   -1.520000e+00    8.499314e-01    5.212456e-01    2.471564e-04   -1.030316e-04    4.873236e-05    2.527272e-15   -2.034695e-15    2.630058e-17   -2.296378e-16
