# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: ss
# Temperature: 25 C
# W = 2.0 um
# L = 5 um (5000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.048427e+00    6.336098e-01    1.503989e-05   -6.620168e-06    1.941639e-06    5.747136e-14   -5.361899e-14   -4.100652e-15   -5.644346e-15
   -1.790000e+00    1.048427e+00    6.255385e-01    1.499976e-05   -6.469769e-06    1.770150e-06    5.727157e-14   -5.361297e-14   -3.846707e-15   -5.607375e-15
   -1.780000e+00    1.048427e+00    6.174724e-01    1.495141e-05   -6.320200e-06    1.607925e-06    5.707781e-14   -5.360213e-14   -3.604394e-15   -5.571550e-15
   -1.770000e+00    1.048427e+00    6.094113e-01    1.489447e-05   -6.170963e-06    1.455381e-06    5.689016e-14   -5.358652e-14   -3.373765e-15   -5.536894e-15
   -1.760000e+00    1.048427e+00    6.013553e-01    1.482865e-05   -6.022340e-06    1.312827e-06    5.670865e-14   -5.356623e-14   -3.154788e-15   -5.503421e-15
   -1.750000e+00    1.048427e+00    5.933044e-01    1.475374e-05   -5.874421e-06    1.180446e-06    5.653325e-14   -5.354133e-14   -2.947357e-15   -5.471138e-15
   -1.740000e+00    1.048427e+00    5.852585e-01    1.466964e-05   -5.727296e-06    1.058284e-06    5.636387e-14   -5.351192e-14   -2.751297e-15   -5.440042e-15
   -1.730000e+00    1.048427e+00    5.772176e-01    1.457639e-05   -5.581058e-06    9.462521e-07    5.620040e-14   -5.347810e-14   -2.566369e-15   -5.410124e-15
   -1.720000e+00    1.048427e+00    5.691818e-01    1.447410e-05   -5.435798e-06    8.441246e-07    5.604266e-14   -5.343996e-14   -2.392283e-15   -5.381366e-15
   -1.710000e+00    1.048427e+00    5.611509e-01    1.436302e-05   -5.291606e-06    7.515549e-07    5.589044e-14   -5.339762e-14   -2.228700e-15   -5.353743e-15
   -1.700000e+00    1.048427e+00    5.531250e-01    1.424346e-05   -5.148566e-06    6.680919e-07    5.574351e-14   -5.335117e-14   -2.075248e-15   -5.327227e-15
   -1.690000e+00    1.048427e+00    5.451040e-01    1.411582e-05   -5.006763e-06    5.932017e-07    5.560159e-14   -5.330072e-14   -1.931521e-15   -5.301780e-15
   -1.680000e+00    1.048427e+00    5.370880e-01    1.398056e-05   -4.866275e-06    5.262917e-07    5.546438e-14   -5.324636e-14   -1.797094e-15   -5.277364e-15
   -1.670000e+00    1.048427e+00    5.290769e-01    1.383816e-05   -4.727176e-06    4.667337e-07    5.533159e-14   -5.318816e-14   -1.671529e-15   -5.253935e-15
