# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: -40 C
# W = 2.0 um
# L = 4.5 um (4500 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.120439e+00    5.793497e-01    2.225089e-05   -8.457183e-06    1.512579e-06    5.394329e-14   -5.080761e-14   -2.741294e-15   -4.875857e-15
   -1.790000e+00    1.120439e+00    5.711030e-01    2.210374e-05   -8.234674e-06    1.349519e-06    5.378600e-14   -5.078762e-14   -2.554332e-15   -4.848525e-15
   -1.780000e+00    1.120439e+00    5.628625e-01    2.194207e-05   -8.015157e-06    1.201641e-06    5.363499e-14   -5.076381e-14   -2.378301e-15   -4.822306e-15
   -1.770000e+00    1.120439e+00    5.546283e-01    2.176637e-05   -7.796603e-06    1.068275e-06    5.349011e-14   -5.073634e-14   -2.212893e-15   -4.797184e-15
   -1.760000e+00    1.120439e+00    5.464003e-01    2.157727e-05   -7.579874e-06    9.486039e-07    5.335117e-14   -5.070531e-14   -2.057756e-15   -4.773135e-15
   -1.750000e+00    1.120439e+00    5.381784e-01    2.137548e-05   -7.365100e-06    8.417025e-07    5.321792e-14   -5.067088e-14   -1.912501e-15   -4.750133e-15
   -1.740000e+00    1.120439e+00    5.299626e-01    2.116182e-05   -7.152404e-06    7.465786e-07    5.309011e-14   -5.063317e-14   -1.776714e-15   -4.728145e-15
   -1.730000e+00    1.120439e+00    5.217530e-01    2.093711e-05   -6.941900e-06    6.622094e-07    5.296747e-14   -5.059230e-14   -1.649959e-15   -4.707135e-15
   -1.720000e+00    1.120439e+00    5.135494e-01    2.070221e-05   -6.733696e-06    5.875746e-07    5.284970e-14   -5.054839e-14   -1.531789e-15   -4.687064e-15
   -1.710000e+00    1.120439e+00    5.053518e-01    2.045793e-05   -6.527887e-06    5.216831e-07    5.273649e-14   -5.050153e-14   -1.421749e-15   -4.667889e-15
   -1.700000e+00    1.120439e+00    4.971603e-01    2.020509e-05   -6.324566e-06    4.635929e-07    5.262751e-14   -5.045183e-14   -1.319386e-15   -4.649567e-15
   -1.690000e+00    1.120439e+00    4.889747e-01    1.994444e-05   -6.123812e-06    4.124249e-07    5.252245e-14   -5.039936e-14   -1.224250e-15   -4.632052e-15
   -1.680000e+00    1.120439e+00    4.807951e-01    1.967668e-05   -5.925700e-06    3.673711e-07    5.242098e-14   -5.034418e-14   -1.135899e-15   -4.615297e-15
   -1.670000e+00    1.120439e+00    4.726214e-01    1.940245e-05   -5.730300e-06    3.276981e-07    5.232277e-14   -5.028635e-14   -1.053905e-15   -4.599256e-15
   -1.660000e+00    1.120439e+00    4.644536e-01    1.912235e-05   -5.537671e-06    2.927473e-07    5.222748e-14   -5.022591e-14   -9.778530e-16   -4.583881e-15
   -1.650000e+00    1.120439e+00    4.562916e-01    1.883688e-05   -5.347871e-06    2.619320e-07    5.213479e-14   -5.016287e-14   -9.073445e-16   -4.569125e-15
   -1.640000e+00    1.120439e+00    4.481356e-01    1.854654e-05   -5.160950e-06    2.347334e-07    5.204438e-14   -5.009724e-14   -8.419998e-16   -4.554942e-15
   -1.630000e+00    1.120439e+00    4.399853e-01    1.825172e-05   -4.976955e-06    2.106954e-07    5.195591e-14   -5.002901e-14   -7.814575e-16   -4.541285e-15
   -1.620000e+00    1.120439e+00    4.318409e-01    1.795282e-05   -4.795929e-06    1.894184e-07    5.186908e-14   -4.995814e-14   -7.253761e-16   -4.528108e-15
   -1.610000e+00    1.120439e+00    4.237023e-01    1.765014e-05   -4.617911e-06    1.705539e-07    5.178356e-14   -4.988458e-14   -6.734334e-16   -4.515367e-15
   -1.600000e+00    1.120439e+00    4.155694e-01    1.734398e-05   -4.442938e-06    1.537983e-07    5.169903e-14   -4.980827e-14   -6.253269e-16   -4.503016e-15
   -1.590000e+00    1.120439e+00    4.074424e-01    1.703459e-05   -4.271042e-06    1.388880e-07    5.161518e-14   -4.972912e-14   -5.807732e-16   -4.491012e-15
   -1.580000e+00    1.120439e+00    3.993211e-01    1.672220e-05   -4.102256e-06    1.255940e-07    5.153169e-14   -4.964702e-14   -5.395076e-16   -4.479312e-15
   -1.570000e+00    1.120439e+00    3.912056e-01    1.640699e-05   -3.936607e-06    1.137178e-07    5.144825e-14   -4.956185e-14   -5.012834e-16   -4.467872e-15
