# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: -40 C
# W = 2.0 um
# L = 6 um (6000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    1.121747e+00    5.773136e-01    1.669672e-05   -6.297077e-06    1.028667e-06    7.173905e-14   -6.760583e-14   -3.846918e-15   -6.461907e-15
   -1.790000e+00    1.121747e+00    5.690908e-01    1.657918e-05   -6.130110e-06    9.125202e-07    7.151757e-14   -6.758039e-14   -3.583699e-15   -6.423622e-15
   -1.780000e+00    1.121747e+00    5.608738e-01    1.645092e-05   -5.965529e-06    8.076739e-07    7.130490e-14   -6.754976e-14   -3.335663e-15   -6.386890e-15
   -1.770000e+00    1.121747e+00    5.526624e-01    1.631236e-05   -5.801704e-06    7.135667e-07    7.110084e-14   -6.751413e-14   -3.102440e-15   -6.351695e-15
   -1.760000e+00    1.121747e+00    5.444567e-01    1.616401e-05   -5.639315e-06    6.295364e-07    7.090516e-14   -6.747366e-14   -2.883583e-15   -6.318011e-15
   -1.750000e+00    1.121747e+00    5.362567e-01    1.600645e-05   -5.478455e-06    5.548505e-07    7.071756e-14   -6.742854e-14   -2.678591e-15   -6.285803e-15
   -1.740000e+00    1.121747e+00    5.280623e-01    1.584030e-05   -5.319214e-06    4.887363e-07    7.053770e-14   -6.737894e-14   -2.486914e-15   -6.255031e-15
   -1.730000e+00    1.121747e+00    5.198735e-01    1.566620e-05   -5.161675e-06    4.304082e-07    7.036522e-14   -6.732503e-14   -2.307968e-15   -6.225646e-15
   -1.720000e+00    1.121747e+00    5.116904e-01    1.548480e-05   -5.005915e-06    3.790916e-07    7.019972e-14   -6.726695e-14   -2.141143e-15   -6.197595e-15
   -1.710000e+00    1.121747e+00    5.035128e-01    1.529672e-05   -4.852002e-06    3.340412e-07    7.004076e-14   -6.720486e-14   -1.985819e-15   -6.170822e-15
   -1.700000e+00    1.121747e+00    4.953407e-01    1.510256e-05   -4.700000e-06    2.945545e-07    6.988791e-14   -6.713888e-14   -1.841366e-15   -6.145264e-15
   -1.690000e+00    1.121747e+00    4.871743e-01    1.490287e-05   -4.549969e-06    2.599807e-07    6.974072e-14   -6.706913e-14   -1.707158e-15   -6.120859e-15
   -1.680000e+00    1.121747e+00    4.790133e-01    1.469818e-05   -4.401960e-06    2.297256e-07    6.959872e-14   -6.699569e-14   -1.582578e-15   -6.097542e-15
   -1.670000e+00    1.121747e+00    4.708579e-01    1.448895e-05   -4.256020e-06    2.032530e-07    6.946146e-14   -6.691863e-14   -1.467022e-15   -6.075246e-15
   -1.660000e+00    1.121747e+00    4.627080e-01    1.427560e-05   -4.112194e-06    1.800841e-07    6.932848e-14   -6.683802e-14   -1.359906e-15   -6.053906e-15
   -1.650000e+00    1.121747e+00    4.545635e-01    1.405852e-05   -3.970521e-06    1.597945e-07    6.919930e-14   -6.675387e-14   -1.260664e-15   -6.033454e-15
   -1.640000e+00    1.121747e+00    4.464246e-01    1.383804e-05   -3.831035e-06    1.420108e-07    6.907347e-14   -6.666620e-14   -1.168759e-15   -6.013824e-15
   -1.630000e+00    1.121747e+00    4.382911e-01    1.361446e-05   -3.693770e-06    1.264059e-07    6.895053e-14   -6.657499e-14   -1.083675e-15   -5.994951e-15
   -1.620000e+00    1.121747e+00    4.301632e-01    1.338804e-05   -3.558756e-06    1.126948e-07    6.883003e-14   -6.648020e-14   -1.004927e-15   -5.976770e-15
   -1.610000e+00    1.121747e+00    4.220406e-01    1.315903e-05   -3.426018e-06    1.006298e-07    6.871152e-14   -6.638176e-14   -9.320543e-16   -5.959217e-15
   -1.600000e+00    1.121747e+00    4.139236e-01    1.292761e-05   -3.295583e-06    8.999614e-08    6.859455e-14   -6.627958e-14   -8.646258e-16   -5.942229e-15
   -1.590000e+00    1.121747e+00    4.058120e-01    1.269396e-05   -3.167474e-06    8.060799e-08    6.847868e-14   -6.617355e-14   -8.022364e-16   -5.925743e-15
   -1.580000e+00    1.121747e+00    3.977060e-01    1.245825e-05   -3.041711e-06    7.230465e-08    6.836345e-14   -6.606351e-14   -7.445077e-16   -5.909699e-15
   -1.570000e+00    1.121747e+00    3.896054e-01    1.222060e-05   -2.918315e-06    6.494732e-08    6.824843e-14   -6.594931e-14   -6.910870e-16   -5.894036e-15
   -1.560000e+00    1.121747e+00    3.815104e-01    1.198113e-05   -2.797305e-06    5.841606e-08    6.813317e-14   -6.583072e-14   -6.416462e-16   -5.878694e-15
   -1.550000e+00    1.121747e+00    3.734209e-01    1.173995e-05   -2.678698e-06    5.260722e-08    6.801720e-14   -6.570752e-14   -5.958807e-16   -5.863613e-15
   -1.540000e+00    1.121747e+00    3.653371e-01    1.149713e-05   -2.562511e-06    4.743121e-08    6.790008e-14   -6.557944e-14   -5.535083e-16   -5.848734e-15
   -1.530000e+00    1.121747e+00    3.572589e-01    1.125276e-05   -2.448761e-06    4.281051e-08    6.778131e-14   -6.544618e-14   -5.142676e-16   -5.833997e-15
   -1.520000e+00    1.121747e+00    3.491865e-01    1.100690e-05   -2.337461e-06    3.867796e-08    6.766042e-14   -6.530739e-14   -4.779171e-16   -5.819341e-15
