# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: -40C
# W = 2.0 um
# L = 1.5 um (1500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.508335e+00    9.322921e+00    1.305423e+01    5.718487e+08    9.113300e-09    3.936610e-10    8.521320e-09    8.406525e-10   -1.800000e+00    1.108174e+00    5.972464e-01
    2.561408e+00    1.017556e+01    1.272679e+01    5.706662e+08    9.091500e-09    3.674645e-10    8.518015e-09    8.365915e-10   -1.790000e+00    1.108174e+00    5.890126e-01
    2.614946e+00    1.111882e+01    1.240233e+01    5.690518e+08    9.070565e-09    3.428262e-10    8.514135e-09    8.326970e-10   -1.780000e+00    1.108174e+00    5.807824e-01
    2.669367e+00    1.215936e+01    1.207894e+01    5.670043e+08    9.050465e-09    3.196891e-10    8.509705e-09    8.289645e-10   -1.770000e+00    1.108174e+00    5.725558e-01
    2.724534e+00    1.330351e+01    1.175754e+01    5.645271e+08    9.031165e-09    2.979932e-10    8.504740e-09    8.253905e-10   -1.760000e+00    1.108174e+00    5.643326e-01
    2.780467e+00    1.455719e+01    1.143833e+01    5.616283e+08    9.012630e-09    2.776749e-10    8.499265e-09    8.219690e-10   -1.750000e+00    1.108174e+00    5.561128e-01
    2.837207e+00    1.592578e+01    1.112153e+01    5.583200e+08    8.994815e-09    2.586694e-10    8.493300e-09    8.186950e-10   -1.740000e+00    1.108174e+00    5.478963e-01
    2.894808e+00    1.741413e+01    1.080732e+01    5.546173e+08    8.977685e-09    2.409109e-10    8.486865e-09    8.155615e-10   -1.730000e+00    1.108174e+00    5.396831e-01
    2.953344e+00    1.902645e+01    1.049588e+01    5.505383e+08    8.961190e-09    2.243333e-10    8.479975e-09    8.125630e-10   -1.720000e+00    1.108174e+00    5.314730e-01
    3.012900e+00    2.076642e+01    1.018741e+01    5.461025e+08    8.945290e-09    2.088712e-10    8.472645e-09    8.096930e-10   -1.710000e+00    1.108174e+00    5.232660e-01
    3.073572e+00    2.263719e+01    9.882065e+00    5.413305e+08    8.929945e-09    1.944600e-10    8.464890e-09    8.069445e-10   -1.700000e+00    1.108174e+00    5.150620e-01
    3.135474e+00    2.464146e+01    9.579995e+00    5.362439e+08    8.915100e-09    1.810370e-10    8.456720e-09    8.043105e-10   -1.690000e+00    1.108174e+00    5.068610e-01
    3.198722e+00    2.678161e+01    9.281355e+00    5.308634e+08    8.900720e-09    1.685413e-10    8.448150e-09    8.017850e-10   -1.680000e+00    1.108174e+00    4.986629e-01
    3.263445e+00    2.905979e+01    8.986270e+00    5.252097e+08    8.886755e-09    1.569139e-10    8.439185e-09    7.993605e-10   -1.670000e+00    1.108174e+00    4.904675e-01
    3.329779e+00    3.147810e+01    8.694870e+00    5.193021e+08    8.873165e-09    1.460987e-10    8.429830e-09    7.970305e-10   -1.660000e+00    1.108174e+00    4.822749e-01
    3.397868e+00    3.403858e+01    8.407265e+00    5.131595e+08    8.859905e-09    1.360416e-10    8.420090e-09    7.947885e-10   -1.650000e+00    1.108174e+00    4.740850e-01
    3.467858e+00    3.674350e+01    8.123570e+00    5.067991e+08    8.846930e-09    1.266917e-10    8.409960e-09    7.926275e-10   -1.640000e+00    1.108174e+00    4.658977e-01
    3.539913e+00    3.959532e+01    7.843870e+00    5.002370e+08    8.834200e-09    1.180007e-10    8.399450e-09    7.905415e-10   -1.630000e+00    1.108174e+00    4.577130e-01
    3.614191e+00    4.259687e+01    7.568265e+00    4.934879e+08    8.821675e-09    1.099227e-10    8.388550e-09    7.885230e-10   -1.620000e+00    1.108174e+00    4.495307e-01
    3.690868e+00    4.575148e+01    7.296835e+00    4.865657e+08    8.809305e-09    1.024149e-10    8.377250e-09    7.865670e-10   -1.610000e+00    1.108174e+00    4.413509e-01
    3.770127e+00    4.906298e+01    7.029655e+00    4.794826e+08    8.797055e-09    9.543675e-11    8.365545e-09    7.846660e-10   -1.600000e+00    1.108174e+00    4.331734e-01
    3.852156e+00    5.253579e+01    6.766805e+00    4.722499e+08    8.784880e-09    8.895060e-11    8.353425e-09    7.828145e-10   -1.590000e+00    1.108174e+00    4.249983e-01
    3.937165e+00    5.617502e+01    6.508340e+00    4.648777e+08    8.772740e-09    8.292110e-11    8.340875e-09    7.810065e-10   -1.580000e+00    1.108174e+00    4.168255e-01
    4.025363e+00    5.998654e+01    6.254335e+00    4.573756e+08    8.760590e-09    7.731530e-11    8.327870e-09    7.792355e-10   -1.570000e+00    1.108174e+00    4.086549e-01
