# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: 85 C
# W = 2.0 um
# L = 3 um (3000 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    9.291927e-01    7.485365e-01    2.198671e-05   -1.282839e-05    7.737278e-06    3.774488e-14   -3.336272e-14   -4.793074e-15   -3.810193e-15
   -1.790000e+00    9.291927e-01    7.403627e-01    2.202949e-05   -1.260852e-05    7.383121e-06    3.758851e-14   -3.339436e-14   -4.570152e-15   -3.788504e-15
   -1.780000e+00    9.291927e-01    7.321938e-01    2.206933e-05   -1.238781e-05    7.031295e-06    3.743320e-14   -3.356018e-14   -4.350880e-15   -3.913289e-15
   -1.770000e+00    9.291927e-01    7.240296e-01    2.210589e-05   -1.216693e-05    6.682225e-06    3.727928e-14   -3.357859e-14   -4.135766e-15   -3.883804e-15
   -1.760000e+00    9.291927e-01    7.158703e-01    2.213879e-05   -1.194570e-05    6.336391e-06    3.712705e-14   -3.359420e-14   -3.925296e-15   -3.854698e-15
   -1.750000e+00    9.291927e-01    7.077155e-01    2.216758e-05   -1.172417e-05    5.994330e-06    3.697683e-14   -3.360693e-14   -3.719931e-15   -3.826024e-15
   -1.740000e+00    9.291927e-01    6.995654e-01    2.219177e-05   -1.150236e-05    5.656640e-06    3.682891e-14   -3.361667e-14   -3.520101e-15   -3.797831e-15
   -1.730000e+00    9.291927e-01    6.914199e-01    2.221082e-05   -1.128035e-05    5.323984e-06    3.668354e-14   -3.362334e-14   -3.326196e-15   -3.770165e-15
   -1.720000e+00    9.291927e-01    6.832789e-01    2.222414e-05   -1.105817e-05    4.997087e-06    3.654098e-14   -3.362688e-14   -3.138563e-15   -3.743071e-15
   -1.710000e+00    9.291927e-01    6.751424e-01    2.223106e-05   -1.083589e-05    4.676738e-06    3.640143e-14   -3.362724e-14   -2.957501e-15   -3.716589e-15
   -1.700000e+00    9.291927e-01    6.670103e-01    2.223089e-05   -1.061357e-05    4.363782e-06    3.626509e-14   -3.362438e-14   -2.783258e-15   -3.690754e-15
   -1.690000e+00    9.291927e-01    6.588825e-01    2.222287e-05   -1.039129e-05    4.059111e-06    3.613209e-14   -3.361829e-14   -2.616029e-15   -3.665598e-15
   -1.680000e+00    9.291927e-01    6.507590e-01    2.220622e-05   -1.016914e-05    3.763650e-06    3.600255e-14   -3.360896e-14   -2.455955e-15   -3.641145e-15
   -1.670000e+00    9.291927e-01    6.426398e-01    2.218014e-05   -9.947201e-06    3.478334e-06    3.587655e-14   -3.359640e-14   -2.303122e-15   -3.617415e-15
   -1.660000e+00    9.291927e-01    6.345249e-01    2.214382e-05   -9.725573e-06    3.204089e-06    3.575414e-14   -3.358064e-14   -2.157566e-15   -3.594424e-15
   -1.650000e+00    9.291927e-01    6.264140e-01    2.209649e-05   -9.504362e-06    2.941799e-06    3.563532e-14   -3.356169e-14   -2.019270e-15   -3.572180e-15
   -1.640000e+00    9.291927e-01    6.183073e-01    2.203741e-05   -9.283682e-06    2.692271e-06    3.552006e-14   -3.353961e-14   -1.888173e-15   -3.550685e-15
   -1.630000e+00    9.291927e-01    6.102047e-01    2.196594e-05   -9.063655e-06    2.456207e-06    3.540832e-14   -3.351442e-14   -1.764169e-15   -3.529938e-15
   -1.620000e+00    9.291927e-01    6.021061e-01    2.188154e-05   -8.844406e-06    2.234167e-06    3.529999e-14   -3.348619e-14   -1.647115e-15   -3.509932e-15
   -1.610000e+00    9.291927e-01    5.940115e-01    2.178379e-05   -8.626068e-06    2.026546e-06    3.519498e-14   -3.345496e-14   -1.536836e-15   -3.490653e-15
   -1.600000e+00    9.291927e-01    5.859208e-01    2.167243e-05   -8.408776e-06    1.833549e-06    3.509314e-14   -3.342078e-14   -1.433125e-15   -3.472086e-15
   -1.590000e+00    9.291927e-01    5.778341e-01    2.154736e-05   -8.192666e-06    1.655189e-06    3.499432e-14   -3.338369e-14   -1.335754e-15   -3.454210e-15
   -1.580000e+00    9.291927e-01    5.697512e-01    2.140863e-05   -7.977874e-06    1.491277e-06    3.489833e-14   -3.334375e-14   -1.244476e-15   -3.437001e-15
   -1.570000e+00    9.291927e-01    5.616722e-01    2.125647e-05   -7.764538e-06    1.341443e-06    3.480500e-14   -3.330100e-14   -1.159030e-15   -3.420433e-15
   -1.560000e+00    9.291927e-01    5.535971e-01    2.109123e-05   -7.552788e-06    1.205153e-06    3.471412e-14   -3.325547e-14   -1.079147e-15   -3.404476e-15
   -1.550000e+00    9.291927e-01    5.455257e-01    2.091339e-05   -7.342755e-06    1.081737e-06    3.462548e-14   -3.320719e-14   -1.004549e-15   -3.389100e-15
   -1.540000e+00    9.291927e-01    5.374581e-01    2.072353e-05   -7.134561e-06    9.704198e-07    3.453885e-14   -3.315618e-14   -9.349593e-16   -3.374270e-15
   -1.530000e+00    9.291927e-01    5.293943e-01    2.052229e-05   -6.928322e-06    8.703577e-07    3.445401e-14   -3.310245e-14   -8.701004e-16   -3.359953e-15
   -1.520000e+00    9.291927e-01    5.213343e-01    2.031036e-05   -6.724150e-06    7.806678e-07    3.437073e-14   -3.304602e-14   -8.096992e-16   -3.346114e-15
   -1.510000e+00    9.291927e-01    5.132780e-01    2.008845e-05   -6.522148e-06    7.004575e-07    3.428879e-14   -3.298687e-14   -7.534881e-16   -3.332717e-15
   -1.500000e+00    9.291927e-01    5.052255e-01    1.985727e-05   -6.322412e-06    6.288482e-07    3.420793e-14   -3.292498e-14   -7.012074e-16   -3.319726e-15
   -1.490000e+00    9.291927e-01    4.971769e-01    1.961749e-05   -6.125032e-06    5.649945e-07    3.412794e-14   -3.286034e-14   -6.526061e-16   -3.307103e-15
   -1.480000e+00    9.291927e-01    4.891320e-01    1.936977e-05   -5.930089e-06    5.080971e-07    3.404858e-14   -3.279289e-14   -6.074435e-16   -3.294814e-15
   -1.470000e+00    9.291927e-01    4.810911e-01    1.911473e-05   -5.737661e-06    4.574122e-07    3.396962e-14   -3.272261e-14   -5.654897e-16   -3.282821e-15
   -1.460000e+00    9.291927e-01    4.730540e-01    1.885294e-05   -5.547817e-06    4.122566e-07    3.389082e-14   -3.264942e-14   -5.265262e-16   -3.271088e-15
   -1.450000e+00    9.291927e-01    4.650210e-01    1.858491e-05   -5.360623e-06    3.720086e-07    3.381195e-14   -3.257326e-14   -4.903458e-16   -3.259580e-15
   -1.440000e+00    9.291927e-01    4.569921e-01    1.831112e-05   -5.176138e-06    3.361082e-07    3.373279e-14   -3.249405e-14   -4.567533e-16   -3.248262e-15
   -1.430000e+00    9.291927e-01    4.489673e-01    1.803197e-05   -4.994418e-06    3.040540e-07    3.365310e-14   -3.241169e-14   -4.255648e-16   -3.237097e-15
   -1.420000e+00    9.291927e-01    4.409469e-01    1.774785e-05   -4.815515e-06    2.753997e-07    3.357266e-14   -3.232608e-14   -3.966079e-16   -3.226052e-15
   -1.410000e+00    9.291927e-01    4.329310e-01    1.745909e-05   -4.639477e-06    2.497500e-07    3.349125e-14   -3.223711e-14   -3.697212e-16   -3.215091e-15
   -1.400000e+00    9.291927e-01    4.249197e-01    1.716597e-05   -4.466348e-06    2.267556e-07    3.340863e-14   -3.214465e-14   -3.447539e-16   -3.204182e-15
   -1.390000e+00    9.291927e-01    4.169133e-01    1.686875e-05   -4.296171e-06    2.061094e-07    3.332458e-14   -3.204856e-14   -3.215655e-16   -3.193289e-15
   -1.380000e+00    9.291927e-01    4.089121e-01    1.656764e-05   -4.128986e-06    1.875410e-07    3.323887e-14   -3.194870e-14   -3.000253e-16   -3.182380e-15
   -1.370000e+00    9.291927e-01    4.009163e-01    1.626283e-05   -3.964830e-06    1.708135e-07    3.315128e-14   -3.184491e-14   -2.800117e-16   -3.171421e-15
   -1.360000e+00    9.291927e-01    3.929263e-01    1.595447e-05   -3.803741e-06    1.557186e-07    3.306158e-14   -3.173701e-14   -2.614120e-16   -3.160378e-15
   -1.350000e+00    9.291927e-01    3.849424e-01    1.564271e-05   -3.645752e-06    1.420742e-07    3.296953e-14   -3.162483e-14   -2.441215e-16   -3.149217e-15
   -1.340000e+00    9.291927e-01    3.769653e-01    1.532764e-05   -3.490898e-06    1.297201e-07    3.287490e-14   -3.150816e-14   -2.280433e-16   -3.137906e-15
   -1.330000e+00    9.291927e-01    3.689953e-01    1.500937e-05   -3.339210e-06    1.185160e-07    3.277746e-14   -3.138681e-14   -2.130877e-16   -3.126411e-15
   -1.320000e+00    9.291927e-01    3.610331e-01    1.468796e-05   -3.190721e-06    1.083388e-07    3.267697e-14   -3.126056e-14   -1.991719e-16   -3.114697e-15
   -1.310000e+00    9.291927e-01    3.530795e-01    1.436347e-05   -3.045461e-06    9.908009e-08    3.257318e-14   -3.112918e-14   -1.862190e-16   -3.102731e-15
   -1.300000e+00    9.291927e-01    3.451352e-01    1.403595e-05   -2.903461e-06    9.064460e-08    3.246586e-14   -3.099244e-14   -1.741583e-16   -3.090479e-15
   -1.290000e+00    9.291927e-01    3.372011e-01    1.370542e-05   -2.764752e-06    8.294841e-08    3.235475e-14   -3.085008e-14   -1.629241e-16   -3.077904e-15
   -1.280000e+00    9.291927e-01    3.292784e-01    1.337191e-05   -2.629363e-06    7.591749e-08    3.223961e-14   -3.070185e-14   -1.524561e-16   -3.064973e-15
   -1.270000e+00    9.291927e-01    3.213682e-01    1.303543e-05   -2.497324e-06    6.948643e-08    3.212017e-14   -3.054748e-14   -1.426983e-16   -3.051648e-15
   -1.260000e+00    9.291927e-01    3.134719e-01    1.269600e-05   -2.368664e-06    6.359735e-08    3.199619e-14   -3.038669e-14   -1.335992e-16   -3.037895e-15
   -1.250000e+00    9.291927e-01    3.055911e-01    1.235361e-05   -2.243414e-06    5.819894e-08    3.186739e-14   -3.021919e-14   -1.251111e-16   -3.023676e-15
   -1.240000e+00    9.291927e-01    2.977275e-01    1.200829e-05   -2.121602e-06    5.324568e-08    3.173353e-14   -3.004469e-14   -1.171900e-16   -3.008954e-15
   -1.230000e+00    9.291927e-01    2.898833e-01    1.166003e-05   -2.003258e-06    4.869704e-08    3.159432e-14   -2.986289e-14   -1.097953e-16   -2.993692e-15
   -1.220000e+00    9.291927e-01    2.820606e-01    1.130885e-05   -1.888411e-06    4.451695e-08    3.144951e-14   -2.967347e-14   -1.028895e-16   -2.977850e-15
   -1.210000e+00    9.291927e-01    2.742621e-01    1.095479e-05   -1.777090e-06    4.067319e-08    3.129883e-14   -2.947613e-14   -9.643789e-17   -2.961390e-15
   -1.200000e+00    9.291927e-01    2.664906e-01    1.059789e-05   -1.669325e-06    3.713694e-08    3.114200e-14   -2.927055e-14   -9.040846e-17   -2.944274e-15
   -1.190000e+00    9.291927e-01    2.587495e-01    1.023822e-05   -1.565142e-06    3.388241e-08    3.097876e-14   -2.905640e-14   -8.477160e-17   -2.926461e-15
   -1.180000e+00    9.291927e-01    2.510425e-01    9.875863e-06   -1.464569e-06    3.088642e-08    3.080885e-14   -2.883336e-14   -7.949994e-17   -2.907913e-15
   -1.170000e+00    9.291927e-01    2.433736e-01    9.510956e-06   -1.367633e-06    2.812811e-08    3.063201e-14   -2.860112e-14   -7.456815e-17   -2.888588e-15
   -1.160000e+00    9.291927e-01    2.357475e-01    9.143668e-06   -1.274358e-06    2.558871e-08    3.044797e-14   -2.835935e-14   -6.995282e-17   -2.868449e-15
   -1.150000e+00    9.291927e-01    2.281694e-01    8.774219e-06   -1.184767e-06    2.325124e-08    3.025650e-14   -2.810775e-14   -6.563228e-17   -2.847456e-15
   -1.140000e+00    9.291927e-01    2.206449e-01    8.402892e-06   -1.098880e-06    2.110032e-08    3.005736e-14   -2.784602e-14   -6.158647e-17   -2.825569e-15
   -1.130000e+00    9.291927e-01    2.131804e-01    8.030037e-06   -1.016714e-06    1.912200e-08    2.985031e-14   -2.757386e-14   -5.779678e-17   -2.802751e-15
   -1.120000e+00    9.291927e-01    2.057828e-01    7.656086e-06   -9.382828e-07    1.730357e-08    2.963515e-14   -2.729100e-14   -5.424602e-17   -2.778964e-15
   -1.110000e+00    9.291927e-01    1.984599e-01    7.281560e-06   -8.635943e-07    1.563344e-08    2.941168e-14   -2.699718e-14   -5.091821e-17   -2.754173e-15
   -1.100000e+00    9.291927e-01    1.912199e-01    6.907080e-06   -7.926514e-07    1.410100e-08    2.917972e-14   -2.669216e-14   -4.779855e-17   -2.728343e-15
   -1.090000e+00    9.291927e-01    1.840719e-01    6.533372e-06   -7.254501e-07    1.269650e-08    2.893912e-14   -2.637574e-14   -4.487330e-17   -2.701441e-15
   -1.080000e+00    9.291927e-01    1.770257e-01    6.161279e-06   -6.619786e-07    1.141094e-08    2.868975e-14   -2.604772e-14   -4.212972e-17   -2.673438e-15
   -1.070000e+00    9.291927e-01    1.700917e-01    5.791756e-06   -6.022160e-07    1.023600e-08    2.843151e-14   -2.570796e-14   -3.955596e-17   -2.644305e-15
   -1.060000e+00    9.291927e-01    1.632810e-01    5.425877e-06   -5.461313e-07    9.163969e-09    2.816433e-14   -2.535635e-14   -3.714102e-17   -2.614019e-15
   -1.050000e+00    9.291927e-01    1.566053e-01    5.064826e-06   -4.936824e-07    8.187624e-09    2.788817e-14   -2.499282e-14   -3.487467e-17   -2.582558e-15
   -1.040000e+00    9.291927e-01    1.500767e-01    4.709883e-06   -4.448145e-07    7.300219e-09    2.760305e-14   -2.461734e-14   -3.274740e-17   -2.549904e-15
   -1.030000e+00    9.291927e-01    1.437076e-01    4.362412e-06   -3.994598e-07    6.495408e-09    2.730900e-14   -2.422995e-14   -3.075034e-17   -2.516047e-15
   -1.020000e+00    9.291927e-01    1.375108e-01    4.023830e-06   -3.575366e-07    5.767202e-09    2.700613e-14   -2.383072e-14   -2.887526e-17   -2.480977e-15
   -1.010000e+00    9.291927e-01    1.314988e-01    3.695578e-06   -3.189488e-07    5.109933e-09    2.669456e-14   -2.341980e-14   -2.711448e-17   -2.444692e-15
   -1.000000e+00    9.291927e-01    1.256840e-01    3.379083e-06   -2.835859e-07    4.518218e-09    2.637449e-14   -2.299738e-14   -2.546083e-17   -2.407196e-15
   -9.900000e-01    9.291927e-01    1.200783e-01    3.075716e-06   -2.513233e-07    3.986942e-09    2.604615e-14   -2.256374e-14   -2.390764e-17   -2.368497e-15
   -9.800000e-01    9.291927e-01    1.146928e-01    2.786742e-06   -2.220235e-07    3.511235e-09    2.570985e-14   -2.211921e-14   -2.244867e-17   -2.328611e-15
   -9.700000e-01    9.291927e-01    1.095375e-01    2.513281e-06   -1.955368e-07    3.086462e-09    2.536594e-14   -2.166419e-14   -2.107811e-17   -2.287560e-15
   -9.600000e-01    9.291927e-01    1.046213e-01    2.256260e-06   -1.717031e-07    2.708218e-09    2.501481e-14   -2.119915e-14   -1.979053e-17   -2.245374e-15
   -9.500000e-01    9.291927e-01    9.995128e-02    2.016381e-06   -1.503544e-07    2.372324e-09    2.465693e-14   -2.072465e-14   -1.858084e-17   -2.202090e-15
   -9.400000e-01    9.291927e-01    9.553291e-02    1.794095e-06   -1.313168e-07    2.074828e-09    2.429283e-14   -2.024129e-14   -1.744429e-17   -2.157751e-15
   -9.300000e-01    9.291927e-01    9.136967e-02    1.589583e-06   -1.144132e-07    1.812011e-09    2.392307e-14   -1.974977e-14   -1.637644e-17   -2.112408e-15
   -9.200000e-01    9.291927e-01    8.746302e-02    1.402761e-06   -9.946615e-08    1.580384e-09    2.354828e-14   -1.925084e-14   -1.537313e-17   -2.066120e-15
   -9.100000e-01    9.291927e-01    8.381233e-02    1.233285e-06   -8.630017e-08    1.376700e-09    2.316914e-14   -1.874531e-14   -1.443047e-17   -2.018953e-15
