# sky130 pfet_01v8 gm/ID Lookup Table
# Corner: tt
# Temperature: 85 C
# W = 2.0 um
# L = 3.5 um (3500 nm)
# VDS = -0.6  (VSD = 0.6) V
# VGS step = 10 mV
# vdsat = BSIM internal saturation voltage (|VDS|_min for saturation; NOT equal to Vov=VGS-Vth)
# Columns: vgs [V]  vth [V]  vdsat [V]  gm [S]  id [A]  gds [S]  cgg [F]  cgs [F]  cgd [F]  cdb [F]
#             vgs             vth           vdsat              gm              id             gds             cgg             cgs             cgd             cdb
   -1.800000e+00    9.313961e-01    7.455036e-01    1.915401e-05   -1.106546e-05    6.525832e-06    4.396548e-14   -3.897181e-14   -5.595632e-15   -4.408814e-15
   -1.790000e+00    9.313961e-01    7.373192e-01    1.918791e-05   -1.087392e-05    6.218355e-06    4.378161e-14   -3.900808e-14   -5.334733e-15   -4.383477e-15
   -1.780000e+00    9.313961e-01    7.291399e-01    1.921914e-05   -1.068171e-05    5.913152e-06    4.359898e-14   -3.919914e-14   -5.078107e-15   -4.526501e-15
   -1.770000e+00    9.313961e-01    7.209657e-01    1.924739e-05   -1.048937e-05    5.610618e-06    4.341797e-14   -3.922002e-14   -4.826351e-15   -4.492177e-15
   -1.760000e+00    9.313961e-01    7.127965e-01    1.927228e-05   -1.029677e-05    5.311198e-06    4.323895e-14   -3.923763e-14   -4.580039e-15   -4.458296e-15
   -1.750000e+00    9.313961e-01    7.046323e-01    1.929343e-05   -1.010394e-05    5.015390e-06    4.306228e-14   -3.925184e-14   -4.339715e-15   -4.424917e-15
   -1.740000e+00    9.313961e-01    6.964730e-01    1.931037e-05   -9.910915e-06    4.723746e-06    4.288830e-14   -3.926256e-14   -4.105885e-15   -4.392099e-15
   -1.730000e+00    9.313961e-01    6.883185e-01    1.932260e-05   -9.717747e-06    4.436872e-06    4.271733e-14   -3.926968e-14   -3.879008e-15   -4.359897e-15
   -1.720000e+00    9.313961e-01    6.801690e-01    1.932959e-05   -9.524481e-06    4.155433e-06    4.254965e-14   -3.927312e-14   -3.659494e-15   -4.328361e-15
   -1.710000e+00    9.313961e-01    6.720242e-01    1.933074e-05   -9.331174e-06    3.880141e-06    4.238552e-14   -3.927283e-14   -3.447694e-15   -4.297540e-15
   -1.700000e+00    9.313961e-01    6.638842e-01    1.932542e-05   -9.137888e-06    3.611758e-06    4.222515e-14   -3.926878e-14   -3.243900e-15   -4.267475e-15
   -1.690000e+00    9.313961e-01    6.557489e-01    1.931295e-05   -8.944690e-06    3.351079e-06    4.206871e-14   -3.926093e-14   -3.048342e-15   -4.238202e-15
   -1.680000e+00    9.313961e-01    6.476183e-01    1.929265e-05   -8.751655e-06    3.098917e-06    4.191635e-14   -3.924929e-14   -2.861184e-15   -4.209750e-15
   -1.670000e+00    9.313961e-01    6.394923e-01    1.926381e-05   -8.558865e-06    2.856088e-06    4.176815e-14   -3.923387e-14   -2.682528e-15   -4.182144e-15
   -1.660000e+00    9.313961e-01    6.313709e-01    1.922575e-05   -8.366409e-06    2.623382e-06    4.162415e-14   -3.921468e-14   -2.512413e-15   -4.155399e-15
   -1.650000e+00    9.313961e-01    6.232541e-01    1.917781e-05   -8.174383e-06    2.401541e-06    4.148438e-14   -3.919176e-14   -2.350820e-15   -4.129526e-15
   -1.640000e+00    9.313961e-01    6.151418e-01    1.911938e-05   -7.982888e-06    2.191223e-06    4.134880e-14   -3.916516e-14   -2.197674e-15   -4.104529e-15
