# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: 85C
# W = 2.0 um
# L = 2.5 um (2500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.690836e+00    2.730222e+00    7.646195e+00    1.305292e+08    1.576375e-08    2.003986e-09    1.387020e-08    1.606999e-09   -1.800000e+00    9.261178e-01    7.515999e-01
    1.723689e+00    2.862464e+00    7.516910e+00    1.313538e+08    1.569914e-08    1.911288e-09    1.388373e-08    1.597948e-09   -1.790000e+00    9.261178e-01    7.434662e-01
    1.757602e+00    3.006298e+00    7.387060e+00    1.321647e+08    1.563495e-08    1.820088e-09    1.395421e-08    1.651295e-09   -1.780000e+00    9.261178e-01    7.353368e-01
    1.792502e+00    3.163136e+00    7.257100e+00    1.329587e+08    1.557134e-08    1.730593e-09    1.396220e-08    1.638932e-09   -1.770000e+00    9.261178e-01    7.272116e-01
    1.828449e+00    3.334592e+00    7.126900e+00    1.337322e+08    1.550842e-08    1.643008e-09    1.396904e-08    1.626726e-09   -1.760000e+00    9.261178e-01    7.190905e-01
    1.865464e+00    3.522517e+00    6.996485e+00    1.344813e+08    1.544632e-08    1.557522e-09    1.397469e-08    1.614700e-09   -1.750000e+00    9.261178e-01    7.109735e-01
    1.903567e+00    3.729025e+00    6.865875e+00    1.352016e+08    1.538517e-08    1.474314e-09    1.397910e-08    1.602873e-09   -1.740000e+00    9.261178e-01    7.028604e-01
    1.942771e+00    3.956544e+00    6.735100e+00    1.358888e+08    1.532506e-08    1.393546e-09    1.398225e-08    1.591264e-09   -1.730000e+00    9.261178e-01    6.947513e-01
    1.983086e+00    4.207853e+00    6.604190e+00    1.365379e+08    1.526610e-08    1.315362e-09    1.398410e-08    1.579894e-09   -1.720000e+00    9.261178e-01    6.866459e-01
    2.024514e+00    4.486123e+00    6.473180e+00    1.371436e+08    1.520838e-08    1.239888e-09    1.398464e-08    1.568777e-09   -1.710000e+00    9.261178e-01    6.785444e-01
    2.067054e+00    4.794974e+00    6.342105e+00    1.377006e+08    1.515199e-08    1.167229e-09    1.398384e-08    1.557930e-09   -1.700000e+00    9.261178e-01    6.704465e-01
    2.110695e+00    5.138522e+00    6.211005e+00    1.382031e+08    1.509697e-08    1.097465e-09    1.398171e-08    1.547364e-09   -1.690000e+00    9.261178e-01    6.623523e-01
    2.155418e+00    5.521424e+00    6.079930e+00    1.386452e+08    1.504338e-08    1.030659e-09    1.397824e-08    1.537092e-09   -1.680000e+00    9.261178e-01    6.542616e-01
    2.201199e+00    5.948931e+00    5.948925e+00    1.390209e+08    1.499125e-08    9.668470e-10    1.397343e-08    1.527120e-09   -1.670000e+00    9.261178e-01    6.461745e-01
    2.248000e+00    6.426919e+00    5.818055e+00    1.393241e+08    1.494060e-08    9.060470e-10    1.396729e-08    1.517458e-09   -1.660000e+00    9.261178e-01    6.380907e-01
    2.295787e+00    6.961931e+00    5.687370e+00    1.395489e+08    1.489144e-08    8.482540e-10    1.395983e-08    1.508106e-09   -1.650000e+00    9.261178e-01    6.300103e-01
    2.344517e+00    7.561176e+00    5.556935e+00    1.396899e+08    1.484376e-08    7.934450e-10    1.395108e-08    1.499068e-09   -1.640000e+00    9.261178e-01    6.219333e-01
    2.394142e+00    8.232537e+00    5.426825e+00    1.397419e+08    1.479753e-08    7.415780e-10    1.394104e-08    1.490343e-09   -1.630000e+00    9.261178e-01    6.138594e-01
    2.444618e+00    8.984535e+00    5.297110e+00    1.397005e+08    1.475272e-08    6.925960e-10    1.392973e-08    1.481927e-09   -1.620000e+00    9.261178e-01    6.057888e-01
    2.495906e+00    9.826291e+00    5.167860e+00    1.395620e+08    1.470929e-08    6.464280e-10    1.391718e-08    1.473817e-09   -1.610000e+00    9.261178e-01    5.977213e-01
    2.547969e+00    1.076745e+01    5.039165e+00    1.393239e+08    1.466719e-08    6.029910e-10    1.390342e-08    1.466004e-09   -1.600000e+00    9.261178e-01    5.896568e-01
    2.600783e+00    1.181806e+01    4.911097e+00    1.389846e+08    1.462635e-08    5.621910e-10    1.388845e-08    1.458482e-09   -1.590000e+00    9.261178e-01    5.815954e-01
    2.654336e+00    1.298849e+01    4.783738e+00    1.385437e+08    1.458669e-08    5.239275e-10    1.387230e-08    1.451240e-09   -1.580000e+00    9.261178e-01    5.735369e-01
    2.708631e+00    1.428930e+01    4.657171e+00    1.380017e+08    1.454815e-08    4.880941e-10    1.385498e-08    1.444268e-09   -1.570000e+00    9.261178e-01    5.654814e-01
    2.763685e+00    1.573110e+01    4.531473e+00    1.373605e+08    1.451063e-08    4.545791e-10    1.383653e-08    1.437554e-09   -1.560000e+00    9.261178e-01    5.574287e-01
    2.819533e+00    1.732440e+01    4.406725e+00    1.366227e+08    1.447406e-08    4.232691e-10    1.381693e-08    1.431084e-09   -1.550000e+00    9.261178e-01    5.493789e-01
    2.876223e+00    1.907957e+01    4.283000e+00    1.357919e+08    1.443834e-08    3.940494e-10    1.379621e-08    1.424845e-09   -1.540000e+00    9.261178e-01    5.413319e-01
    2.933822e+00    2.100665e+01    4.160371e+00    1.348720e+08    1.440337e-08    3.668058e-10    1.377437e-08    1.418822e-09   -1.530000e+00    9.261178e-01    5.332877e-01
    2.992409e+00    2.311540e+01    4.038907e+00    1.338677e+08    1.436909e-08    3.414252e-10    1.375142e-08    1.413002e-09   -1.520000e+00    9.261178e-01    5.252462e-01
    3.052073e+00    2.541516e+01    3.918671e+00    1.327838e+08    1.433537e-08    3.177968e-10    1.372734e-08    1.407369e-09   -1.510000e+00    9.261178e-01    5.172074e-01
    3.112918e+00    2.791487e+01    3.799725e+00    1.316253e+08    1.430212e-08    2.958129e-10    1.370215e-08    1.401909e-09   -1.500000e+00    9.261178e-01    5.091714e-01
    3.175055e+00    3.062315e+01    3.682124e+00    1.303973e+08    1.426926e-08    2.753694e-10    1.367582e-08    1.396606e-09   -1.490000e+00    9.261178e-01    5.011382e-01
    3.238600e+00    3.354820e+01    3.565923e+00    1.291043e+08    1.423668e-08    2.563662e-10    1.364835e-08    1.391445e-09   -1.480000e+00    9.261178e-01    4.931076e-01
    3.303683e+00    3.669807e+01    3.451168e+00    1.277513e+08    1.420428e-08    2.387078e-10    1.361971e-08    1.386410e-09   -1.470000e+00    9.261178e-01    4.850799e-01
    3.370434e+00    4.008052e+01    3.337906e+00    1.263425e+08    1.417199e-08    2.223030e-10    1.358988e-08    1.381488e-09   -1.460000e+00    9.261178e-01    4.770549e-01
    3.438991e+00    4.370329e+01    3.226177e+00    1.248820e+08    1.413969e-08    2.070658e-10    1.355884e-08    1.376663e-09   -1.450000e+00    9.261178e-01    4.690328e-01
    3.509500e+00    4.757412e+01    3.116022e+00    1.233736e+08    1.410729e-08    1.929145e-10    1.352655e-08    1.371919e-09   -1.440000e+00    9.261178e-01    4.610136e-01
    3.582107e+00    5.170080e+01    3.007476e+00    1.218208e+08    1.407471e-08    1.797724e-10    1.349298e-08    1.367243e-09   -1.430000e+00    9.261178e-01    4.529975e-01
    3.656968e+00    5.609136e+01    2.900571e+00    1.202267e+08    1.404184e-08    1.675677e-10    1.345807e-08    1.362620e-09   -1.420000e+00    9.261178e-01    4.449844e-01
    3.734246e+00    6.075425e+01    2.795339e+00    1.185941e+08    1.400860e-08    1.562328e-10    1.342180e-08    1.358036e-09   -1.410000e+00    9.261178e-01    4.369746e-01
