# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: 85C
# W = 2.0 um
# L = 5 um (5000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.757072e+00    3.080692e+00    3.873694e+00    3.456769e+07    3.133753e-08    4.118594e-09    2.781370e-08    3.128665e-09   -1.800000e+00    9.356345e-01    7.450965e-01
    1.791393e+00    3.246076e+00    3.805630e+00    3.477394e+07    3.120209e-08    3.928231e-09    2.783896e-08    3.109782e-09   -1.790000e+00    9.356345e-01    7.368279e-01
    1.826799e+00    3.427505e+00    3.737350e+00    3.497599e+07    3.106737e-08    3.740706e-09    2.786187e-08    3.090841e-09   -1.780000e+00    9.356345e-01    7.285651e-01
    1.863229e+00    3.627117e+00    3.669031e+00    3.517274e+07    3.093368e-08    3.556470e-09    2.798685e-08    3.181720e-09   -1.770000e+00    9.356345e-01    7.203079e-01
    1.900732e+00    3.847391e+00    3.600629e+00    3.536314e+07    3.080127e-08    3.375959e-09    2.799897e-08    3.156882e-09   -1.760000e+00    9.356345e-01    7.120564e-01
    1.939317e+00    4.091193e+00    3.532159e+00    3.554588e+07    3.067043e-08    3.199593e-09    2.800869e-08    3.132386e-09   -1.750000e+00    9.356345e-01    7.038105e-01
    1.978995e+00    4.361860e+00    3.463634e+00    3.571967e+07    3.054143e-08    3.027761e-09    2.801592e-08    3.108277e-09   -1.740000e+00    9.356345e-01    6.955702e-01
    2.019767e+00    4.663256e+00    3.395074e+00    3.588309e+07    3.041452e-08    2.860828e-09    2.802059e-08    3.084596e-09   -1.730000e+00    9.356345e-01    6.873355e-01
    2.061629e+00    4.999861e+00    3.326496e+00    3.603459e+07    3.028991e-08    2.699119e-09    2.802264e-08    3.061387e-09   -1.720000e+00    9.356345e-01    6.791063e-01
    2.104567e+00    5.376872e+00    3.257922e+00    3.617258e+07    3.016783e-08    2.542918e-09    2.802201e-08    3.038686e-09   -1.710000e+00    9.356345e-01    6.708827e-01
    2.148560e+00    5.800291e+00    3.189374e+00    3.629536e+07    3.004844e-08    2.392466e-09    2.801868e-08    3.016527e-09   -1.700000e+00    9.356345e-01    6.626647e-01
    2.193579e+00    6.277047e+00    3.120880e+00    3.640125e+07    2.993188e-08    2.247961e-09    2.801263e-08    2.994940e-09   -1.690000e+00    9.356345e-01    6.544521e-01
    2.239588e+00    6.815107e+00    3.052466e+00    3.648853e+07    2.981828e-08    2.109548e-09    2.800384e-08    2.973949e-09   -1.680000e+00    9.356345e-01    6.462450e-01
    2.286539e+00    7.423576e+00    2.984165e+00    3.655545e+07    2.970773e-08    1.977326e-09    2.799232e-08    2.953577e-09   -1.670000e+00    9.356345e-01    6.380433e-01
    2.334387e+00    8.112840e+00    2.916009e+00    3.660044e+07    2.960026e-08    1.851349e-09    2.797808e-08    2.933835e-09   -1.660000e+00    9.356345e-01    6.298471e-01
    2.383076e+00    8.894627e+00    2.848036e+00    3.662196e+07    2.949591e-08    1.731623e-09    2.796114e-08    2.914736e-09   -1.650000e+00    9.356345e-01    6.216562e-01
    2.432551e+00    9.782110e+00    2.780280e+00    3.661864e+07    2.939467e-08    1.618110e-09    2.794153e-08    2.896283e-09   -1.640000e+00    9.356345e-01    6.134708e-01
    2.482764e+00    1.078999e+01    2.712786e+00    3.658942e+07    2.929648e-08    1.510737e-09    2.791929e-08    2.878477e-09   -1.630000e+00    9.356345e-01    6.052908e-01
    2.533669e+00    1.193448e+01    2.645590e+00    3.653344e+07    2.920129e-08    1.409389e-09    2.789445e-08    2.861313e-09   -1.620000e+00    9.356345e-01    5.971161e-01
    2.585227e+00    1.323330e+01    2.578739e+00    3.645010e+07    2.910901e-08    1.313927e-09    2.786705e-08    2.844782e-09   -1.610000e+00    9.356345e-01    5.889469e-01
    2.637421e+00    1.470568e+01    2.512272e+00    3.633927e+07    2.901951e-08    1.224178e-09    2.783713e-08    2.828869e-09   -1.600000e+00    9.356345e-01    5.807829e-01
    2.690241e+00    1.637219e+01    2.446235e+00    3.620101e+07    2.893268e-08    1.139951e-09    2.780474e-08    2.813558e-09   -1.590000e+00    9.356345e-01    5.726243e-01
    2.743697e+00    1.825469e+01    2.380667e+00    3.603579e+07    2.884835e-08    1.061034e-09    2.776990e-08    2.798829e-09   -1.580000e+00    9.356345e-01    5.644711e-01
    2.797817e+00    2.037611e+01    2.315611e+00    3.584430e+07    2.876636e-08    9.872045e-10    2.773265e-08    2.784661e-09   -1.570000e+00    9.356345e-01    5.563232e-01
    2.852646e+00    2.276032e+01    2.251106e+00    3.562756e+07    2.868653e-08    9.182285e-10    2.769302e-08    2.771025e-09   -1.560000e+00    9.356345e-01    5.481807e-01
    2.908246e+00    2.543187e+01    2.187191e+00    3.538671e+07    2.860868e-08    8.538650e-10    2.765103e-08    2.757896e-09   -1.550000e+00    9.356345e-01    5.400435e-01
    2.964694e+00    2.841583e+01    2.123900e+00    3.512309e+07    2.853260e-08    7.938725e-10    2.760669e-08    2.745245e-09   -1.540000e+00    9.356345e-01    5.319118e-01
    3.022082e+00    3.173763e+01    2.061268e+00    3.483811e+07    2.845812e-08    7.380080e-10    2.756002e-08    2.733042e-09   -1.530000e+00    9.356345e-01    5.237854e-01
    3.080514e+00    3.542281e+01    1.999324e+00    3.453325e+07    2.838501e-08    6.860325e-10    2.751102e-08    2.721256e-09   -1.520000e+00    9.356345e-01    5.156645e-01
